Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,20:01:16,149.85,0,N/Surge,150.00,No Discount,no surge,304.04,0,N/Surge,300.00,No Discount,no surge,336.71,0,N/Surge,286.83,No Discount,no surge,545.06,0,N/Surge,423.99,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,463.46,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,20:02:31,150.43,0,N/Surge,150.00,No Discount,no surge,304.75,0,N/Surge,300.00,No Discount,no surge,387.46,0,N/Surge,358.87,No Discount,no surge,587.46,0,N/Surge,564.31,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,469.85,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-28,20:03:50,165.84,0,N/Surge,190.56,No Discount,no surge,313.36,0,N/Surge,300.00,No Discount,no surge,518.25,0,N/Surge,462.70,No Discount,no surge,760.78,0,N/Surge,732.02,No Discount,no surge,,0,N/Surge,191.70,No Discount,no surge,,0,N/Surge,339.50,No Discount,no surge,575.07,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-28,20:05:06,213.89,0,N/Surge,233.76,No Discount,no surge,390.88,0,N/Surge,364.70,No Discount,no surge,630.29,0,N/Surge,566.71,No Discount,no surge,945.99,0,N/Surge,897.33,No Discount,no surge,,0,N/Surge,244.56,No Discount,no surge,,0,N/Surge,435.72,No Discount,no surge,716.66,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-28,20:06:18,259.59,0,N/Surge,278.20,No Discount,no surge,465.25,0,N/Surge,446.86,No Discount,no surge,734.97,0,N/Surge,674.07,No Discount,no surge,1117.49,0,N/Surge,"1,066.30",No Discount,no surge,,0,N/Surge,294.95,No Discount,no surge,,0,N/Surge,530.68,No Discount,no surge,830.25,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-28,20:07:33,305.69,0,N/Surge,325.44,No Discount,no surge,547.74,0,N/Surge,511.86,No Discount,no surge,832.79,0,N/Surge,763.20,No Discount,no surge,1260.63,0,N/Surge,"1,209.53",No Discount,no surge,,0,N/Surge,341.88,No Discount,no surge,,0,N/Surge,613.41,No Discount,no surge,936.6,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-28,20:08:46,356.24,0,N/Surge,368.56,No Discount,no surge,616.19,0,N/Surge,578.41,No Discount,no surge,939.92,0,N/Surge,857.96,No Discount,no surge,1417.21,0,N/Surge,"1,360.30",No Discount,no surge,,0,N/Surge,390.29,No Discount,no surge,,0,N/Surge,698.21,No Discount,no surge,1053.02,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-28,20:10:00,414.44,0,N/Surge,414.99,No Discount,no surge,685.79,0,N/Surge,649.08,No Discount,no surge,1049.27,0,N/Surge,959.14,No Discount,no surge,1586.23,0,N/Surge,"1,521.81",No Discount,no surge,,0,N/Surge,443.73,No Discount,no surge,,0,N/Surge,792.83,No Discount,no surge,1171.94,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-28,20:11:13,464.38,0,N/Surge,496.93,No Discount,no surge,741.24,0,N/Surge,728.60,No Discount,no surge,1143.41,0,N/Surge,"1,074.76",No Discount,no surge,1732.27,0,N/Surge,"1,704.94",No Discount,no surge,,0,N/Surge,529.81,No Discount,no surge,,0,N/Surge,896.66,No Discount,no surge,1283.07,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-28,20:12:29,521.61,0,N/Surge,552.01,No Discount,no surge,804.78,0,N/Surge,781.04,No Discount,no surge,1251.68,0,N/Surge,"1,149.53",No Discount,no surge,1900.91,0,N/Surge,"1,812.81",No Discount,no surge,,0,N/Surge,587.44,No Discount,no surge,,0,N/Surge,971.12,No Discount,no surge,1411.04,0,N/Surge,,No Discount,no surge
