Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,DM Printers Maharagama 155 highleval rd Colombo - Batticaloa Hwy Maharagama,2026-04-24,22:01:15,149.73,0,N/Surge,150.00,No Discount,no surge,280.89,0,N/Surge,320.00,No Discount,no surge,337.31,0,N/Surge,320.73,No Discount,no surge,446.16,0,N/Surge,471.56,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,380.08,0,N/Surge,,No Discount,no surge
2,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,CIB Online Store 345 1 High Level Rd Maharagama 10280,2026-04-24,22:02:28,151.25,0,N/Surge,150.00,No Discount,no surge,280.53,0,N/Surge,320.00,No Discount,no surge,386.15,0,N/Surge,398.49,No Discount,no surge,583.71,0,N/Surge,627.35,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,467.85,0,N/Surge,,No Discount,no surge
3,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Api Singhe Motors (Pvt) Ltd No 640 A Wijerama Gangodawila Nugegoda,2026-04-24,22:03:43,188.68,0,N/Surge,190.12,No Discount,no surge,295.78,0,N/Surge,320.00,No Discount,no surge,514.54,0,N/Surge,505.46,No Discount,no surge,754.12,0,N/Surge,796.67,No Discount,no surge,,0,N/Surge,134.19,191.70,no surge,,0,N/Surge,331.75,No Discount,no surge,571.25,0,N/Surge,,No Discount,no surge
4,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Gangodawila Girl's Child Development Center,2026-04-24,22:04:55,229.88,0,N/Surge,241.24,No Discount,no surge,386.89,0,N/Surge,408.93,No Discount,no surge,621.66,0,N/Surge,640.92,No Discount,no surge,928.94,0,N/Surge,"1,011.02",No Discount,no surge,,0,N/Surge,177.41,253.45,no surge,,0,N/Surge,444.17,No Discount,no surge,706.07,0,N/Surge,,No Discount,no surge
5,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Jeewa Plastic (Pvt) Ltd 224 High Level Rd Colombo,2026-04-24,22:06:15,278.74,0,N/Surge,273.36,No Discount,no surge,461.35,0,N/Surge,465.48,No Discount,no surge,726.97,0,N/Surge,718.16,No Discount,no surge,1101.98,0,N/Surge,"1,135.03",No Discount,no surge,,0,N/Surge,202.31,289.02,no surge,,0,N/Surge,505.69,No Discount,no surge,820.37,0,N/Surge,,No Discount,no surge
6,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Java Lounge 126/B High Level Rd Nugegoda 10250,2026-04-24,22:07:26,328.34,0,N/Surge,325.00,No Discount,no surge,533.63,0,N/Surge,548.06,No Discount,no surge,830.33,0,N/Surge,832.16,No Discount,no surge,1253.63,0,N/Surge,"1,314.39",No Discount,no surge,,0,N/Surge,240.89,340.89,no surge,,0,N/Surge,597.71,No Discount,no surge,932.87,0,N/Surge,,No Discount,no surge
7,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Felicity Solar Technology (PVT) Ltd 188a High Level Rd Colombo 00600,2026-04-24,22:08:40,386.94,0,N/Surge,367.68,No Discount,no surge,608.83,0,N/Surge,628.57,No Discount,no surge,937.76,0,N/Surge,937.17,No Discount,no surge,1411.05,0,N/Surge,"1,482.12",No Discount,no surge,,0,N/Surge,289.30,389.30,no surge,,0,N/Surge,682.83,No Discount,no surge,1049.73,0,N/Surge,,No Discount,no surge
8,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nanomedix (Pvt) Ltd. 112/1 H. Sri Nissanka Mw Maya Ave Colombo 00600,2026-04-24,22:09:54,444.92,0,N/Surge,414.99,No Discount,no surge,703.17,0,N/Surge,713.29,No Discount,no surge,1042.84,0,N/Surge,"1,052.07",No Discount,no surge,1573.32,0,N/Surge,"1,662.83",No Discount,no surge,,0,N/Surge,340.88,440.88,no surge,,0,N/Surge,760.66,No Discount,no surge,1163.58,0,N/Surge,,No Discount,no surge
9,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,PetsVcare Animal Hospitals 506/7 Elvitigala Mawatha Colombo 5,2026-04-24,22:11:08,502.87,0,N/Surge,484.54,No Discount,no surge,788.39,0,N/Surge,802.88,No Discount,no surge,1148.85,0,N/Surge,"1,165.42",No Discount,no surge,1735.54,0,N/Surge,"1,842.14",No Discount,no surge,,0,N/Surge,415.59,515.59,no surge,,0,N/Surge,871.85,No Discount,no surge,1288.14,0,N/Surge,,No Discount,no surge
10,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Bank of Ceylon ATM Victoria Pl Colombo 00800,2026-04-24,22:12:22,560.02,0,N/Surge,484.54,No Discount,no surge,857.22,0,N/Surge,803.61,No Discount,no surge,1254.76,0,N/Surge,"1,165.97",No Discount,no surge,1901.54,0,N/Surge,"1,842.59",No Discount,no surge,,0,N/Surge,415.59,515.59,no surge,,0,N/Surge,872.26,No Discount,no surge,1413.59,0,N/Surge,,No Discount,no surge
