Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Jayantha Furnitures Pvt Ltd No.105/C Ja Ela Rd Gampaha,2026-04-25,22:01:15,149.42,0,N/Surge,75.00,150.00,no surge,280.51,0,N/Surge,160.00,320.00,no surge,335.04,0,N/Surge,143.41,286.83,no surge,439.66,0,N/Surge,215.72,431.44,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,376.62,0,N/Surge,,No Discount,no surge
2,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Pathirana stores 3XVH+H9M Gampaha,2026-04-25,22:02:29,150.25,0,N/Surge,75.00,150.00,no surge,281.53,0,N/Surge,160.00,320.00,no surge,341.14,0,N/Surge,175.15,350.30,no surge,457.07,0,N/Surge,302.65,552.65,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,385.9,0,N/Surge,,No Discount,no surge
3,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,MCC survey department 23 Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-25,22:03:39,187.94,0,N/Surge,98.36,196.72,no surge,366.7,0,N/Surge,163.57,327.15,no surge,403.65,0,N/Surge,236.06,472.12,no surge,545.21,0,N/Surge,494.68,744.68,no surge,,0,N/Surge,140.07,200.10,no surge,,0,N/Surge,349.76,No Discount,no surge,455.92,0,N/Surge,,No Discount,no surge
4,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Badulu Hotel Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-25,22:04:52,224.29,0,N/Surge,116.88,233.76,no surge,446.81,0,N/Surge,199.91,399.83,no surge,480.73,0,N/Surge,307.24,557.24,no surge,653.73,0,N/Surge,630.68,880.68,no surge,,0,N/Surge,170.16,243.08,no surge,,0,N/Surge,417.75,No Discount,no surge,544.44,0,N/Surge,,No Discount,no surge
5,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Janaka Enterprises Makewite No.140/EMegoda thammithaMakewite Ja-Ela,2026-04-25,22:06:03,261.81,0,N/Surge,186.26,372.52,no surge,529.44,0,N/Surge,383.80,633.80,no surge,557.5,0,N/Surge,596.86,846.86,no surge,762.48,0,N/Surge,"1,091.66","1,341.66",no surge,,0,N/Surge,295.72,395.72,no surge,,0,N/Surge,692.09,No Discount,no surge,633.17,0,N/Surge,,No Discount,no surge
6,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Siyane Arcade Minuwangoda Road Udugampola 11000,2026-04-25,22:07:14,312.21,0,N/Surge,163.38,326.76,no surge,611.93,0,N/Surge,312.60,562.60,no surge,637.42,0,N/Surge,501.84,751.84,no surge,873.81,0,N/Surge,939.42,"1,189.42",no surge,,0,N/Surge,243.85,343.85,no surge,,0,N/Surge,605.41,No Discount,no surge,724.61,0,N/Surge,,No Discount,no surge
7,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Global Auto Mart minuwangoda road,2026-04-25,22:08:27,360.76,0,N/Surge,184.28,368.56,no surge,684.61,0,N/Surge,379.20,629.20,no surge,717.32,0,N/Surge,587.96,837.96,no surge,988.11,0,N/Surge,"1,075.55","1,325.55",no surge,,0,N/Surge,290.29,390.29,no surge,,0,N/Surge,682.96,No Discount,no surge,817.18,0,N/Surge,,No Discount,no surge
8,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,CRS ENGINEERING PRIVATE LIMITED,2026-04-25,22:09:38,414.99,0,N/Surge,206.94,413.88,no surge,757.2,0,N/Surge,469.13,719.13,no surge,799.12,0,N/Surge,687.53,937.53,no surge,1103.1,0,N/Surge,"1,233.29","1,483.29",no surge,,0,N/Surge,340.88,440.88,no surge,,0,N/Surge,775.25,No Discount,no surge,911.44,0,N/Surge,,No Discount,no surge
9,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Godalla Takeaway Gampaha,2026-04-25,22:10:51,472.54,0,N/Surge,247.09,494.18,no surge,834.06,0,N/Surge,549.91,799.91,no surge,885.05,0,N/Surge,793.29,"1,043.29",no surge,1222.78,0,N/Surge,"1,404.36","1,654.36",no surge,,0,N/Surge,424.12,524.12,no surge,,0,N/Surge,874.50,No Discount,no surge,1010.14,0,N/Surge,,No Discount,no surge
10,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Busy Bees Montessori International (AMI) preschool Ekala 3WX7+JM7 Wimalajothi Nahimi Mawatha Ja-Ela,2026-04-25,22:12:00,595.02,0,N/Surge,306.83,556.83,no surge,975.38,0,N/Surge,628.52,878.52,no surge,1041.08,0,N/Surge,888.00,"1,138.00",no surge,1436.97,0,N/Surge,"1,544.73","1,794.73",no surge,,0,N/Surge,495.98,595.98,no surge,,0,N/Surge,964.02,No Discount,no surge,1185.53,0,N/Surge,,No Discount,no surge
11,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Sanka Fashion 5W8W+PRV Ekala - Kotadeniyawa Rd Minuwangoda,2026-04-25,22:13:13,595.68,0,N/Surge,369.49,619.49,no surge,975.97,0,N/Surge,697.73,947.73,no surge,1041.54,0,N/Surge,971.65,"1,221.65",no surge,1437.13,0,N/Surge,"1,677.99","1,927.99",no surge,,0,N/Surge,558.59,658.59,no surge,,0,N/Surge,"1,036.62",No Discount,no surge,1185.92,0,N/Surge,,No Discount,no surge
12,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Tharushi Vegetables 5XPM+GMR,2026-04-25,22:14:23,668.4,0,N/Surge,445.23,695.23,no surge,1041.63,0,N/Surge,784.13,"1,034.13",no surge,1134.52,0,N/Surge,"1,077.05","1,327.05",no surge,1566.21,0,N/Surge,"1,847.28","2,097.28",no surge,,0,N/Surge,636.86,736.86,no surge,,0,N/Surge,"1,129.73",No Discount,no surge,1290.5,0,N/Surge,,No Discount,no surge
13,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,MLJ Communication trading and Education Center . No 102/D Kudahakapola North Ja-Ela 11350,2026-04-25,22:15:38,727.27,0,N/Surge,503.76,753.76,no surge,1095.48,0,N/Surge,852.65,"1,102.65",no surge,1207.29,0,N/Surge,"1,157.85","1,407.85",no surge,1662.63,0,N/Surge,"1,976.69","2,226.69",no surge,,0,N/Surge,700.18,800.18,no surge,,0,N/Surge,"1,211.51",No Discount,no surge,1371.1,0,N/Surge,,No Discount,no surge
14,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Thisara trade centre 3VRQ+P79 Tudella Junction Ja-Ela,2026-04-25,22:16:53,805.69,0,N/Surge,618.75,868.75,no surge,1167.4,0,N/Surge,981.77,"1,231.77",no surge,1310.88,0,N/Surge,"1,312.28","1,562.28",no surge,1804.91,0,N/Surge,"2,221.43","2,471.43",no surge,,0,N/Surge,814.73,914.73,no surge,,0,N/Surge,"1,351.32",No Discount,no surge,1486.44,0,N/Surge,,No Discount,no surge
15,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Yasiru pharmacy 185 Negombo road Ambulanmulla Seeduwa 11410,2026-04-25,22:18:04,876.54,0,N/Surge,647.67,897.67,no surge,1232.23,0,N/Surge,"1,012.86","1,262.86",no surge,1401.91,0,N/Surge,"1,355.74","1,605.74",no surge,1924.31,0,N/Surge,"2,292.72","2,542.72",no surge,,0,N/Surge,847.45,947.45,no surge,,0,N/Surge,"1,384.82",No Discount,no surge,1586.14,0,N/Surge,,No Discount,no surge
1,Good Shepherd Nursery Panadura,The Wedding Doctor No.683 Main road Panadura,2026-04-25,22:19:15,150.71,0,N/Surge,75.00,150.00,no surge,279.87,0,N/Surge,160.00,320.00,no surge,335.2,0,N/Surge,143.41,286.83,no surge,541.83,0,N/Surge,211.99,423.99,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,461.9,0,N/Surge,,No Discount,no surge
2,Good Shepherd Nursery Panadura,Thuryaa Bridal Beauty & Hair Salon No: 865/01/01 Panadura 12500,2026-04-25,22:20:26,152.0,0,N/Surge,79.00,158.00,no surge,280.81,0,N/Surge,160.00,320.00,no surge,390.54,0,N/Surge,177.54,355.08,no surge,587.98,0,N/Surge,307.94,557.94,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,469.72,0,N/Surge,,No Discount,no surge
3,Good Shepherd Nursery Panadura,Jagath Radiator Pinwaththa Junction Bus Stop Panadura,2026-04-25,22:21:39,184.32,0,N/Surge,94.84,189.68,no surge,293.9,0,N/Surge,160.00,320.00,no surge,499.3,0,N/Surge,224.54,449.09,no surge,732.39,0,N/Surge,458.02,708.02,no surge,,0,N/Surge,134.53,192.19,no surge,,0,N/Surge,332.44,No Discount,no surge,558.16,0,N/Surge,,No Discount,no surge
4,Good Shepherd Nursery Panadura,Blue Spring Hotel Thalpitiya Bridge Wadduwa 12560,2026-04-25,22:22:50,229.17,0,N/Surge,116.84,233.68,no surge,385.59,0,N/Surge,187.52,375.04,no surge,618.35,0,N/Surge,292.30,542.30,no surge,920.74,0,N/Surge,608.06,858.06,no surge,,0,N/Surge,168.43,240.61,no surge,,0,N/Surge,412.15,No Discount,no surge,701.28,0,N/Surge,,No Discount,no surge
5,Good Shepherd Nursery Panadura,Bivone Villa 29/A Albert Goonetilleke Mawatha Wadduwa 12560,2026-04-25,22:24:02,281.42,0,N/Surge,139.32,278.64,no surge,465.35,0,N/Surge,229.55,459.11,no surge,730.76,0,N/Surge,395.28,645.28,no surge,1104.0,0,N/Surge,771.57,"1,021.57",no surge,,0,N/Surge,206.11,294.45,no surge,,0,N/Surge,507.99,No Discount,no surge,823.39,0,N/Surge,,No Discount,no surge
6,Good Shepherd Nursery Panadura,LAKNA SUPER CENTRE no.654 ගාලු පාර Wadduwa,2026-04-25,22:25:14,327.34,0,N/Surge,159.12,318.24,no surge,532.29,0,N/Surge,276.07,526.07,no surge,825.73,0,N/Surge,480.42,730.42,no surge,1241.97,0,N/Surge,906.58,"1,156.58",no surge,,0,N/Surge,237.92,337.92,no surge,,0,N/Surge,568.59,No Discount,no surge,926.33,0,N/Surge,,No Discount,no surge
7,Good Shepherd Nursery Panadura,Sarvo Mart 798 Colombo - Galle Main Rd Wadduwa 12560,2026-04-25,22:26:25,387.57,0,N/Surge,185.38,370.76,no surge,610.06,0,N/Surge,359.62,609.62,no surge,936.07,0,N/Surge,582.38,832.38,no surge,1403.51,0,N/Surge,"1,068.67","1,318.67",no surge,,0,N/Surge,292.26,392.26,no surge,,0,N/Surge,673.20,No Discount,no surge,1046.26,0,N/Surge,,No Discount,no surge
8,Good Shepherd Nursery Panadura,YM bakeryColombo Main Rd Wadduwa,2026-04-25,22:27:37,447.78,0,N/Surge,242.27,484.54,no surge,707.54,0,N/Surge,506.38,756.38,no surge,1045.28,0,N/Surge,770.71,"1,020.71",no surge,1572.11,0,N/Surge,"1,369.47","1,619.47",no surge,,0,N/Surge,412.74,512.74,no surge,,0,N/Surge,826.77,No Discount,no surge,1165.15,0,N/Surge,,No Discount,no surge
9,Good Shepherd Nursery Panadura,JSL Japanese language school JWPR+W2X Panapitiya Road Pothupitiya Wadduwa,2026-04-25,22:28:49,502.94,0,N/Surge,241.92,483.85,no surge,988.48,0,Surge,514.11,764.11,no surge,1146.3,0,N/Surge,770.45,"1,020.45",no surge,1726.9,0,N/Surge,"1,367.15","1,617.15",no surge,,0,N/Surge,414.16,514.16,no surge,,0,N/Surge,845.72,No Discount,no surge,1283.9,0,N/Surge,,No Discount,no surge
10,Good Shepherd Nursery Panadura,Family Mart Food CityWadiyamankada Junction Kuda WaskaduwaWaskaudwa Gall road Kalutara 10400,2026-04-25,22:30:03,554.81,0,N/Surge,300.64,550.64,no surge,1051.46,0,Surge,589.99,"1,088.99",no surge,1241.73,0,N/Surge,860.30,"1,110.30",no surge,1873.9,0,N/Surge,"1,502.50","1,752.50",no surge,,0,N/Surge,484.60,584.60,no surge,,0,N/Surge,"1,208.08",No Discount,no surge,1396.28,0,N/Surge,,No Discount,no surge
11,Good Shepherd Nursery Panadura,Rajaguru Sri Subuthi Temple Waskaduwa JWCW+HRR A2 Wadduwa,2026-04-25,22:31:16,624.74,0,N/Surge,368.80,618.80,no surge,1121.81,0,Surge,670.15,"1,193.20",no surge,1347.6,0,N/Surge,956.91,"1,206.91",no surge,2035.71,0,N/Surge,"1,655.51","1,905.51",no surge,,0,N/Surge,554.32,654.32,no surge,,0,N/Surge,"1,320.03",No Discount,no surge,1520.61,0,N/Surge,,No Discount,no surge
12,Good Shepherd Nursery Panadura,Janaka Motors Bus Stop Wadduwa,2026-04-25,22:32:30,692.58,0,N/Surge,435.59,685.59,no surge,1207.59,0,Surge,735.33,"1,277.93",no surge,1451.42,0,N/Surge,"1,045.13","1,295.13",no surge,2197.1,0,N/Surge,"1,795.20","2,045.20",no surge,,0,N/Surge,623.34,723.34,no surge,,0,N/Surge,"1,419.52",No Discount,no surge,1643.25,0,N/Surge,,No Discount,no surge
13,Good Shepherd Nursery Panadura,Malevana Traditional Medicine Centre 81 Galle - Colombo Rd Kalutara,2026-04-25,22:33:42,762.02,0,N/Surge,508.58,758.58,no surge,1295.4,0,Surge,818.14,"1,385.58",no surge,1555.17,0,N/Surge,"1,143.50","1,393.50",no surge,2363.83,0,N/Surge,"1,951.97","2,201.97",no surge,,0,N/Surge,699.47,799.47,no surge,,0,N/Surge,"1,541.68",No Discount,no surge,1764.52,0,N/Surge,,No Discount,no surge
14,Good Shepherd Nursery Panadura,BEST LIFE - NAGODA FRANCHISE NEAR SUGATHA SCHOOL # B 377 Colombo - Galle - Hambantota - Wellawaya Hwy Wadduwa,2026-04-25,22:34:55,830.57,0,N/Surge,"2,278.15","2,528.15",no surge,1282.07,0,Surge,"2,863.53","4,354.94",no surge,1678.17,0,N/Surge,"3,597.60","4,232.36",no surge,2537.24,0,N/Surge,"5,880.10","6,743.11",no surge,,0,N/Surge,"2,527.97","2,627.97",no surge,,0,N/Surge,"4,780.97",No Discount,no surge,1895.61,0,N/Surge,,No Discount,no surge
