Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,One Galle Face Mall 1A Centre Road Colombo 00200,The Emperor 75A Galle Rd Colombo 00300,2026-04-27,17:43:19,154.73,0,N/Surge,155.00,169.50,no surge,461.9,0,Surge,305.00,364.00,no surge,445.82,0,N/Surge,463.79,No Discount,no surge,639.24,0,N/Surge,656.92,No Discount,no surge,,0,N/Surge,198.00,No Discount,no surge,,0,N/Surge,360.00,No Discount,no surge,547.13,0,N/Surge,,No Discount,no surge
2,One Galle Face Mall 1A Centre Road Colombo 00200,Liberty Plaza 300 Srimath Anagarika Dharmapala Mawatha Colombo 00300,2026-04-27,17:44:33,155.34,0,N/Surge,163.00,No Discount,no surge,301.65,0,N/Surge,305.00,364.00,no surge,391.81,0,N/Surge,506.50,No Discount,no surge,533.99,0,N/Surge,696.18,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,360.00,No Discount,no surge,448.92,0,N/Surge,,No Discount,no surge
3,One Galle Face Mall 1A Centre Road Colombo 00200,Roar Global 367 R. A. De Mel Mawatha Colombo 00300,2026-04-27,17:45:44,195.85,0,N/Surge,198.80,No Discount,no surge,313.55,0,N/Surge,324.33,355.76,no surge,561.42,0,N/Surge,602.76,No Discount,no surge,751.79,0,N/Surge,840.46,No Discount,no surge,,0,N/Surge,199.11,No Discount,no surge,,0,N/Surge,410.17,No Discount,no surge,639.73,0,N/Surge,,No Discount,no surge
4,One Galle Face Mall 1A Centre Road Colombo 00200,Horton Regency Apartments 33 Horton Pl Colombo 00700,2026-04-27,17:46:57,239.25,0,N/Surge,240.80,No Discount,no surge,392.48,0,N/Surge,419.22,460.14,no surge,660.58,0,N/Surge,698.58,No Discount,no surge,912.17,0,N/Surge,976.69,No Discount,no surge,,0,N/Surge,244.06,No Discount,no surge,,0,N/Surge,502.56,No Discount,no surge,727.86,0,N/Surge,,No Discount,no surge
5,One Galle Face Mall 1A Centre Road Colombo 00200,Cinnamon Nest Apartments 5 Dudley Senanayake Mawatha Colombo 00800,2026-04-27,17:48:14,293.83,0,N/Surge,279.95,No Discount,no surge,673.84,0,Surge,493.26,541.59,no surge,759.67,0,N/Surge,801.08,No Discount,no surge,1059.24,0,N/Surge,"1,137.17",No Discount,no surge,,0,N/Surge,289.51,No Discount,no surge,,0,N/Surge,607.98,No Discount,no surge,854.28,0,N/Surge,,No Discount,no surge
6,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Fuel Center Marine Dr Colombo,2026-04-27,17:49:28,355.03,0,N/Surge,341.65,No Discount,no surge,765.34,0,Surge,563.21,618.53,no surge,860.26,0,N/Surge,913.01,No Discount,no surge,1226.11,0,N/Surge,"1,309.76",No Discount,no surge,,0,N/Surge,361.14,No Discount,no surge,,0,N/Surge,736.57,No Discount,no surge,982.42,0,N/Surge,,No Discount,no surge
7,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Seafood 55 Collingwood Pl Colombo 00600,2026-04-27,17:50:41,404.15,0,N/Surge,371.80,No Discount,no surge,849.73,0,Surge,618.40,679.24,no surge,955.03,0,N/Surge,967.24,No Discount,no surge,1386.35,0,N/Surge,"1,386.73",No Discount,no surge,,0,N/Surge,387.82,No Discount,no surge,,0,N/Surge,800.73,No Discount,no surge,1103.81,0,N/Surge,,No Discount,no surge
8,One Galle Face Mall 1A Centre Road Colombo 00200,Jagota Agro Products 467 Sri Jayawardenepura Mawatha Sri Jayawardenepura Kotte 10107,2026-04-27,17:51:55,453.78,0,N/Surge,417.70,537.01,no surge,839.17,0,Surge,768.26,919.91,no surge,1172.25,0,Surge,"1,116.94",No Discount,no surge,1548.93,0,N/Surge,"1,617.44",No Discount,no surge,,0,N/Surge,592.57,No Discount,no surge,,0,N/Surge,"1,045.00",No Discount,no surge,1228.92,0,N/Surge,,No Discount,no surge
9,One Galle Face Mall 1A Centre Road Colombo 00200,Infinity Garden - Diyatha Uyana Mies Rohe Fountain Sri Jayawardenepura Kotte,2026-04-27,17:53:09,521.88,0,N/Surge,502.17,598.60,no surge,931.37,0,Surge,921.45,"1,103.74",no surge,1269.3,0,Surge,"1,251.95",No Discount,no surge,1706.31,0,N/Surge,"1,809.94",No Discount,no surge,,0,N/Surge,651.14,No Discount,no surge,,0,N/Surge,"1,207.52",No Discount,no surge,1352.85,0,N/Surge,,No Discount,no surge
10,One Galle Face Mall 1A Centre Road Colombo 00200,Janaka Record Bar Main St Battaramulla,2026-04-27,17:54:24,618.44,0,N/Surge,558.76,666.51,no surge,826.12,0,N/Surge,958.97,"1,148.76",no surge,1072.68,0,N/Surge,"1,333.07",No Discount,no surge,1594.44,0,N/Surge,"1,938.15",No Discount,no surge,,0,N/Surge,722.87,No Discount,no surge,,0,N/Surge,"1,287.14",No Discount,no surge,1324.97,0,N/Surge,,No Discount,no surge
