Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-24,22:01:12,150.78,0,N/Surge,150.00,No Discount,no surge,279.95,0,N/Surge,320.00,No Discount,no surge,336.15,0,N/Surge,286.83,No Discount,no surge,543.48,0,N/Surge,423.99,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,462.61,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-24,22:02:23,151.31,0,N/Surge,150.00,No Discount,no surge,280.61,0,N/Surge,320.00,No Discount,no surge,386.62,0,N/Surge,355.42,No Discount,no surge,585.04,0,N/Surge,559.34,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,468.56,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-24,22:03:36,189.48,0,N/Surge,190.56,No Discount,no surge,296.13,0,N/Surge,320.00,No Discount,no surge,517.35,0,N/Surge,455.32,No Discount,no surge,758.2,0,N/Surge,718.61,No Discount,no surge,,0,N/Surge,134.53,192.19,no surge,,0,N/Surge,332.52,No Discount,no surge,573.69,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-24,22:04:45,232.7,0,N/Surge,233.76,No Discount,no surge,391.47,0,N/Surge,397.24,No Discount,no surge,627.84,0,N/Surge,556.75,No Discount,no surge,939.0,0,N/Surge,879.62,No Discount,no surge,,0,N/Surge,170.50,243.57,no surge,,0,N/Surge,416.68,No Discount,no surge,712.93,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-24,22:05:56,281.29,0,N/Surge,278.20,No Discount,no surge,465.07,0,N/Surge,483.41,No Discount,no surge,732.43,0,N/Surge,655.67,No Discount,no surge,1110.24,0,N/Surge,"1,037.80",No Discount,no surge,,0,N/Surge,205.08,292.97,no surge,,0,N/Surge,506.85,No Discount,no surge,826.39,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-24,22:07:04,328.3,0,N/Surge,325.44,No Discount,no surge,533.58,0,N/Surge,550.64,No Discount,no surge,830.07,0,N/Surge,744.78,No Discount,no surge,1252.88,0,N/Surge,"1,181.72",No Discount,no surge,,0,N/Surge,241.88,341.88,no surge,,0,N/Surge,597.91,No Discount,no surge,932.47,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-24,22:08:12,386.92,0,N/Surge,368.12,No Discount,no surge,608.81,0,N/Surge,629.49,No Discount,no surge,937.65,0,N/Surge,838.71,No Discount,no surge,1410.72,0,N/Surge,"1,330.97",No Discount,no surge,,0,N/Surge,289.30,389.30,no surge,,0,N/Surge,680.25,No Discount,no surge,1049.56,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-24,22:09:21,447.01,0,N/Surge,415.68,No Discount,no surge,706.3,0,N/Surge,709.22,No Discount,no surge,1045.77,0,N/Surge,939.60,No Discount,no surge,1576.23,0,N/Surge,"1,490.42",No Discount,no surge,,0,N/Surge,344.44,444.44,no surge,,0,N/Surge,773.26,No Discount,no surge,1166.61,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-24,22:10:31,497.79,0,N/Surge,497.62,No Discount,no surge,781.47,0,N/Surge,804.77,No Discount,no surge,1139.44,0,N/Surge,"1,054.97",No Discount,no surge,1720.95,0,N/Surge,"1,673.16",No Discount,no surge,,0,N/Surge,429.81,529.81,no surge,,0,N/Surge,876.50,No Discount,no surge,1277.03,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-24,22:11:40,556.06,0,N/Surge,"1,195.12",No Discount,no surge,852.99,0,N/Surge,"1,815.11",No Discount,no surge,1247.79,0,N/Surge,"2,058.76",No Discount,no surge,1889.83,0,N/Surge,"3,263.00",No Discount,no surge,,0,N/Surge,"1,177.58","1,277.58",no surge,,0,N/Surge,"1,989.82",No Discount,no surge,1405.14,0,N/Surge,,No Discount,no surge
11,Nawaloka Medical Mount Lavinia,M Craft Handcraft Designers Sunanda Eliya Rd Moratuwa,2026-04-24,22:12:50,626.25,0,N/Surge,618.80,No Discount,no surge,923.69,0,N/Surge,932.22,No Discount,no surge,1354.69,0,N/Surge,"1,217.57",No Discount,no surge,2054.56,0,N/Surge,"1,923.69",No Discount,no surge,,0,N/Surge,552.19,652.19,no surge,,0,N/Surge,"1,007.44",No Discount,no surge,1531.03,0,N/Surge,,No Discount,no surge
