Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Jayantha Furnitures Pvt Ltd No.105/C Ja Ela Rd Gampaha,2026-04-24,22:01:15,149.73,0,N/Surge,150.00,No Discount,no surge,280.89,0,N/Surge,320.00,No Discount,no surge,337.31,0,N/Surge,286.83,No Discount,no surge,446.16,0,N/Surge,424.73,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,380.08,0,N/Surge,,No Discount,no surge
2,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Pathirana stores 3XVH+H9M Gampaha,2026-04-24,22:02:26,150.24,0,N/Surge,"2,273.44",No Discount,no surge,281.52,0,N/Surge,"2,707.22","2,976.94",no surge,341.05,0,N/Surge,"3,962.11",No Discount,no surge,456.82,0,N/Surge,"6,122.86",No Discount,no surge,,0,N/Surge,"2,503.73",No Discount,no surge,,0,N/Surge,"3,287.03",No Discount,no surge,385.76,0,N/Surge,,No Discount,no surge
4,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Badulu Hotel Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-24,22:04:14,224.26,0,N/Surge,233.32,No Discount,no surge,446.77,0,N/Surge,389.04,No Discount,no surge,480.5,0,N/Surge,552.90,No Discount,no surge,653.06,0,N/Surge,873.50,No Discount,no surge,,0,N/Surge,244.06,No Discount,no surge,,0,N/Surge,425.87,No Discount,no surge,544.09,0,N/Surge,,No Discount,no surge
5,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Janaka Enterprises Makewite No.140/EMegoda thammithaMakewite Ja-Ela,2026-04-24,22:05:25,261.77,0,N/Surge,372.96,No Discount,no surge,529.39,0,N/Surge,626.66,No Discount,no surge,557.21,0,N/Surge,842.32,No Discount,no surge,761.64,0,N/Surge,"1,334.95",No Discount,no surge,,0,N/Surge,392.76,No Discount,no surge,,0,N/Surge,671.47,No Discount,no surge,632.72,0,N/Surge,,No Discount,no surge
6,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Siyane Arcade Minuwangoda Road Udugampola 11000,2026-04-24,22:06:37,312.16,0,N/Surge,326.32,No Discount,no surge,611.88,0,N/Surge,551.46,No Discount,no surge,637.1,0,N/Surge,743.48,No Discount,no surge,872.89,0,N/Surge,"1,177.54",No Discount,no surge,,0,N/Surge,342.86,No Discount,no surge,,0,N/Surge,598.37,No Discount,no surge,724.12,0,N/Surge,,No Discount,no surge
7,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Global Auto Mart minuwangoda road,2026-04-24,22:07:49,360.7,0,N/Surge,368.56,No Discount,no surge,684.54,0,N/Surge,613.90,No Discount,no surge,716.88,0,N/Surge,829.93,No Discount,no surge,986.86,0,N/Surge,"1,314.82",No Discount,no surge,,0,N/Surge,389.79,No Discount,no surge,,0,N/Surge,677.10,No Discount,no surge,816.51,0,N/Surge,,No Discount,no surge
8,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,CRS ENGINEERING PRIVATE LIMITED,2026-04-24,22:09:04,414.92,0,N/Surge,413.44,No Discount,no surge,757.12,0,N/Surge,704.02,No Discount,no surge,798.62,0,N/Surge,929.44,No Discount,no surge,1101.69,0,N/Surge,"1,472.46",No Discount,no surge,,0,N/Surge,440.18,No Discount,no surge,,0,N/Surge,769.23,No Discount,no surge,910.69,0,N/Surge,,No Discount,no surge
9,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Godalla Takeaway Gampaha,2026-04-24,22:10:17,472.45,0,N/Surge,489.36,No Discount,no surge,833.95,0,N/Surge,791.51,No Discount,no surge,884.41,0,N/Surge,"1,037.17",No Discount,no surge,1220.94,0,N/Surge,"1,645.95",No Discount,no surge,,0,N/Surge,521.99,No Discount,no surge,,0,N/Surge,869.61,No Discount,no surge,1009.16,0,N/Surge,,No Discount,no surge
10,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Busy Bees Montessori International (AMI) preschool Ekala 3WX7+JM7 Wimalajothi Nahimi Mawatha Ja-Ela,2026-04-24,22:11:26,594.89,0,N/Surge,555.46,No Discount,no surge,975.22,0,N/Surge,869.92,No Discount,no surge,1040.11,0,N/Surge,"1,131.19",No Discount,no surge,1434.23,0,N/Surge,"1,784.31",No Discount,no surge,,0,N/Surge,594.56,No Discount,no surge,,0,N/Surge,960.73,No Discount,no surge,1184.06,0,N/Surge,,No Discount,no surge
11,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Sanka Fashion 5W8W+PRV Ekala - Kotadeniyawa Rd Minuwangoda,2026-04-24,22:12:38,595.54,0,N/Surge,619.49,No Discount,no surge,975.78,0,N/Surge,934.38,No Discount,no surge,1040.46,0,N/Surge,"1,214.49",No Discount,no surge,1434.05,0,N/Surge,"1,917.04",No Discount,no surge,,0,N/Surge,656.46,No Discount,no surge,,0,N/Surge,"1,030.22",No Discount,no surge,1184.28,0,N/Surge,,No Discount,no surge
12,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Tharushi Vegetables 5XPM+GMR,2026-04-24,22:13:49,668.25,0,N/Surge,694.54,No Discount,no surge,1041.44,0,N/Surge,"1,020.25",No Discount,no surge,1133.41,0,N/Surge,"1,317.67",No Discount,no surge,1563.04,0,N/Surge,"2,083.98",No Discount,no surge,,0,N/Surge,734.72,No Discount,no surge,,0,N/Surge,"1,123.59",No Discount,no surge,1288.81,0,N/Surge,,No Discount,no surge
13,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,MLJ Communication trading and Education Center . No 102/D Kudahakapola North Ja-Ela 11350,2026-04-24,22:14:59,727.16,0,N/Surge,491.42,No Discount,no surge,1095.34,0,N/Surge,781.66,No Discount,no surge,1206.47,0,N/Surge,"1,036.48",No Discount,no surge,1660.3,0,N/Surge,"1,644.83",No Discount,no surge,,0,N/Surge,518.43,No Discount,no surge,,0,N/Surge,844.43,No Discount,no surge,1369.86,0,N/Surge,,No Discount,no surge
14,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Thisara trade centre 3VRQ+P79 Tudella Junction Ja-Ela,2026-04-24,22:16:08,805.56,0,N/Surge,489.36,No Discount,no surge,1167.24,0,N/Surge,790.77,No Discount,no surge,1309.98,0,N/Surge,"1,035.79",No Discount,no surge,1802.33,0,N/Surge,"1,643.77",No Discount,no surge,,0,N/Surge,521.28,No Discount,no surge,,0,N/Surge,867.84,No Discount,no surge,1485.06,0,N/Surge,,No Discount,no surge
15,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Yasiru pharmacy 185 Negombo road Ambulanmulla Seeduwa 11410,2026-04-24,22:17:18,876.39,0,N/Surge,898.35,No Discount,no surge,1232.04,0,N/Surge,"1,259.01",No Discount,no surge,1400.8,0,N/Surge,"1,602.10",No Discount,no surge,1921.14,0,N/Surge,"2,536.33",No Discount,no surge,,0,N/Surge,946.03,No Discount,no surge,,0,N/Surge,"1,382.95",No Discount,no surge,1584.45,0,N/Surge,,No Discount,no surge
1,Good Shepherd Nursery Panadura,The Wedding Doctor No.683 Main road Panadura,2026-04-24,22:18:28,150.7,0,N/Surge,"3,672.04",No Discount,no surge,279.86,0,N/Surge,"4,994.27",No Discount,no surge,335.14,0,N/Surge,"6,876.95",No Discount,no surge,541.66,0,N/Surge,"10,748.33",No Discount,no surge,,0,N/Surge,"5,049.09",No Discount,no surge,,0,N/Surge,"5,722.28",No Discount,no surge,461.81,0,N/Surge,,No Discount,no surge
2,Good Shepherd Nursery Panadura,Thuryaa Bridal Beauty & Hair Salon No: 865/01/01 Panadura 12500,2026-04-24,22:19:39,151.98,0,N/Surge,158.00,No Discount,no surge,280.8,0,N/Surge,320.00,No Discount,no surge,390.46,0,N/Surge,354.77,No Discount,no surge,587.73,0,N/Surge,557.84,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,469.59,0,N/Surge,,No Discount,no surge
3,Good Shepherd Nursery Panadura,Jagath Radiator Pinwaththa Junction Bus Stop Panadura,2026-04-24,22:20:51,184.26,0,N/Surge,"1,748.02",No Discount,no surge,293.84,0,N/Surge,"2,242.24","2,465.46",no surge,498.92,0,N/Surge,"2,785.23",No Discount,no surge,731.31,0,N/Surge,"4,419.24",No Discount,no surge,,0,N/Surge,"1,826.13",No Discount,no surge,,0,N/Surge,"2,706.21",No Discount,no surge,557.58,0,N/Surge,,No Discount,no surge
4,Good Shepherd Nursery Panadura,Blue Spring Hotel Thalpitiya Bridge Wadduwa 12560,2026-04-24,22:22:04,229.1,0,N/Surge,233.68,No Discount,no surge,385.51,0,N/Surge,382.52,No Discount,no surge,617.88,0,N/Surge,545.87,No Discount,no surge,919.41,0,N/Surge,861.30,No Discount,no surge,,0,N/Surge,240.61,No Discount,no surge,,0,N/Surge,413.98,No Discount,no surge,700.57,0,N/Surge,,No Discount,no surge
5,Good Shepherd Nursery Panadura,Bivone Villa 29/A Albert Goonetilleke Mawatha Wadduwa 12560,2026-04-24,22:23:15,281.34,0,N/Surge,279.08,No Discount,no surge,465.25,0,N/Surge,461.75,No Discount,no surge,730.14,0,N/Surge,646.97,No Discount,no surge,1102.25,0,N/Surge,"1,023.75",No Discount,no surge,,0,N/Surge,294.45,No Discount,no surge,,0,N/Surge,507.66,No Discount,no surge,822.45,0,N/Surge,,No Discount,no surge
6,Good Shepherd Nursery Panadura,LAKNA SUPER CENTRE no.654 ගාලු පාර Wadduwa,2026-04-24,22:24:24,276.88,0,N/Surge,318.24,No Discount,no surge,458.51,0,N/Surge,528.57,No Discount,no surge,723.43,0,N/Surge,731.48,No Discount,no surge,1096.91,0,N/Surge,"1,158.47",No Discount,no surge,,0,N/Surge,337.92,No Discount,no surge,,0,N/Surge,570.00,No Discount,no surge,816.8,0,N/Surge,,No Discount,no surge
7,Good Shepherd Nursery Panadura,Sarvo Mart 798 Colombo - Galle Main Rd Wadduwa 12560,2026-04-24,22:25:35,387.43,0,N/Surge,370.76,No Discount,no surge,609.89,0,N/Surge,610.64,No Discount,no surge,935.05,0,N/Surge,833.70,No Discount,no surge,1400.6,0,N/Surge,"1,321.05",No Discount,no surge,,0,N/Surge,392.26,No Discount,no surge,,0,N/Surge,672.37,No Discount,no surge,1044.7,0,N/Surge,,No Discount,no surge
8,Good Shepherd Nursery Panadura,YM bakeryColombo Main Rd Wadduwa,2026-04-24,22:26:47,447.62,0,N/Surge,484.54,No Discount,no surge,707.35,0,N/Surge,767.38,No Discount,no surge,1044.11,0,N/Surge,"1,022.84",No Discount,no surge,1568.78,0,N/Surge,"1,620.96",No Discount,no surge,,0,N/Surge,514.87,No Discount,no surge,,0,N/Surge,847.66,No Discount,no surge,1163.37,0,N/Surge,,No Discount,no surge
