Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Sudu Putha Hardware Piliyandala,2026-04-26,20:01:12,150.78,0,N/Surge,75.00,150.00,no surge,303.96,0,N/Surge,150.00,329.00,no surge,336.21,0,N/Surge,143.41,286.83,no surge,543.65,0,N/Surge,218.61,437.22,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,330.00,No Discount,no surge,462.7,0,N/Surge,,No Discount,no surge
2,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Deniya Car Rental 335/3 Moratuwa Road Deniya Rd Piliyandala 10300,2026-04-26,20:02:25,152.16,0,N/Surge,75.00,150.00,no surge,554.88,0,Surge,150.00,329.00,no surge,391.74,0,N/Surge,179.96,359.92,no surge,591.4,0,N/Surge,312.69,562.69,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,330.00,No Discount,no surge,471.54,0,N/Surge,,No Discount,no surge
3,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Ranuth Furniture Moratuwa 10400,2026-04-26,20:03:36,190.84,0,N/Surge,98.36,196.72,no surge,564.96,0,Surge,155.92,342.04,no surge,521.91,0,N/Surge,238.37,476.74,no surge,766.72,0,N/Surge,499.31,749.31,no surge,,0,N/Surge,139.03,198.62,no surge,,0,N/Surge,382.75,No Discount,no surge,579.2,0,N/Surge,,No Discount,no surge
4,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Enex Fabric Shop 4 Sri Premaratna Mawatha Moratuwa 10400,2026-04-26,20:04:49,230.63,0,N/Surge,118.42,236.84,no surge,637.22,0,Surge,195.81,429.78,no surge,625.21,0,N/Surge,329.52,579.52,no surge,937.81,0,N/Surge,664.22,914.22,no surge,,0,N/Surge,173.96,248.51,no surge,,0,N/Surge,495.52,No Discount,no surge,711.22,0,N/Surge,,No Discount,no surge
5,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Singhe Furniture Work Shop 8 2 Upper Indibedda Rd Moratuwa 10400,2026-04-26,20:06:01,280.73,0,N/Surge,140.42,280.84,no surge,713.6,0,Surge,236.48,519.27,no surge,733.62,0,N/Surge,431.92,681.92,no surge,1116.57,0,N/Surge,825.01,"1,075.01",no surge,,0,N/Surge,208.88,298.40,no surge,,0,N/Surge,595.64,No Discount,no surge,829.12,0,N/Surge,,No Discount,no surge
6,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Cure Care Pharmacy 159/C 2 Polgasowita 10320,2026-04-26,20:07:14,332.82,0,N/Surge,158.02,316.04,no surge,803.12,0,Surge,261.70,561.87,no surge,838.88,0,N/Surge,495.64,745.64,no surge,1266.33,0,N/Surge,928.19,"1,178.19",no surge,,0,N/Surge,235.45,335.45,no surge,,0,N/Surge,649.99,No Discount,no surge,942.22,0,N/Surge,,No Discount,no surge
7,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Jithuli Traders Colombo - Horana Rd Polgasowita,2026-04-26,20:08:27,392.56,0,N/Surge,182.30,364.60,no surge,722.32,0,Surge,331.52,638.67,no surge,947.25,0,N/Surge,594.28,844.28,no surge,1424.5,0,N/Surge,"1,086.85","1,336.85",no surge,,0,N/Surge,286.83,386.83,no surge,,0,N/Surge,758.34,No Discount,no surge,1059.6,0,N/Surge,,No Discount,no surge
8,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Richi (singer) 251 Colombo - Horana Rd Polgasowita,2026-04-26,20:09:40,450.4,0,N/Surge,208.53,417.06,no surge,788.9,0,Surge,404.44,718.88,no surge,1052.06,0,N/Surge,691.74,941.74,no surge,1586.02,0,N/Surge,"1,241.97","1,491.97",no surge,,0,N/Surge,338.21,438.21,no surge,,0,N/Surge,858.72,No Discount,no surge,1174.04,0,N/Surge,,No Discount,no surge
9,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,ITCS - Institute of Training & Care Services 296/2/4 High Level Rd Pannipitiya 10230,2026-04-26,20:10:57,507.09,0,N/Surge,240.54,481.09,no surge,850.75,0,Surge,489.18,812.10,no surge,1158.08,0,N/Surge,804.34,"1,054.34",no surge,1752.35,0,N/Surge,"1,422.23","1,672.23",no surge,,0,N/Surge,415.59,515.59,no surge,,0,N/Surge,963.34,No Discount,no surge,1299.68,0,N/Surge,,No Discount,no surge
10,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Luxe Highway Residencies by Home Lands Skyline 320 High Level Rd Pannipitiya 10230,2026-04-26,20:12:08,562.64,0,N/Surge,301.33,551.33,no surge,910.81,0,Surge,560.17,810.17,no surge,1258.04,0,N/Surge,899.88,"1,149.88",no surge,1905.45,0,N/Surge,"1,563.92","1,813.92",no surge,,0,N/Surge,487.44,587.44,no surge,,0,N/Surge,964.95,No Discount,no surge,1417.16,0,N/Surge,,No Discount,no surge
