Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,One Galle Face Mall 1A Centre Road Colombo 00200,The Emperor 75A Galle Rd Colombo 00300,2026-04-28,17:01:13,154.76,0,N/Surge,184.00,No Discount,no surge,311.94,0,N/Surge,305.00,No Discount,no surge,446.06,0,N/Surge,463.79,No Discount,no surge,639.91,0,N/Surge,656.92,No Discount,no surge,,0,N/Surge,216.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,547.48,0,N/Surge,,No Discount,no surge
2,One Galle Face Mall 1A Centre Road Colombo 00200,Liberty Plaza 300 Srimath Anagarika Dharmapala Mawatha Colombo 00300,2026-04-28,17:02:27,156.11,0,N/Surge,177.50,No Discount,no surge,312.66,0,N/Surge,305.00,No Discount,no surge,468.69,0,N/Surge,501.98,No Discount,no surge,654.85,0,N/Surge,685.12,No Discount,no surge,,0,N/Surge,198.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,556.45,0,N/Surge,,No Discount,no surge
3,One Galle Face Mall 1A Centre Road Colombo 00200,Roar Global 367 R. A. De Mel Mawatha Colombo 00300,2026-04-28,17:03:41,181.87,0,N/Surge,217.38,No Discount,no surge,464.87,0,Surge,323.14,No Discount,no surge,564.5,0,N/Surge,593.62,No Discount,no surge,752.84,0,N/Surge,821.42,No Discount,no surge,,0,N/Surge,213.05,No Discount,no surge,,0,N/Surge,352.41,No Discount,no surge,641.33,0,N/Surge,,No Discount,no surge
4,One Galle Face Mall 1A Centre Road Colombo 00200,Horton Regency Apartments 33 Horton Pl Colombo 00700,2026-04-28,17:04:54,231.62,0,N/Surge,239.90,No Discount,no surge,543.2,0,Surge,396.34,No Discount,no surge,661.1,0,N/Surge,693.58,No Discount,no surge,912.48,0,N/Surge,973.52,No Discount,no surge,,0,N/Surge,245.05,No Discount,no surge,,0,N/Surge,452.74,No Discount,no surge,728.04,0,N/Surge,,No Discount,no surge
5,One Galle Face Mall 1A Centre Road Colombo 00200,Cinnamon Nest Apartments 5 Dudley Senanayake Mawatha Colombo 00800,2026-04-28,17:06:09,275.84,0,N/Surge,285.35,No Discount,no surge,623.98,0,Surge,506.76,No Discount,no surge,760.46,0,N/Surge,809.52,No Discount,no surge,1061.49,0,N/Surge,"1,149.87",No Discount,no surge,,0,N/Surge,293.46,No Discount,no surge,,0,N/Surge,559.70,No Discount,no surge,855.48,0,N/Surge,,No Discount,no surge
6,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Fuel Center Marine Dr Colombo,2026-04-28,17:07:24,327.39,0,N/Surge,342.55,No Discount,no surge,715.52,0,Surge,556.79,No Discount,no surge,861.34,0,N/Surge,907.92,No Discount,no surge,1229.19,0,N/Surge,"1,301.33",No Discount,no surge,,0,N/Surge,361.64,No Discount,no surge,,0,N/Surge,668.05,No Discount,no surge,984.06,0,N/Surge,,No Discount,no surge
7,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Seafood 55 Collingwood Pl Colombo 00600,2026-04-28,17:08:42,379.45,0,N/Surge,372.70,No Discount,no surge,849.94,0,Surge,613.04,No Discount,no surge,956.31,0,N/Surge,967.45,No Discount,no surge,1390.01,0,N/Surge,"1,389.67",No Discount,no surge,,0,N/Surge,388.31,No Discount,no surge,,0,N/Surge,720.46,No Discount,no surge,1105.76,0,N/Surge,,No Discount,no surge
8,One Galle Face Mall 1A Centre Road Colombo 00200,Jagota Agro Products 467 Sri Jayawardenepura Mawatha Sri Jayawardenepura Kotte 10107,2026-04-28,17:09:57,431.86,0,N/Surge,424.45,No Discount,no surge,939.38,0,Surge,782.43,No Discount,no surge,1053.47,0,N/Surge,"1,133.55",No Discount,no surge,1552.43,0,N/Surge,"1,639.97",No Discount,no surge,,0,N/Surge,466.49,No Discount,no surge,,0,N/Surge,885.38,No Discount,no surge,1230.79,0,N/Surge,,No Discount,no surge
9,One Galle Face Mall 1A Centre Road Colombo 00200,Infinity Garden - Diyatha Uyana Mies Rohe Fountain Sri Jayawardenepura Kotte,2026-04-28,17:11:13,491.16,0,N/Surge,514.05,No Discount,no surge,1031.64,0,Surge,890.14,No Discount,no surge,1150.91,0,N/Surge,"1,263.97",No Discount,no surge,1710.89,0,N/Surge,"1,831.75",No Discount,no surge,,0,N/Surge,548.31,No Discount,no surge,,0,N/Surge,996.60,No Discount,no surge,1355.3,0,N/Surge,,No Discount,no surge
10,One Galle Face Mall 1A Centre Road Colombo 00200,Janaka Record Bar Main St Battaramulla,2026-04-28,17:12:25,561.88,0,N/Surge,627.23,No Discount,no surge,1111.51,0,Surge,975.93,No Discount,no surge,1249.13,0,N/Surge,"1,357.06",No Discount,no surge,1872.8,0,N/Surge,"1,972.10",No Discount,no surge,,0,N/Surge,678.28,No Discount,no surge,,0,N/Surge,"1,094.85",No Discount,no surge,1481.24,0,N/Surge,,No Discount,no surge
11,One Galle Face Mall 1A Centre Road Colombo 00200,MAS TS car park Thalangama Bus Depot Rd Battaramulla,2026-04-28,17:13:41,632.32,0,N/Surge,641.19,No Discount,no surge,1191.06,0,Surge,"1,086.08",No Discount,no surge,1345.41,0,N/Surge,"1,445.49",No Discount,no surge,2029.13,0,N/Surge,"2,094.55",No Discount,no surge,,0,N/Surge,682.78,No Discount,no surge,,0,N/Surge,"1,194.96",No Discount,no surge,1604.22,0,N/Surge,,No Discount,no surge
12,One Galle Face Mall 1A Centre Road Colombo 00200,Priyankara Motors Sri Jayawardenepura Kotte,2026-04-28,17:14:55,777.85,0,Surge,780.91,No Discount,no surge,1070.7,0,N/Surge,"1,120.52",No Discount,no surge,1442.49,0,N/Surge,"1,523.29",No Discount,no surge,2187.04,0,N/Surge,"2,230.43",No Discount,no surge,,0,N/Surge,811.33,No Discount,no surge,,0,N/Surge,"1,251.09",No Discount,no surge,1728.03,0,N/Surge,,No Discount,no surge
13,One Galle Face Mall 1A Centre Road Colombo 00200,Muragala Head Office New Kotte - Bope Rd Sri Jayawardenepura Kotte 10100,2026-04-28,17:16:10,848.51,0,Surge,785.79,No Discount,no surge,1150.52,0,N/Surge,"1,256.32",No Discount,no surge,1553.34,0,N/Surge,"1,640.26",No Discount,no surge,2347.87,0,N/Surge,"2,387.47",No Discount,no surge,,0,N/Surge,821.52,No Discount,no surge,,0,N/Surge,"1,386.28",No Discount,no surge,1853.4,0,N/Surge,,No Discount,no surge
14,One Galle Face Mall 1A Centre Road Colombo 00200,Sigiri warehouse (A&E) Sedawatta - Ambatale Rd Welivita,2026-04-28,17:17:24,918.56,0,Surge,"1,246.62",No Discount,no surge,1229.58,0,N/Surge,"1,298.02",No Discount,no surge,1663.79,0,N/Surge,"1,782.69",No Discount,no surge,2508.9,0,N/Surge,"2,612.38",No Discount,no surge,,0,N/Surge,"1,305.51",No Discount,no surge,,0,N/Surge,"1,486.23",No Discount,no surge,1978.56,0,N/Surge,,No Discount,no surge
