Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,06:01:17,150.76,0,N/Surge,150.00,No Discount,no surge,307.93,0,N/Surge,300.00,No Discount,no surge,460.86,0,N/Surge,418.80,No Discount,no surge,686.83,0,N/Surge,623.68,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,572.44,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,06:02:34,151.26,0,N/Surge,649.06,No Discount,no surge,308.54,0,N/Surge,897.83,No Discount,no surge,493.96,0,N/Surge,"1,106.92",No Discount,no surge,697.24,0,N/Surge,"1,635.58",No Discount,no surge,,0,N/Surge,684.21,No Discount,no surge,,0,N/Surge,"1,069.09",No Discount,no surge,577.99,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-28,06:03:49,189.32,0,N/Surge,259.58,No Discount,no surge,309.09,0,N/Surge,300.00,No Discount,no surge,565.76,0,N/Surge,530.81,No Discount,no surge,767.87,0,N/Surge,623.68,No Discount,no surge,,0,N/Surge,269.07,No Discount,no surge,,0,N/Surge,325.85,No Discount,no surge,657.16,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-28,06:05:01,232.67,0,N/Surge,299.39,No Discount,no surge,364.78,0,N/Surge,351.39,No Discount,no surge,641.99,0,N/Surge,599.97,No Discount,no surge,847.91,0,N/Surge,741.97,No Discount,no surge,,0,N/Surge,317.28,No Discount,no surge,,0,N/Surge,417.29,No Discount,no surge,743.22,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-28,06:06:16,281.22,0,N/Surge,330.84,No Discount,no surge,444.63,0,N/Surge,429.43,No Discount,no surge,713.23,0,N/Surge,670.18,No Discount,no surge,969.16,0,N/Surge,867.41,No Discount,no surge,,0,N/Surge,353.34,No Discount,no surge,,0,N/Surge,509.83,No Discount,no surge,828.8,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-28,06:07:30,328.27,0,N/Surge,921.78,No Discount,no surge,506.69,0,N/Surge,"1,180.35",No Discount,no surge,780.53,0,N/Surge,"1,384.41",No Discount,no surge,1084.9,0,N/Surge,"2,131.57",No Discount,no surge,,0,N/Surge,971.64,No Discount,no surge,,0,N/Surge,"1,429.25",No Discount,no surge,921.46,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-28,06:08:44,386.75,0,N/Surge,438.27,No Discount,no surge,574.59,0,N/Surge,561.94,No Discount,no surge,853.36,0,N/Surge,799.51,No Discount,no surge,1209.05,0,N/Surge,"1,096.85",No Discount,no surge,,0,N/Surge,467.16,No Discount,no surge,,0,N/Surge,674.00,No Discount,no surge,1021.6,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-28,06:09:59,446.97,0,N/Surge,493.18,No Discount,no surge,656.26,0,N/Surge,629.81,No Discount,no surge,927.86,0,N/Surge,868.67,No Discount,no surge,1371.98,0,N/Surge,"1,219.55",No Discount,no surge,,0,N/Surge,530.76,No Discount,no surge,,0,N/Surge,764.20,No Discount,no surge,1124.46,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-28,06:11:11,497.72,0,N/Surge,594.80,No Discount,no surge,713.38,0,N/Surge,705.70,No Discount,no surge,991.57,0,N/Surge,947.90,No Discount,no surge,1506.95,0,N/Surge,"1,362.16",No Discount,no surge,,0,N/Surge,632.36,No Discount,no surge,,0,N/Surge,847.08,No Discount,no surge,1220.98,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-28,06:12:30,555.9,0,N/Surge,"1,202.94",No Discount,no surge,789.66,0,N/Surge,"1,476.10",No Discount,no surge,1075.06,0,N/Surge,"1,667.13",No Discount,no surge,1663.62,0,N/Surge,"2,635.74",No Discount,no surge,,0,N/Surge,"1,283.98",No Discount,no surge,,0,N/Surge,"1,814.03",No Discount,no surge,1332.62,0,N/Surge,,No Discount,no surge
