Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,17:01:15,154.84,0,N/Surge,155.00,No Discount,no surge,312.03,0,N/Surge,305.00,No Discount,no surge,446.32,0,N/Surge,417.73,No Discount,no surge,641.58,0,N/Surge,591.63,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,548.37,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,17:02:31,155.49,0,N/Surge,155.00,No Discount,no surge,312.82,0,N/Surge,305.00,No Discount,no surge,466.22,0,N/Surge,436.57,No Discount,no surge,654.99,0,N/Surge,591.63,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,555.52,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-28,17:03:42,180.82,0,N/Surge,196.55,No Discount,no surge,313.54,0,N/Surge,305.00,No Discount,no surge,563.2,0,N/Surge,525.36,No Discount,no surge,753.28,0,N/Surge,727.74,No Discount,no surge,,0,N/Surge,134.53,192.19,no surge,,0,N/Surge,344.19,No Discount,no surge,641.2,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-28,17:04:55,233.83,0,N/Surge,240.80,No Discount,no surge,397.24,0,N/Surge,382.97,No Discount,no surge,666.24,0,N/Surge,618.12,No Discount,no surge,920.49,0,N/Surge,865.22,No Discount,no surge,,0,N/Surge,171.19,244.56,no surge,,0,N/Surge,442.89,No Discount,no surge,734.69,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-28,17:06:07,277.73,0,N/Surge,286.70,No Discount,no surge,477.38,0,N/Surge,474.37,No Discount,no surge,763.94,0,N/Surge,707.27,No Discount,no surge,1066.91,0,N/Surge,995.95,No Discount,no surge,,0,N/Surge,205.77,293.96,no surge,,0,N/Surge,535.39,No Discount,no surge,859.84,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-28,17:07:20,322.88,0,N/Surge,334.45,No Discount,no surge,557.98,0,N/Surge,536.60,No Discount,no surge,854.14,0,N/Surge,788.31,No Discount,no surge,1218.84,0,N/Surge,"1,121.42",No Discount,no surge,,0,N/Surge,242.37,342.37,no surge,,0,N/Surge,626.18,No Discount,no surge,975.22,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-28,17:08:32,377.5,0,N/Surge,379.00,No Discount,no surge,646.52,0,N/Surge,623.60,No Discount,no surge,953.88,0,N/Surge,874.17,No Discount,no surge,1387.8,0,N/Surge,"1,245.41",No Discount,no surge,,0,N/Surge,289.79,389.79,no surge,,0,N/Surge,713.19,No Discount,no surge,1102.99,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-28,17:09:47,433.94,0,N/Surge,427.43,No Discount,no surge,742.72,0,N/Surge,698.54,No Discount,no surge,1055.44,0,N/Surge,962.75,No Discount,no surge,1553.31,0,N/Surge,"1,377.67",No Discount,no surge,,0,N/Surge,343.01,443.01,no surge,,0,N/Surge,806.22,No Discount,no surge,1232.84,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-28,17:11:00,486.72,0,N/Surge,"1,305.60","1,655.42",no surge,825.33,0,N/Surge,"1,586.29","1,901.55",no surge,1143.38,0,N/Surge,"1,961.59",No Discount,no surge,1697.69,0,N/Surge,"2,866.24",No Discount,no surge,,0,N/Surge,"1,628.85","1,728.85",no surge,,0,N/Surge,"2,230.48",No Discount,no surge,1345.48,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-28,17:12:14,559.02,0,N/Surge,565.74,No Discount,no surge,908.28,0,N/Surge,822.34,No Discount,no surge,1244.98,0,N/Surge,"1,127.71",No Discount,no surge,1865.67,0,N/Surge,"1,617.66",No Discount,no surge,,0,N/Surge,489.58,589.58,no surge,,0,N/Surge,986.68,No Discount,no surge,1475.86,0,N/Surge,,No Discount,no surge
11,Nawaloka Medical Mount Lavinia,M Craft Handcraft Designers Sunanda Eliya Rd Moratuwa,2026-04-28,17:13:25,631.18,0,N/Surge,630.01,No Discount,no surge,989.73,0,N/Surge,882.04,No Discount,no surge,1341.23,0,N/Surge,"1,196.60",No Discount,no surge,2018.42,0,N/Surge,"1,718.64",No Discount,no surge,,0,N/Surge,549.34,649.34,no surge,,0,N/Surge,"1,047.36",No Discount,no surge,1598.11,0,N/Surge,,No Discount,no surge
