Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Jayantha Furnitures Pvt Ltd No.105/C Ja Ela Rd Gampaha,2026-04-25,04:01:12,159.69,0,N/Surge,164.55,No Discount,no surge,280.84,0,N/Surge,281.00,No Discount,no surge,392.02,0,N/Surge,418.80,No Discount,no surge,533.33,0,N/Surge,623.68,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,454.64,0,N/Surge,,No Discount,no surge
2,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Pathirana stores 3XVH+H9M Gampaha,2026-04-25,04:02:20,160.17,0,N/Surge,164.55,No Discount,no surge,281.43,0,N/Surge,281.00,No Discount,no surge,395.53,0,N/Surge,460.90,No Discount,no surge,543.32,0,N/Surge,623.68,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,459.96,0,N/Surge,,No Discount,no surge
3,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,MCC survey department 23 Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-25,04:03:29,211.89,0,N/Surge,219.62,No Discount,no surge,366.42,0,N/Surge,365.92,No Discount,no surge,437.26,0,N/Surge,544.02,No Discount,no surge,602.71,0,N/Surge,642.10,No Discount,no surge,,0,N/Surge,139.03,198.62,no surge,,0,N/Surge,343.78,No Discount,no surge,507.7,0,N/Surge,,No Discount,no surge
4,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Badulu Hotel Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-25,04:04:36,254.02,0,N/Surge,261.11,No Discount,no surge,446.47,0,N/Surge,448.50,No Discount,no surge,523.72,0,N/Surge,604.55,No Discount,no surge,720.98,0,N/Surge,750.83,No Discount,no surge,,0,N/Surge,169.81,242.58,no surge,,0,N/Surge,413.56,No Discount,no surge,607.38,0,N/Surge,,No Discount,no surge
5,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Janaka Enterprises Makewite No.140/EMegoda thammithaMakewite Ja-Ela,2026-04-25,04:05:44,300.45,0,N/Surge,414.23,No Discount,no surge,529.0,0,N/Surge,687.13,No Discount,no surge,612.9,0,N/Surge,807.02,No Discount,no surge,843.06,0,N/Surge,"1,111.59",No Discount,no surge,,0,N/Surge,294.73,394.73,no surge,,0,N/Surge,685.97,No Discount,no surge,710.22,0,N/Surge,,No Discount,no surge
6,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Siyane Arcade Minuwangoda Road Udugampola 11000,2026-04-25,04:06:52,351.93,0,N/Surge,364.05,No Discount,no surge,611.59,0,N/Surge,615.82,No Discount,no surge,702.4,0,N/Surge,741.13,No Discount,no surge,966.06,0,N/Surge,995.09,No Discount,no surge,,0,N/Surge,241.88,341.88,no surge,,0,N/Surge,587.50,No Discount,no surge,813.55,0,N/Surge,,No Discount,no surge
7,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Global Auto Mart minuwangoda road,2026-04-25,04:08:02,399.34,0,N/Surge,409.96,No Discount,no surge,684.04,0,N/Surge,682.19,No Discount,no surge,787.62,0,N/Surge,801.13,No Discount,no surge,1082.12,0,N/Surge,"1,101.70",No Discount,no surge,,0,N/Surge,288.31,388.31,no surge,,0,N/Surge,662.63,No Discount,no surge,911.67,0,N/Surge,,No Discount,no surge
8,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,CRS ENGINEERING PRIVATE LIMITED,2026-04-25,04:09:12,448.73,0,N/Surge,459.99,No Discount,no surge,756.64,0,N/Surge,753.49,No Discount,no surge,879.36,0,N/Surge,870.71,No Discount,no surge,1207.12,0,N/Surge,"1,224.07",No Discount,no surge,,0,N/Surge,340.18,440.18,no surge,,0,N/Surge,768.56,No Discount,no surge,1016.9,0,N/Surge,,No Discount,no surge
9,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Godalla Takeaway Gampaha,2026-04-25,04:10:22,524.56,0,N/Surge,541.16,No Discount,no surge,833.6,0,N/Surge,831.86,No Discount,no surge,976.56,0,N/Surge,944.36,No Discount,no surge,1339.31,0,N/Surge,"1,357.13",No Discount,no surge,,0,N/Surge,422.70,522.70,no surge,,0,N/Surge,864.80,No Discount,no surge,1128.31,0,N/Surge,,No Discount,no surge
10,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Busy Bees Montessori International (AMI) preschool Ekala 3WX7+JM7 Wimalajothi Nahimi Mawatha Ja-Ela,2026-04-25,04:11:30,770.48,0,Surge,611.17,No Discount,no surge,974.82,0,N/Surge,902.46,No Discount,no surge,1157.43,0,N/Surge,"1,010.32",No Discount,no surge,1586.95,0,N/Surge,"1,464.50",No Discount,no surge,,0,N/Surge,487.44,587.44,no surge,,0,N/Surge,928.12,No Discount,no surge,1336.04,0,N/Surge,,No Discount,no surge
11,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Sanka Fashion 5W8W+PRV Ekala - Kotadeniyawa Rd Minuwangoda,2026-04-25,04:12:37,771.16,0,Surge,680.39,No Discount,no surge,975.38,0,N/Surge,965.29,No Discount,no surge,1157.91,0,N/Surge,"1,071.21",No Discount,no surge,1586.96,0,N/Surge,"1,571.09",No Discount,no surge,,0,N/Surge,557.17,657.17,no surge,,0,N/Surge,"1,028.41",No Discount,no surge,1336.42,0,N/Surge,,No Discount,no surge
12,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Tharushi Vegetables 5XPM+GMR,2026-04-25,04:13:43,847.78,0,Surge,761.48,No Discount,no surge,1040.78,0,N/Surge,"1,042.38",No Discount,no surge,1252.76,0,N/Surge,"1,142.23",No Discount,no surge,1715.96,0,N/Surge,"1,699.81",No Discount,no surge,,0,N/Surge,629.03,729.03,no surge,,0,N/Surge,"1,095.01",No Discount,no surge,1445.03,0,N/Surge,,No Discount,no surge
13,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,MLJ Communication trading and Education Center . No 102/D Kudahakapola North Ja-Ela 11350,2026-04-25,04:14:52,910.12,0,Surge,822.48,No Discount,no surge,1094.75,0,N/Surge,"1,096.31",No Discount,no surge,1339.69,0,N/Surge,"1,201.94",No Discount,no surge,1824.54,0,N/Surge,"1,805.16",No Discount,no surge,,0,N/Surge,697.33,797.33,no surge,,0,N/Surge,"1,198.02",No Discount,no surge,1537.66,0,N/Surge,,No Discount,no surge
14,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Thisara trade centre 3VRQ+P79 Tudella Junction Ja-Ela,2026-04-25,04:16:00,992.74,0,Surge,945.82,No Discount,no surge,1166.38,0,N/Surge,"1,203.52",No Discount,no surge,1456.42,0,N/Surge,"1,309.90",No Discount,no surge,1973.28,0,N/Surge,"1,996.66",No Discount,no surge,,0,N/Surge,813.30,913.30,no surge,,0,N/Surge,"1,337.19",No Discount,no surge,1662.87,0,N/Surge,,No Discount,no surge
15,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Yasiru pharmacy 185 Negombo road Ambulanmulla Seeduwa 11410,2026-04-25,04:17:10,967.88,0,N/Surge,977.53,No Discount,no surge,1231.52,0,N/Surge,"1,231.77",No Discount,no surge,1562.42,0,N/Surge,"1,337.81",No Discount,no surge,2108.03,0,N/Surge,"2,048.69",No Discount,no surge,,0,N/Surge,846.03,946.03,no surge,,0,N/Surge,"1,370.78",No Discount,no surge,1776.48,0,N/Surge,,No Discount,no surge
