Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,DM Printers Maharagama 155 highleval rd Colombo - Batticaloa Hwy Maharagama,2026-04-25,17:01:13,154.82,0,N/Surge,75.00,150.00,no surge,312.0,0,N/Surge,150.00,300.00,no surge,446.12,0,N/Surge,231.89,463.79,no surge,640.99,0,N/Surge,406.92,656.92,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,548.06,0,N/Surge,,No Discount,no surge
2,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,CIB Online Store 345 1 High Level Rd Maharagama 10280,2026-04-25,17:02:26,155.45,0,N/Surge,75.00,150.00,no surge,312.77,0,N/Surge,150.00,300.00,no surge,465.93,0,N/Surge,242.39,484.79,no surge,654.15,0,N/Surge,410.43,660.43,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,555.07,0,N/Surge,,No Discount,no surge
3,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Api Singhe Motors (Pvt) Ltd No 640 A Wijerama Gangodawila Nugegoda,2026-04-25,17:03:34,195.88,0,N/Surge,75.00,150.00,no surge,313.58,0,N/Surge,150.00,300.00,no surge,561.6,0,N/Surge,242.42,484.85,no surge,752.29,0,N/Surge,410.52,660.52,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,640.0,0,N/Surge,,No Discount,no surge
4,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Gangodawila Girl's Child Development Center,2026-04-25,17:04:45,239.3,0,N/Surge,120.62,241.24,no surge,392.55,0,N/Surge,195.64,391.28,no surge,660.96,0,N/Surge,445.91,695.91,no surge,913.26,0,N/Surge,728.33,978.33,no surge,,0,N/Surge,177.41,253.45,no surge,,0,N/Surge,455.00,No Discount,no surge,728.44,0,N/Surge,,No Discount,no surge
5,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Jeewa Plastic (Pvt) Ltd 224 High Level Rd Colombo,2026-04-25,17:05:59,293.39,0,N/Surge,136.68,273.36,no surge,473.16,0,N/Surge,224.39,448.78,no surge,759.76,0,N/Surge,515.68,765.68,no surge,1060.64,0,N/Surge,833.46,"1,083.46",no surge,,0,N/Surge,202.31,289.02,no surge,,0,N/Surge,521.61,No Discount,no surge,854.65,0,N/Surge,,No Discount,no surge
6,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Java Lounge 126/B High Level Rd Nugegoda 10250,2026-04-25,17:07:10,350.83,0,N/Surge,162.50,325.00,no surge,558.17,0,N/Surge,277.63,527.63,no surge,855.25,0,N/Surge,615.16,865.16,no surge,1222.01,0,N/Surge,981.23,"1,231.23",no surge,,0,N/Surge,240.89,340.89,no surge,,0,N/Surge,617.04,No Discount,no surge,976.91,0,N/Surge,,No Discount,no surge
7,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Felicity Solar Technology (PVT) Ltd 188a High Level Rd Colombo 00600,2026-04-25,17:08:22,402.6,0,N/Surge,184.06,368.12,no surge,646.63,0,N/Surge,350.88,600.88,no surge,954.55,0,N/Surge,705.44,955.44,no surge,1389.71,0,N/Surge,"1,116.21","1,366.21",no surge,,0,N/Surge,288.81,388.81,no surge,,0,N/Surge,693.23,No Discount,no surge,1104.02,0,N/Surge,,No Discount,no surge
8,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nanomedix (Pvt) Ltd. 112/1 H. Sri Nissanka Mw Maya Ave Colombo 00600,2026-04-25,17:09:33,453.96,0,N/Surge,207.84,415.68,no surge,739.39,0,N/Surge,436.38,686.38,no surge,1053.56,0,N/Surge,809.77,"1,059.77",no surge,1552.68,0,N/Surge,"1,272.39","1,522.39",no surge,,0,N/Surge,343.73,443.73,no surge,,0,N/Surge,806.49,No Discount,no surge,1230.92,0,N/Surge,,No Discount,no surge
9,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,PetsVcare Animal Hospitals 506/7 Elvitigala Mawatha Colombo 5,2026-04-25,17:10:47,523.43,0,N/Surge,242.61,485.22,no surge,833.2,0,N/Surge,518.48,768.48,no surge,1152.68,0,N/Surge,908.00,"1,158.00",no surge,1713.58,0,N/Surge,"1,421.15","1,671.15",no surge,,0,N/Surge,417.72,517.72,no surge,,0,N/Surge,904.82,No Discount,no surge,1357.52,0,N/Surge,,No Discount,no surge
10,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Bank of Ceylon ATM Victoria Pl Colombo 00800,2026-04-25,17:12:00,591.12,0,N/Surge,299.95,549.95,no surge,913.0,0,N/Surge,583.34,833.34,no surge,1250.44,0,N/Surge,994.76,"1,244.76",no surge,1874.16,0,N/Surge,"1,543.17","1,793.17",no surge,,0,N/Surge,483.89,583.89,no surge,,0,N/Surge,987.43,No Discount,no surge,1482.76,0,N/Surge,,No Discount,no surge
11,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nielsen No. 98 D. S. Senanayake Mawatha Colombo 08,2026-04-25,17:13:14,654.1,0,N/Surge,366.74,616.74,no surge,986.19,0,N/Surge,659.37,909.37,no surge,1339.07,0,N/Surge,"1,090.59","1,340.59",no surge,2018.15,0,N/Surge,"1,685.75","1,935.75",no surge,,0,N/Surge,552.90,652.90,no surge,,0,N/Surge,"1,071.54",No Discount,no surge,1595.98,0,N/Surge,,No Discount,no surge
12,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Sarvodaya Development Finance PLC 155 Dr Danister De Silva Mawatha Colombo 00800,2026-04-25,17:14:24,728.19,0,N/Surge,122.82,245.64,no surge,1072.31,0,N/Surge,211.46,464.22,no surge,1444.79,0,N/Surge,470.41,720.41,no surge,2190.48,0,N/Surge,767.04,"1,017.04",no surge,,0,N/Surge,181.91,259.87,no surge,,0,N/Surge,533.60,No Discount,no surge,1730.66,0,N/Surge,,No Discount,no surge
