Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,DM Printers Maharagama 155 highleval rd Colombo - Batticaloa Hwy Maharagama,2026-04-26,04:01:12,158.72,0,N/Surge,"2,474.06","2,724.06",no surge,279.89,0,N/Surge,"2,773.37","3,023.37",no surge,460.6,0,N/Surge,"2,652.04","2,902.04",no surge,686.08,0,N/Surge,"4,600.00","4,850.00",no surge,,0,N/Surge,"2,542.20","2,642.20",no surge,,0,N/Surge,"3,376.71",No Discount,no surge,572.04,0,N/Surge,,No Discount,no surge
2,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,CIB Online Store 345 1 High Level Rd Maharagama 10280,2026-04-26,04:02:25,159.22,0,N/Surge,175.03,350.06,no surge,280.49,0,N/Surge,293.19,543.19,no surge,493.67,0,N/Surge,561.85,811.85,no surge,696.41,0,N/Surge,830.00,"1,080.00",no surge,,0,N/Surge,240.89,340.89,no surge,,0,N/Surge,596.29,No Discount,no surge,577.54,0,N/Surge,,No Discount,no surge
3,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Api Singhe Motors (Pvt) Ltd No 640 A Wijerama Gangodawila Nugegoda,2026-04-26,04:03:38,205.28,0,N/Surge,104.01,208.02,no surge,295.62,0,N/Surge,160.00,320.00,no surge,564.28,0,N/Surge,336.95,586.95,no surge,766.29,0,N/Surge,443.05,693.05,no surge,,0,N/Surge,134.19,191.70,no surge,,0,N/Surge,325.33,No Discount,no surge,655.49,0,N/Surge,,No Discount,no surge
4,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Gangodawila Girl's Child Development Center,2026-04-26,04:04:50,256.62,0,N/Surge,132.89,265.78,no surge,386.69,0,N/Surge,198.62,397.24,no surge,636.8,0,N/Surge,430.52,680.52,no surge,838.53,0,N/Surge,598.02,848.02,no surge,,0,N/Surge,177.41,253.45,no surge,,0,N/Surge,436.58,No Discount,no surge,736.78,0,N/Surge,,No Discount,no surge
5,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Jeewa Plastic (Pvt) Ltd 224 High Level Rd Colombo,2026-04-26,04:06:03,307.52,0,N/Surge,150.77,301.55,no surge,461.08,0,N/Surge,224.55,449.10,no surge,708.37,0,N/Surge,482.50,732.50,no surge,959.4,0,N/Surge,690.53,940.53,no surge,,0,N/Surge,202.66,289.51,no surge,,0,N/Surge,498.29,No Discount,no surge,821.93,0,N/Surge,,No Discount,no surge
6,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Java Lounge 126/B High Level Rd Nugegoda 10250,2026-04-26,04:07:13,365.89,0,N/Surge,108.45,216.91,no surge,533.3,0,N/Surge,160.87,384.10,no surge,779.04,0,N/Surge,356.05,606.05,no surge,1080.65,0,N/Surge,466.60,716.60,no surge,,0,N/Surge,140.41,200.59,no surge,,0,N/Surge,405.53,No Discount,no surge,919.19,0,N/Surge,,No Discount,no surge
7,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Felicity Solar Technology (PVT) Ltd 188a High Level Rd Colombo 00600,2026-04-26,04:08:25,426.46,0,N/Surge,203.01,406.02,no surge,608.24,0,N/Surge,358.37,608.37,no surge,851.29,0,N/Surge,633.33,883.33,no surge,1203.14,0,N/Surge,958.88,"1,208.88",no surge,,0,N/Surge,289.79,389.79,no surge,,0,N/Surge,671.94,No Discount,no surge,1018.45,0,N/Surge,,No Discount,no surge
8,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nanomedix (Pvt) Ltd. 112/1 H. Sri Nissanka Mw Maya Ave Colombo 00600,2026-04-26,04:09:37,486.53,0,N/Surge,229.09,458.19,no surge,702.64,0,N/Surge,440.70,690.70,no surge,923.33,0,N/Surge,712.78,962.78,no surge,1361.14,0,N/Surge,"1,099.96","1,349.96",no surge,,0,N/Surge,343.73,443.73,no surge,,0,N/Surge,764.99,No Discount,no surge,1117.59,0,N/Surge,,No Discount,no surge
9,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,PetsVcare Animal Hospitals 506/7 Elvitigala Mawatha Colombo 5,2026-04-26,04:10:52,549.74,0,N/Surge,283.52,533.52,no surge,787.89,0,N/Surge,515.33,765.33,no surge,995.96,0,N/Surge,789.52,"1,039.52",no surge,1513.64,0,N/Surge,"1,238.98","1,488.98",no surge,,0,N/Surge,412.74,512.74,no surge,,0,N/Surge,831.85,No Discount,no surge,1227.01,0,N/Surge,,No Discount,no surge
10,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Bank of Ceylon ATM Victoria Pl Colombo 00800,2026-04-26,04:12:04,613.2,0,N/Surge,352.21,602.21,no surge,856.45,0,N/Surge,597.53,847.53,no surge,1077.25,0,N/Surge,858.10,"1,108.10",no surge,1665.06,0,N/Surge,"1,347.65","1,597.65",no surge,,0,N/Surge,481.75,581.75,no surge,,0,N/Surge,934.04,No Discount,no surge,1335.02,0,N/Surge,,No Discount,no surge
