Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Jayantha Furnitures Pvt Ltd No.105/C Ja Ela Rd Gampaha,2026-04-27,22:01:09,149.72,0,N/Surge,152.10,No Discount,no surge,280.89,0,N/Surge,320.00,No Discount,no surge,337.29,0,N/Surge,286.83,No Discount,no surge,446.08,0,N/Surge,426.35,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,380.04,0,N/Surge,,No Discount,no surge
2,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Pathirana stores 3XVH+H9M Gampaha,2026-04-27,22:02:37,151.32,0,N/Surge,152.25,No Discount,no surge,280.62,0,N/Surge,320.00,No Discount,no surge,386.68,0,N/Surge,348.80,No Discount,no surge,585.21,0,N/Surge,549.28,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,468.65,0,N/Surge,,No Discount,no surge
3,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,MCC survey department 23 Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-27,22:03:52,187.91,0,N/Surge,197.27,No Discount,no surge,366.67,0,N/Surge,320.00,No Discount,no surge,403.42,0,N/Surge,467.72,No Discount,no surge,544.54,0,N/Surge,739.08,No Discount,no surge,,0,N/Surge,199.60,No Discount,no surge,,0,N/Surge,344.90,No Discount,no surge,455.56,0,N/Surge,,No Discount,no surge
4,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Badulu Hotel Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-27,22:05:10,224.24,0,N/Surge,233.77,No Discount,no surge,446.75,0,N/Surge,391.72,No Discount,no surge,480.38,0,N/Surge,555.25,No Discount,no surge,652.73,0,N/Surge,878.33,No Discount,no surge,,0,N/Surge,245.05,No Discount,no surge,,0,N/Surge,426.58,No Discount,no surge,543.91,0,N/Surge,,No Discount,no surge
5,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Janaka Enterprises Makewite No.140/EMegoda thammithaMakewite Ja-Ela,2026-04-27,22:06:25,261.75,0,N/Surge,372.08,No Discount,no surge,529.37,0,N/Surge,628.23,No Discount,no surge,557.09,0,N/Surge,842.34,No Discount,no surge,761.31,0,N/Surge,"1,335.48",No Discount,no surge,,0,N/Surge,395.23,No Discount,no surge,,0,N/Surge,687.16,No Discount,no surge,632.55,0,N/Surge,,No Discount,no surge
6,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Siyane Arcade Minuwangoda Road Udugampola 11000,2026-04-27,22:07:37,312.14,0,N/Surge,326.81,No Discount,no surge,611.85,0,N/Surge,549.89,No Discount,no surge,636.92,0,N/Surge,743.74,No Discount,no surge,872.39,0,N/Surge,"1,177.87",No Discount,no surge,,0,N/Surge,343.36,No Discount,no surge,,0,N/Surge,596.72,No Discount,no surge,723.85,0,N/Surge,,No Discount,no surge
7,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Global Auto Mart minuwangoda road,2026-04-27,22:08:50,360.67,0,N/Surge,368.81,No Discount,no surge,684.5,0,N/Surge,613.17,No Discount,no surge,716.65,0,N/Surge,829.30,No Discount,no surge,986.19,0,N/Surge,"1,314.42",No Discount,no surge,,0,N/Surge,389.79,No Discount,no surge,,0,N/Surge,674.60,No Discount,no surge,816.16,0,N/Surge,,No Discount,no surge
8,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,CRS ENGINEERING PRIVATE LIMITED,2026-04-27,22:10:06,414.89,0,N/Surge,413.59,No Discount,no surge,757.08,0,N/Surge,703.48,No Discount,no surge,798.39,0,N/Surge,929.14,No Discount,no surge,1101.02,0,N/Surge,"1,472.29",No Discount,no surge,,0,N/Surge,440.88,No Discount,no surge,,0,N/Surge,766.16,No Discount,no surge,910.33,0,N/Surge,,No Discount,no surge
9,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Godalla Takeaway Gampaha,2026-04-27,22:11:19,472.44,0,N/Surge,489.36,No Discount,no surge,833.94,0,N/Surge,791.40,No Discount,no surge,884.35,0,N/Surge,"1,037.25",No Discount,no surge,1220.78,0,N/Surge,"1,646.98",No Discount,no surge,,0,N/Surge,522.70,No Discount,no surge,,0,N/Surge,866.46,No Discount,no surge,1009.08,0,N/Surge,,No Discount,no surge
10,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Busy Bees Montessori International (AMI) preschool Ekala 3WX7+JM7 Wimalajothi Nahimi Mawatha Ja-Ela,2026-04-27,22:12:30,594.88,0,N/Surge,489.36,No Discount,no surge,975.21,0,N/Surge,793.02,No Discount,no surge,1040.02,0,N/Surge,"1,037.95",No Discount,no surge,1433.98,0,N/Surge,"1,646.48",No Discount,no surge,,0,N/Surge,522.70,No Discount,no surge,,0,N/Surge,867.38,No Discount,no surge,1183.93,0,N/Surge,,No Discount,no surge
11,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Sanka Fashion 5W8W+PRV Ekala - Kotadeniyawa Rd Minuwangoda,2026-04-27,22:13:43,595.54,0,N/Surge,619.49,No Discount,no surge,975.79,0,N/Surge,932.22,No Discount,no surge,1040.52,0,N/Surge,"1,213.44",No Discount,no surge,1434.22,0,N/Surge,"1,915.97",No Discount,no surge,,0,N/Surge,657.17,No Discount,no surge,,0,N/Surge,"1,025.33",No Discount,no surge,1184.37,0,N/Surge,,No Discount,no surge
12,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Tharushi Vegetables 5XPM+GMR,2026-04-27,22:14:54,668.23,0,N/Surge,694.54,No Discount,no surge,1041.42,0,N/Surge,"1,016.78",No Discount,no surge,1133.29,0,N/Surge,"1,316.88",No Discount,no surge,1562.71,0,N/Surge,"2,082.03",No Discount,no surge,,0,N/Surge,735.43,No Discount,no surge,,0,N/Surge,"1,119.36",No Discount,no surge,1288.64,0,N/Surge,,No Discount,no surge
