Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,DM Printers Maharagama 155 highleval rd Colombo - Batticaloa Hwy Maharagama,2026-04-28,13:01:15,149.78,0,N/Surge,150.00,No Discount,no surge,300.96,0,N/Surge,300.00,No Discount,no surge,338.69,0,N/Surge,392.23,No Discount,no surge,538.24,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,433.66,0,N/Surge,,No Discount,no surge
2,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,CIB Online Store 345 1 High Level Rd Maharagama 10280,2026-04-28,13:02:32,150.37,0,N/Surge,150.00,No Discount,no surge,304.68,0,N/Surge,300.00,No Discount,no surge,410.99,0,N/Surge,392.23,No Discount,no surge,644.49,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,509.18,0,N/Surge,,No Discount,no surge
3,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Api Singhe Motors (Pvt) Ltd No 640 A Wijerama Gangodawila Nugegoda,2026-04-28,13:03:44,166.76,0,N/Surge,186.14,No Discount,no surge,305.64,0,N/Surge,300.00,No Discount,no surge,415.74,0,N/Surge,410.97,No Discount,no surge,656.47,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,206.21,No Discount,no surge,,0,N/Surge,335.48,No Discount,no surge,515.11,0,N/Surge,,No Discount,no surge
4,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Gangodawila Girl's Child Development Center,2026-04-28,13:04:57,211.58,0,N/Surge,227.00,No Discount,no surge,324.16,0,N/Surge,326.12,No Discount,no surge,477.8,0,N/Surge,473.36,No Discount,no surge,756.65,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,257.58,No Discount,no surge,,0,N/Surge,437.64,No Discount,no surge,545.59,0,N/Surge,,No Discount,no surge
5,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Jeewa Plastic (Pvt) Ltd 224 High Level Rd Colombo,2026-04-28,13:06:12,257.73,0,N/Surge,267.85,No Discount,no surge,393.64,0,N/Surge,396.52,No Discount,no surge,541.2,0,N/Surge,533.66,No Discount,no surge,908.76,0,N/Surge,738.77,No Discount,no surge,,0,N/Surge,304.02,No Discount,no surge,,0,N/Surge,530.19,No Discount,no surge,626.95,0,N/Surge,,No Discount,no surge
6,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Java Lounge 126/B High Level Rd Nugegoda 10250,2026-04-28,13:07:25,305.87,0,N/Surge,318.00,No Discount,no surge,460.36,0,N/Surge,462.73,No Discount,no surge,601.96,0,N/Surge,596.29,No Discount,no surge,1054.48,0,N/Surge,853.41,No Discount,no surge,,0,N/Surge,356.38,No Discount,no surge,,0,N/Surge,626.39,No Discount,no surge,733.7,0,N/Surge,,No Discount,no surge
7,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Felicity Solar Technology (PVT) Ltd 188a High Level Rd Colombo 00600,2026-04-28,13:08:39,356.46,0,N/Surge,360.57,No Discount,no surge,492.46,0,N/Surge,523.53,No Discount,no surge,665.53,0,N/Surge,653.41,No Discount,no surge,1206.8,0,N/Surge,958.29,No Discount,no surge,,0,N/Surge,405.29,No Discount,no surge,,0,N/Surge,713.71,No Discount,no surge,845.46,0,N/Surge,,No Discount,no surge
8,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nanomedix (Pvt) Ltd. 112/1 H. Sri Nissanka Mw Maya Ave Colombo 00600,2026-04-28,13:09:53,412.69,0,N/Surge,406.63,No Discount,no surge,584.83,0,N/Surge,597.92,No Discount,no surge,750.34,0,N/Surge,718.06,No Discount,no surge,1359.74,0,N/Surge,"1,077.41",No Discount,no surge,,0,N/Surge,458.73,No Discount,no surge,,0,N/Surge,817.41,No Discount,no surge,957.13,0,N/Surge,,No Discount,no surge
9,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,PetsVcare Animal Hospitals 506/7 Elvitigala Mawatha Colombo 5,2026-04-28,13:11:08,469.86,0,N/Surge,475.84,No Discount,no surge,640.85,0,N/Surge,671.83,No Discount,no surge,835.45,0,N/Surge,782.80,No Discount,no surge,1537.27,0,N/Surge,"1,196.84",No Discount,no surge,,0,N/Surge,533.43,No Discount,no surge,,0,N/Surge,921.93,No Discount,no surge,1069.1,0,N/Surge,,No Discount,no surge
10,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Bank of Ceylon ATM Victoria Pl Colombo 00800,2026-04-28,13:12:25,595.35,0,N/Surge,540.31,No Discount,no surge,748.69,0,N/Surge,728.16,No Discount,no surge,1013.21,0,N/Surge,843.35,No Discount,no surge,1237.87,0,N/Surge,"1,304.55",No Discount,no surge,,0,N/Surge,603.16,No Discount,no surge,,0,N/Surge,"1,007.55",No Discount,no surge,1090.03,0,N/Surge,,No Discount,no surge
