Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-29,00:01:20,157.74,0,N/Surge,160.00,No Discount,no surge,279.91,0,N/Surge,320.00,No Discount,no surge,390.43,0,N/Surge,359.84,No Discount,no surge,649.49,0,N/Surge,526.09,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,547.26,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-29,00:02:33,158.28,0,N/Surge,160.00,No Discount,no surge,280.57,0,N/Surge,320.00,No Discount,no surge,394.34,0,N/Surge,359.84,No Discount,no surge,660.66,0,N/Surge,595.19,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,553.21,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-29,00:03:45,205.31,0,N/Surge,208.51,No Discount,no surge,296.04,0,N/Surge,320.00,No Discount,no surge,465.34,0,N/Surge,434.96,No Discount,no surge,831.53,0,N/Surge,737.77,No Discount,no surge,,0,N/Surge,192.19,No Discount,no surge,,0,N/Surge,323.85,No Discount,no surge,558.8,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-29,00:05:04,253.43,0,N/Surge,817.13,No Discount,no surge,391.33,0,N/Surge,"1,099.91",No Discount,no surge,559.14,0,N/Surge,"1,277.08",No Discount,no surge,996.88,0,N/Surge,"2,169.51",No Discount,no surge,,0,N/Surge,798.04,No Discount,no surge,,0,N/Surge,"1,202.29",No Discount,no surge,675.39,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-29,00:06:17,299.09,0,N/Surge,305.96,No Discount,no surge,464.82,0,N/Surge,456.82,No Discount,no surge,646.09,0,N/Surge,603.17,No Discount,no surge,1153.3,0,N/Surge,"1,021.84",No Discount,no surge,,0,N/Surge,293.46,No Discount,no surge,,0,N/Surge,502.12,No Discount,no surge,764.38,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-29,00:07:31,346.1,0,N/Surge,358.98,No Discount,no surge,533.34,0,N/Surge,524.87,No Discount,no surge,727.98,0,N/Surge,681.84,No Discount,no surge,1301.68,0,N/Surge,"1,155.00",No Discount,no surge,,0,N/Surge,340.89,No Discount,no surge,,0,N/Surge,570.37,No Discount,no surge,875.19,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-29,00:08:43,397.57,0,N/Surge,406.51,No Discount,no surge,608.38,0,N/Surge,608.86,No Discount,no surge,817.08,0,N/Surge,762.23,No Discount,no surge,1462.39,0,N/Surge,"1,291.24",No Discount,no surge,,0,N/Surge,389.30,No Discount,no surge,,0,N/Surge,670.58,No Discount,no surge,995.65,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-29,00:09:57,451.43,0,N/Surge,458.19,No Discount,no surge,705.84,0,N/Surge,682.34,No Discount,no surge,907.14,0,N/Surge,846.33,No Discount,no surge,1623.12,0,N/Surge,"1,435.76",No Discount,no surge,,0,N/Surge,443.01,No Discount,no surge,,0,N/Surge,757.22,No Discount,no surge,1117.14,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-29,00:11:13,516.64,0,N/Surge,546.08,No Discount,no surge,781.04,0,N/Surge,778.77,No Discount,no surge,985.72,0,N/Surge,944.67,No Discount,no surge,1764.81,0,N/Surge,"1,600.69",No Discount,no surge,,0,N/Surge,528.39,No Discount,no surge,,0,N/Surge,862.54,No Discount,no surge,1223.37,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-29,00:12:27,589.27,0,N/Surge,605.16,No Discount,no surge,852.36,0,N/Surge,839.35,No Discount,no surge,1075.4,0,N/Surge,"1,008.95",No Discount,no surge,1926.25,0,N/Surge,"1,700.48",No Discount,no surge,,0,N/Surge,586.73,No Discount,no surge,,0,N/Surge,934.26,No Discount,no surge,1344.55,0,N/Surge,,No Discount,no surge
11,Nawaloka Medical Mount Lavinia,M Craft Handcraft Designers Sunanda Eliya Rd Moratuwa,2026-04-29,00:13:40,661.85,0,N/Surge,605.16,No Discount,no surge,923.17,0,N/Surge,839.64,No Discount,no surge,1165.43,0,N/Surge,"1,007.90",No Discount,no surge,2088.69,0,N/Surge,"1,698.93",No Discount,no surge,,0,N/Surge,586.73,No Discount,no surge,,0,N/Surge,934.18,No Discount,no surge,1466.27,0,N/Surge,,No Discount,no surge
12,Nawaloka Medical Mount Lavinia,SD Sticker Galle Road Moratuwa,2026-04-29,00:14:55,732.62,0,N/Surge,751.40,No Discount,no surge,1010.12,0,N/Surge,981.44,No Discount,no surge,1251.84,0,N/Surge,"1,166.04",No Discount,no surge,2239.75,0,N/Surge,"1,968.74",No Discount,no surge,,0,N/Surge,725.47,No Discount,no surge,,0,N/Surge,"1,091.50",No Discount,no surge,1581.25,0,N/Surge,,No Discount,no surge
13,Nawaloka Medical Mount Lavinia,Zuhriya(Lawyer) 29 Govipola Rd Panadura,2026-04-29,00:16:11,804.46,0,N/Surge,827.47,No Discount,no surge,1098.62,0,N/Surge,"1,107.53",No Discount,no surge,1343.18,0,N/Surge,"1,263.14",No Discount,no surge,2403.95,0,N/Surge,"2,130.95",No Discount,no surge,,0,N/Surge,799.47,No Discount,no surge,,0,N/Surge,"1,203.41",No Discount,no surge,1703.57,0,N/Surge,,No Discount,no surge
