Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,One Galle Face Mall 1A Centre Road Colombo 00200,The Emperor 75A Galle Rd Colombo 00300,2026-04-28,13:01:16,149.76,0,N/Surge,150.00,No Discount,no surge,303.93,0,N/Surge,300.00,No Discount,no surge,406.52,0,N/Surge,392.23,No Discount,no surge,631.74,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,502.39,0,N/Surge,,No Discount,no surge
2,One Galle Face Mall 1A Centre Road Colombo 00200,Liberty Plaza 300 Srimath Anagarika Dharmapala Mawatha Colombo 00300,2026-04-28,13:02:30,150.79,0,N/Surge,158.00,No Discount,no surge,304.64,0,N/Surge,300.00,No Discount,no surge,410.75,0,N/Surge,392.23,No Discount,no surge,643.82,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,508.83,0,N/Surge,,No Discount,no surge
3,One Galle Face Mall 1A Centre Road Colombo 00200,Roar Global 367 R. A. De Mel Mawatha Colombo 00300,2026-04-28,13:03:45,166.76,0,N/Surge,189.15,No Discount,no surge,305.64,0,N/Surge,300.00,No Discount,no surge,415.74,0,N/Surge,415.71,No Discount,no surge,656.47,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,147.80,211.15,no surge,,0,N/Surge,356.43,No Discount,no surge,515.11,0,N/Surge,,No Discount,no surge
4,One Galle Face Mall 1A Centre Road Colombo 00200,Horton Regency Apartments 33 Horton Pl Colombo 00700,2026-04-28,13:04:57,211.58,0,N/Surge,227.43,No Discount,no surge,324.16,0,N/Surge,326.79,No Discount,no surge,477.8,0,N/Surge,475.06,No Discount,no surge,756.65,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,181.69,259.56,no surge,,0,N/Surge,445.14,No Discount,no surge,545.59,0,N/Surge,,No Discount,no surge
5,One Galle Face Mall 1A Centre Road Colombo 00200,Cinnamon Nest Apartments 5 Dudley Senanayake Mawatha Colombo 00800,2026-04-28,13:06:12,257.73,0,N/Surge,271.29,No Discount,no surge,393.64,0,N/Surge,404.87,No Discount,no surge,541.2,0,N/Surge,541.67,No Discount,no surge,908.76,0,N/Surge,753.51,No Discount,no surge,,0,N/Surge,216.27,308.96,no surge,,0,N/Surge,547.89,No Discount,no surge,626.95,0,N/Surge,,No Discount,no surge
6,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Fuel Center Marine Dr Colombo,2026-04-28,13:07:29,310.1,0,N/Surge,327.03,No Discount,no surge,463.59,0,N/Surge,453.70,No Discount,no surge,605.84,0,N/Surge,606.56,No Discount,no surge,1062.98,0,N/Surge,876.13,No Discount,no surge,,0,N/Surge,275.65,375.65,no surge,,0,N/Surge,651.92,No Discount,no surge,740.92,0,N/Surge,,No Discount,no surge
7,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Seafood 55 Collingwood Pl Colombo 00600,2026-04-28,13:08:44,358.48,0,N/Surge,353.69,No Discount,no surge,495.88,0,N/Surge,492.18,No Discount,no surge,667.4,0,N/Surge,639.44,No Discount,no surge,1208.61,0,N/Surge,936.87,No Discount,no surge,,0,N/Surge,302.32,402.32,no surge,,0,N/Surge,700.67,No Discount,no surge,847.63,0,N/Surge,,No Discount,no surge
8,One Galle Face Mall 1A Centre Road Colombo 00200,Jagota Agro Products 467 Sri Jayawardenepura Mawatha Sri Jayawardenepura Kotte 10107,2026-04-28,13:09:58,412.66,0,N/Surge,403.57,No Discount,no surge,584.79,0,N/Surge,604.09,No Discount,no surge,750.11,0,N/Surge,726.44,No Discount,no surge,1359.08,0,N/Surge,"1,094.26",No Discount,no surge,,0,N/Surge,373.67,473.67,no surge,,0,N/Surge,840.91,No Discount,no surge,956.77,0,N/Surge,,No Discount,no surge
9,One Galle Face Mall 1A Centre Road Colombo 00200,Infinity Garden - Diyatha Uyana Mies Rohe Fountain Sri Jayawardenepura Kotte,2026-04-28,13:11:13,468.7,0,N/Surge,481.95,No Discount,no surge,639.32,0,N/Surge,677.43,No Discount,no surge,833.46,0,N/Surge,799.55,No Discount,no surge,1532.86,0,N/Surge,"1,229.86",No Discount,no surge,,0,N/Surge,452.64,552.64,no surge,,0,N/Surge,942.38,No Discount,no surge,1066.32,0,N/Surge,,No Discount,no surge
10,One Galle Face Mall 1A Centre Road Colombo 00200,Janaka Record Bar Main St Battaramulla,2026-04-28,13:12:25,524.49,0,N/Surge,546.41,No Discount,no surge,712.95,0,N/Surge,730.54,No Discount,no surge,916.78,0,N/Surge,843.21,No Discount,no surge,1706.69,0,N/Surge,"1,303.27",No Discount,no surge,,0,N/Surge,506.71,606.71,no surge,,0,N/Surge,"1,015.74",No Discount,no surge,1180.89,0,N/Surge,,No Discount,no surge
