Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,One Galle Face Mall 1A Centre Road Colombo 00200,The Emperor 75A Galle Rd Colombo 00300,2026-04-29,13:31:15,149.81,0,N/Surge,186.29,No Discount,no surge,303.99,0,N/Surge,359.88,No Discount,no surge,406.9,0,N/Surge,476.43,No Discount,no surge,632.83,0,N/Surge,833.61,No Discount,no surge,,0,N/Surge,152.31,217.59,no surge,,0,N/Surge,368.35,No Discount,no surge,502.97,0,N/Surge,,No Discount,no surge
2,One Galle Face Mall 1A Centre Road Colombo 00200,Liberty Plaza 300 Srimath Anagarika Dharmapala Mawatha Colombo 00300,2026-04-29,13:32:30,150.76,0,N/Surge,194.29,No Discount,no surge,304.6,0,N/Surge,359.88,No Discount,no surge,410.55,0,N/Surge,476.43,No Discount,no surge,643.24,0,N/Surge,833.61,No Discount,no surge,,0,N/Surge,152.31,217.59,no surge,,0,N/Surge,368.35,No Discount,no surge,508.52,0,N/Surge,,No Discount,no surge
3,One Galle Face Mall 1A Centre Road Colombo 00200,Roar Global 367 R. A. De Mel Mawatha Colombo 00300,2026-04-29,13:33:46,166.72,0,N/Surge,232.43,No Discount,no surge,305.58,0,N/Surge,359.88,No Discount,no surge,415.42,0,N/Surge,509.64,No Discount,no surge,655.56,0,N/Surge,833.61,No Discount,no surge,,0,N/Surge,179.09,255.84,no surge,,0,N/Surge,442.95,No Discount,no surge,514.62,0,N/Surge,,No Discount,no surge
4,One Galle Face Mall 1A Centre Road Colombo 00200,Horton Regency Apartments 33 Horton Pl Colombo 00700,2026-04-29,13:34:59,211.54,0,N/Surge,288.00,309.24,no surge,524.11,0,Surge,396.44,No Discount,no surge,477.51,0,N/Surge,577.97,No Discount,no surge,755.81,0,N/Surge,833.61,No Discount,no surge,,0,N/Surge,245.31,345.31,no surge,,0,N/Surge,549.73,No Discount,no surge,545.15,0,N/Surge,,No Discount,no surge
5,One Galle Face Mall 1A Centre Road Colombo 00200,Cinnamon Nest Apartments 5 Dudley Senanayake Mawatha Colombo 00800,2026-04-29,13:36:12,257.67,0,N/Surge,329.11,354.74,no surge,593.58,0,Surge,517.75,No Discount,no surge,540.82,0,N/Surge,682.52,No Discount,no surge,907.68,0,N/Surge,929.49,No Discount,no surge,,0,N/Surge,322.55,422.55,no surge,,0,N/Surge,698.63,No Discount,no surge,626.37,0,N/Surge,,No Discount,no surge
6,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Fuel Center Marine Dr Colombo,2026-04-29,13:37:27,309.99,0,N/Surge,387.92,No Discount,no surge,663.47,0,Surge,576.30,No Discount,no surge,605.08,0,N/Surge,761.23,No Discount,no surge,1060.81,0,N/Surge,"1,076.04",No Discount,no surge,,0,N/Surge,368.63,468.63,no surge,,0,N/Surge,823.94,No Discount,no surge,739.77,0,N/Surge,,No Discount,no surge
7,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Seafood 55 Collingwood Pl Colombo 00600,2026-04-29,13:38:40,358.36,0,N/Surge,422.12,No Discount,no surge,695.74,0,Surge,629.85,No Discount,no surge,666.53,0,N/Surge,801.89,No Discount,no surge,1206.11,0,N/Surge,"1,148.99",No Discount,no surge,,0,N/Surge,401.52,501.52,no surge,,0,N/Surge,888.39,No Discount,no surge,846.3,0,N/Surge,,No Discount,no surge
8,One Galle Face Mall 1A Centre Road Colombo 00200,Jagota Agro Products 467 Sri Jayawardenepura Mawatha Sri Jayawardenepura Kotte 10107,2026-04-29,13:39:54,412.58,0,N/Surge,482.75,No Discount,no surge,784.69,0,Surge,775.29,834.77,no surge,749.52,0,N/Surge,901.80,No Discount,no surge,1357.41,0,N/Surge,"1,324.62",No Discount,no surge,,0,N/Surge,475.05,575.05,no surge,,0,N/Surge,"1,150.01",No Discount,no surge,955.89,0,N/Surge,,No Discount,no surge
9,One Galle Face Mall 1A Centre Road Colombo 00200,Infinity Garden - Diyatha Uyana Mies Rohe Fountain Sri Jayawardenepura Kotte,2026-04-29,13:41:08,468.63,0,N/Surge,594.34,No Discount,no surge,639.24,0,N/Surge,837.70,904.23,no surge,832.96,0,N/Surge,977.15,No Discount,no surge,1531.44,0,N/Surge,"1,541.27",No Discount,no surge,,0,N/Surge,577.58,677.58,no surge,,0,N/Surge,"1,283.89",No Discount,no surge,1065.57,0,N/Surge,,No Discount,no surge
10,One Galle Face Mall 1A Centre Road Colombo 00200,Janaka Record Bar Main St Battaramulla,2026-04-29,13:42:21,524.42,0,N/Surge,671.00,No Discount,no surge,712.85,0,N/Surge,922.67,996.03,no surge,916.23,0,N/Surge,"1,039.23",No Discount,no surge,1705.11,0,N/Surge,"1,647.65",No Discount,no surge,,0,N/Surge,651.13,751.13,no surge,,0,N/Surge,"1,388.23",No Discount,no surge,1180.05,0,N/Surge,,No Discount,no surge
