Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,DM Printers Maharagama 155 highleval rd Colombo - Batticaloa Hwy Maharagama,2026-04-28,06:01:17,150.74,0,N/Surge,152.25,No Discount,no surge,307.91,0,N/Surge,300.00,No Discount,no surge,460.71,0,N/Surge,465.34,No Discount,no surge,686.41,0,N/Surge,693.05,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,572.21,0,N/Surge,,No Discount,no surge
2,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,CIB Online Store 345 1 High Level Rd Maharagama 10280,2026-04-28,06:02:31,151.22,0,N/Surge,152.55,No Discount,no surge,308.49,0,N/Surge,300.00,No Discount,no surge,493.67,0,N/Surge,515.57,No Discount,no surge,696.41,0,N/Surge,693.05,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,577.54,0,N/Surge,,No Discount,no surge
3,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Api Singhe Motors (Pvt) Ltd No 640 A Wijerama Gangodawila Nugegoda,2026-04-28,06:03:45,188.6,0,N/Surge,190.27,No Discount,no surge,309.13,0,N/Surge,300.00,No Discount,no surge,564.66,0,N/Surge,589.26,No Discount,no surge,767.38,0,N/Surge,693.05,No Discount,no surge,,0,N/Surge,134.19,191.70,no surge,,0,N/Surge,327.75,No Discount,no surge,656.06,0,N/Surge,,No Discount,no surge
4,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Gangodawila Girl's Child Development Center,2026-04-28,06:04:56,229.95,0,N/Surge,190.27,No Discount,no surge,360.37,0,N/Surge,300.00,No Discount,no surge,638.46,0,N/Surge,589.38,No Discount,no surge,843.28,0,N/Surge,693.05,No Discount,no surge,,0,N/Surge,133.50,190.71,no surge,,0,N/Surge,318.38,No Discount,no surge,739.31,0,N/Surge,,No Discount,no surge
5,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Jeewa Plastic (Pvt) Ltd 224 High Level Rd Colombo,2026-04-28,06:06:08,278.83,0,N/Surge,273.80,No Discount,no surge,441.47,0,N/Surge,424.65,No Discount,no surge,710.67,0,N/Surge,739.10,No Discount,no surge,965.98,0,N/Surge,952.01,No Discount,no surge,,0,N/Surge,201.62,288.03,no surge,,0,N/Surge,490.23,No Discount,no surge,825.44,0,N/Surge,,No Discount,no surge
6,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Java Lounge 126/B High Level Rd Nugegoda 10250,2026-04-28,06:07:22,328.48,0,N/Surge,325.00,No Discount,no surge,506.94,0,N/Surge,498.70,No Discount,no surge,782.04,0,N/Surge,817.96,No Discount,no surge,1089.23,0,N/Surge,"1,092.76",No Discount,no surge,,0,N/Surge,239.90,339.90,no surge,,0,N/Surge,580.50,No Discount,no surge,923.77,0,N/Surge,,No Discount,no surge
7,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Felicity Solar Technology (PVT) Ltd 188a High Level Rd Colombo 00600,2026-04-28,06:08:36,386.92,0,N/Surge,369.44,No Discount,no surge,574.8,0,N/Surge,572.84,No Discount,no surge,854.62,0,N/Surge,894.36,No Discount,no surge,1212.63,0,N/Surge,"1,230.40",No Discount,no surge,,0,N/Surge,291.28,391.28,no surge,,0,N/Surge,682.91,No Discount,no surge,1023.51,0,N/Surge,,No Discount,no surge
8,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nanomedix (Pvt) Ltd. 112/1 H. Sri Nissanka Mw Maya Ave Colombo 00600,2026-04-28,06:09:49,445.09,0,N/Surge,414.32,No Discount,no surge,654.18,0,N/Surge,644.22,No Discount,no surge,927.73,0,N/Surge,970.76,No Discount,no surge,1373.72,0,N/Surge,"1,365.37",No Discount,no surge,,0,N/Surge,343.01,443.01,no surge,,0,N/Surge,772.14,No Discount,no surge,1124.29,0,N/Surge,,No Discount,no surge
9,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,PetsVcare Animal Hospitals 506/7 Elvitigala Mawatha Colombo 5,2026-04-28,06:11:04,503.1,0,N/Surge,152.25,No Discount,no surge,719.92,0,N/Surge,300.00,No Discount,no surge,1000.63,0,N/Surge,465.34,No Discount,no surge,1526.97,0,N/Surge,693.05,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,1234.11,0,N/Surge,,No Discount,no surge
10,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Bank of Ceylon ATM Victoria Pl Colombo 00800,2026-04-28,06:12:16,560.12,0,N/Surge,549.26,No Discount,no surge,794.58,0,N/Surge,785.93,No Discount,no surge,1082.57,0,N/Surge,"1,119.55",No Discount,no surge,1680.22,0,N/Surge,"1,620.94",No Discount,no surge,,0,N/Surge,478.91,578.91,no surge,,0,N/Surge,926.46,No Discount,no surge,1343.1,0,N/Surge,,No Discount,no surge
