Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,DM Printers Maharagama 155 highleval rd Colombo - Batticaloa Hwy Maharagama,2026-04-25,00:01:10,158.73,0,N/Surge,401.61,No Discount,no surge,429.89,0,Surge,677.51,No Discount,no surge,390.31,0,N/Surge,844.29,No Discount,no surge,649.16,0,N/Surge,"1,429.87",No Discount,no surge,,0,N/Surge,286.34,386.34,no surge,,0,N/Surge,738.88,No Discount,no surge,547.08,0,N/Surge,,No Discount,no surge
2,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,CIB Online Store 345 1 High Level Rd Maharagama 10280,2026-04-25,00:02:20,159.23,0,N/Surge,160.00,No Discount,no surge,380.5,0,Surge,320.00,No Discount,no surge,393.96,0,N/Surge,399.71,No Discount,no surge,659.57,0,N/Surge,664.66,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,552.63,0,N/Surge,,No Discount,no surge
3,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Api Singhe Motors (Pvt) Ltd No 640 A Wijerama Gangodawila Nugegoda,2026-04-25,00:03:32,205.36,0,N/Surge,208.02,No Discount,no surge,395.72,0,Surge,320.00,No Discount,no surge,463.87,0,N/Surge,486.52,No Discount,no surge,827.96,0,N/Surge,821.34,No Discount,no surge,,0,N/Surge,134.19,191.70,no surge,,0,N/Surge,329.00,No Discount,no surge,558.62,0,N/Surge,,No Discount,no surge
4,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Gangodawila Girl's Child Development Center,2026-04-25,00:04:42,256.72,0,N/Surge,265.29,No Discount,no surge,486.81,0,Surge,406.63,No Discount,no surge,554.35,0,N/Surge,600.73,No Discount,no surge,988.75,0,N/Surge,"1,015.30",No Discount,no surge,,0,N/Surge,177.07,252.96,no surge,,0,N/Surge,439.31,No Discount,no surge,670.56,0,N/Surge,,No Discount,no surge
5,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Jeewa Plastic (Pvt) Ltd 224 High Level Rd Colombo,2026-04-25,00:05:50,307.6,0,N/Surge,301.06,No Discount,no surge,561.19,0,Surge,461.08,No Discount,no surge,641.98,0,N/Surge,666.62,No Discount,no surge,1146.15,0,N/Surge,"1,128.44",No Discount,no surge,,0,N/Surge,202.31,289.02,no surge,,0,N/Surge,501.61,No Discount,no surge,758.86,0,N/Surge,,No Discount,no surge
6,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Java Lounge 126/B High Level Rd Nugegoda 10250,2026-04-25,00:06:59,366.03,0,N/Surge,352.51,No Discount,no surge,633.47,0,Surge,549.27,No Discount,no surge,728.74,0,N/Surge,764.39,No Discount,no surge,1303.85,0,N/Surge,"1,294.68",No Discount,no surge,,0,N/Surge,240.89,340.89,no surge,,0,N/Surge,595.37,No Discount,no surge,876.35,0,N/Surge,,No Discount,no surge
7,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Felicity Solar Technology (PVT) Ltd 188a High Level Rd Colombo 00600,2026-04-25,00:08:10,426.67,0,N/Surge,406.02,No Discount,no surge,608.5,0,N/Surge,627.88,No Discount,no surge,817.81,0,N/Surge,854.90,No Discount,no surge,1464.47,0,N/Surge,"1,447.17",No Discount,no surge,,0,N/Surge,288.31,388.31,no surge,,0,N/Surge,668.46,No Discount,no surge,996.76,0,N/Surge,,No Discount,no surge
8,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nanomedix (Pvt) Ltd. 112/1 H. Sri Nissanka Mw Maya Ave Colombo 00600,2026-04-25,00:09:21,486.71,0,N/Surge,458.19,No Discount,no surge,702.85,0,N/Surge,712.70,No Discount,no surge,905.74,0,N/Surge,951.52,No Discount,no surge,1622.78,0,N/Surge,"1,612.34",No Discount,no surge,,0,N/Surge,343.01,443.01,no surge,,0,N/Surge,775.31,No Discount,no surge,1115.6,0,N/Surge,,No Discount,no surge
9,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,PetsVcare Animal Hospitals 506/7 Elvitigala Mawatha Colombo 5,2026-04-25,00:10:32,550.02,0,N/Surge,532.79,No Discount,no surge,788.24,0,N/Surge,793.20,No Discount,no surge,995.24,0,N/Surge,"1,042.74",No Discount,no surge,1783.72,0,N/Surge,"1,766.60",No Discount,no surge,,0,N/Surge,415.59,515.59,no surge,,0,N/Surge,864.01,No Discount,no surge,1236.51,0,N/Surge,,No Discount,no surge
10,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Bank of Ceylon ATM Victoria Pl Colombo 00800,2026-04-25,00:11:43,613.54,0,N/Surge,602.21,No Discount,no surge,856.87,0,N/Surge,867.04,No Discount,no surge,1083.01,0,N/Surge,"1,127.89",No Discount,no surge,1942.46,0,N/Surge,"1,900.72",No Discount,no surge,,0,N/Surge,482.46,582.46,no surge,,0,N/Surge,945.98,No Discount,no surge,1355.24,0,N/Surge,,No Discount,no surge
