Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Sudu Putha Hardware Piliyandala,2026-04-25,00:01:17,158.72,0,N/Surge,160.00,No Discount,no surge,279.88,0,N/Surge,320.00,No Discount,no surge,390.23,0,N/Surge,359.84,No Discount,no surge,648.91,0,N/Surge,526.09,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,546.95,0,N/Surge,,No Discount,no surge
2,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Deniya Car Rental 335/3 Moratuwa Road Deniya Rd Piliyandala 10300,2026-04-25,00:02:29,160.21,0,N/Surge,160.00,No Discount,no surge,280.86,0,N/Surge,320.00,No Discount,no surge,395.65,0,N/Surge,359.84,No Discount,no surge,663.73,0,N/Surge,596.33,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,553.12,0,N/Surge,,No Discount,no surge
3,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Ranuth Furniture Moratuwa 10400,2026-04-25,00:03:40,207.81,0,N/Surge,215.37,No Discount,no surge,298.04,0,N/Surge,320.00,No Discount,no surge,467.95,0,N/Surge,450.93,No Discount,no surge,836.69,0,N/Surge,762.24,No Discount,no surge,,0,N/Surge,138.68,198.12,no surge,,0,N/Surge,334.68,No Discount,no surge,561.27,0,N/Surge,,No Discount,no surge
4,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Enex Fabric Shop 4 Sri Premaratna Mawatha Moratuwa 10400,2026-04-25,00:04:56,257.26,0,N/Surge,259.90,No Discount,no surge,387.77,0,N/Surge,405.81,No Discount,no surge,555.5,0,N/Surge,534.34,No Discount,no surge,991.06,0,N/Surge,904.50,No Discount,no surge,,0,N/Surge,173.61,248.02,no surge,,0,N/Surge,434.95,No Discount,no surge,672.09,0,N/Surge,,No Discount,no surge
5,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Singhe Furniture Work Shop 8 2 Upper Indibedda Rd Moratuwa 10400,2026-04-25,00:06:07,309.44,0,N/Surge,310.37,No Discount,no surge,463.46,0,N/Surge,493.88,No Discount,no surge,645.03,0,N/Surge,620.17,No Discount,no surge,1152.08,0,N/Surge,"1,048.22",No Discount,no surge,,0,N/Surge,208.88,298.40,no surge,,0,N/Surge,524.40,No Discount,no surge,763.05,0,N/Surge,,No Discount,no surge
6,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Cure Care Pharmacy 159/C 2 Polgasowita 10320,2026-04-25,00:07:19,370.52,0,N/Surge,348.10,No Discount,no surge,539.04,0,N/Surge,533.04,No Discount,no surge,733.82,0,N/Surge,678.23,No Discount,no surge,1311.02,0,N/Surge,"1,147.56",No Discount,no surge,,0,N/Surge,237.43,337.43,no surge,,0,N/Surge,584.98,No Discount,no surge,882.9,0,N/Surge,,No Discount,no surge
7,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Jithuli Traders Colombo - Horana Rd Polgasowita,2026-04-25,00:08:31,432.23,0,N/Surge,402.10,No Discount,no surge,617.38,0,N/Surge,610.75,No Discount,no surge,823.72,0,N/Surge,759.18,No Discount,no surge,1472.19,0,N/Surge,"1,286.82",No Discount,no surge,,0,N/Surge,287.32,387.32,no surge,,0,N/Surge,670.67,No Discount,no surge,1004.29,0,N/Surge,,No Discount,no surge
8,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Richi (singer) 251 Colombo - Horana Rd Polgasowita,2026-04-25,00:09:43,492.32,0,N/Surge,453.55,No Discount,no surge,710.55,0,N/Surge,679.79,No Discount,no surge,910.58,0,N/Surge,842.11,No Discount,no surge,1627.42,0,N/Surge,"1,426.08",No Discount,no surge,,0,N/Surge,336.72,436.72,no surge,,0,N/Surge,738.34,No Discount,no surge,1121.48,0,N/Surge,,No Discount,no surge
9,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,ITCS - Institute of Training & Care Services 296/2/4 High Level Rd Pannipitiya 10230,2026-04-25,00:10:55,554.32,0,N/Surge,521.71,No Discount,no surge,792.86,0,N/Surge,771.22,No Discount,no surge,1000.27,0,N/Surge,925.94,No Discount,no surge,1791.66,0,N/Surge,"1,568.48",No Discount,no surge,,0,N/Surge,403.49,503.49,no surge,,0,N/Surge,829.84,No Discount,no surge,1243.14,0,N/Surge,,No Discount,no surge
10,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Luxe Highway Residencies by Home Lands Skyline 320 High Level Rd Pannipitiya 10230,2026-04-25,00:12:07,615.67,0,N/Surge,596.30,No Discount,no surge,859.11,0,N/Surge,857.69,No Discount,no surge,1083.53,0,N/Surge,"1,007.30",No Discount,no surge,1940.3,0,N/Surge,"1,697.80",No Discount,no surge,,0,N/Surge,476.77,576.77,no surge,,0,N/Surge,932.48,No Discount,no surge,1355.46,0,N/Surge,,No Discount,no surge
