Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Sudu Putha Hardware Piliyandala,2026-04-28,00:01:18,158.7,0,N/Surge,160.00,No Discount,no surge,279.86,0,N/Surge,320.00,No Discount,no surge,390.14,0,N/Surge,359.84,No Discount,no surge,648.66,0,N/Surge,526.09,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,546.81,0,N/Surge,,No Discount,no surge
2,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Deniya Car Rental 335/3 Moratuwa Road Deniya Rd Piliyandala 10300,2026-04-28,00:02:34,160.2,0,N/Surge,160.00,No Discount,no surge,280.85,0,N/Surge,320.00,No Discount,no surge,395.59,0,N/Surge,359.84,No Discount,no surge,663.56,0,N/Surge,596.80,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,553.03,0,N/Surge,,No Discount,no surge
3,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Ranuth Furniture Moratuwa 10400,2026-04-28,00:03:49,207.8,0,N/Surge,215.52,No Discount,no surge,298.02,0,N/Surge,320.94,No Discount,no surge,467.86,0,N/Surge,450.93,No Discount,no surge,836.45,0,N/Surge,762.79,No Discount,no surge,,0,N/Surge,199.11,No Discount,no surge,,0,N/Surge,344.55,No Discount,no surge,561.14,0,N/Surge,,No Discount,no surge
4,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Enex Fabric Shop 4 Sri Premaratna Mawatha Moratuwa 10400,2026-04-28,00:05:06,257.26,0,N/Surge,260.39,No Discount,no surge,387.76,0,N/Surge,405.71,No Discount,no surge,555.47,0,N/Surge,534.29,No Discount,no surge,990.98,0,N/Surge,903.56,No Discount,no surge,,0,N/Surge,246.53,No Discount,no surge,,0,N/Surge,423.97,No Discount,no surge,672.04,0,N/Surge,,No Discount,no surge
5,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Singhe Furniture Work Shop 8 2 Upper Indibedda Rd Moratuwa 10400,2026-04-28,00:06:19,309.43,0,N/Surge,310.37,No Discount,no surge,463.45,0,N/Surge,492.70,No Discount,no surge,644.97,0,N/Surge,619.72,No Discount,no surge,1151.92,0,N/Surge,"1,048.22",No Discount,no surge,,0,N/Surge,298.40,No Discount,no surge,,0,N/Surge,523.90,No Discount,no surge,762.96,0,N/Surge,,No Discount,no surge
6,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Cure Care Pharmacy 159/C 2 Polgasowita 10320,2026-04-28,00:07:31,370.48,0,N/Surge,348.10,No Discount,no surge,538.99,0,N/Surge,536.27,No Discount,no surge,733.53,0,N/Surge,679.09,No Discount,no surge,1310.19,0,N/Surge,"1,148.72",No Discount,no surge,,0,N/Surge,337.43,No Discount,no surge,,0,N/Surge,585.82,No Discount,no surge,882.46,0,N/Surge,,No Discount,no surge
7,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Jithuli Traders Colombo - Horana Rd Polgasowita,2026-04-28,00:08:45,432.19,0,N/Surge,402.10,No Discount,no surge,617.33,0,N/Surge,614.42,No Discount,no surge,823.4,0,N/Surge,761.27,No Discount,no surge,1471.27,0,N/Surge,"1,288.28",No Discount,no surge,,0,N/Surge,386.83,No Discount,no surge,,0,N/Surge,670.57,No Discount,no surge,1003.8,0,N/Surge,,No Discount,no surge
8,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Richi (singer) 251 Colombo - Horana Rd Polgasowita,2026-04-28,00:09:57,492.27,0,N/Surge,453.55,No Discount,no surge,710.49,0,N/Surge,694.46,No Discount,no surge,910.2,0,N/Surge,843.77,No Discount,no surge,1626.33,0,N/Surge,"1,427.55",No Discount,no surge,,0,N/Surge,438.21,No Discount,no surge,,0,N/Surge,760.48,No Discount,no surge,1120.9,0,N/Surge,,No Discount,no surge
9,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,ITCS - Institute of Training & Care Services 296/2/4 High Level Rd Pannipitiya 10230,2026-04-28,00:11:10,554.24,0,N/Surge,521.71,No Discount,no surge,792.76,0,N/Surge,767.22,No Discount,no surge,999.69,0,N/Surge,924.14,No Discount,no surge,1789.99,0,N/Surge,"1,564.85",No Discount,no surge,,0,N/Surge,502.78,No Discount,no surge,,0,N/Surge,827.15,No Discount,no surge,1242.25,0,N/Surge,,No Discount,no surge
10,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Luxe Highway Residencies by Home Lands Skyline 320 High Level Rd Pannipitiya 10230,2026-04-28,00:12:22,615.59,0,N/Surge,595.56,No Discount,no surge,859.01,0,N/Surge,852.51,No Discount,no surge,1082.92,0,N/Surge,"1,004.82",No Discount,no surge,1938.55,0,N/Surge,"1,694.49",No Discount,no surge,,0,N/Surge,576.06,No Discount,no surge,,0,N/Surge,929.55,No Discount,no surge,1354.52,0,N/Surge,,No Discount,no surge
