Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,One Galle Face Mall 1A Centre Road Colombo 00200,The Emperor 75A Galle Rd Colombo 00300,2026-04-25,06:01:13,150.69,0,N/Surge,150.00,No Discount,no surge,307.84,0,N/Surge,300.00,No Discount,no surge,460.95,0,N/Surge,465.34,No Discount,no surge,685.33,0,N/Surge,693.05,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,571.64,0,N/Surge,,No Discount,no surge
2,One Galle Face Mall 1A Centre Road Colombo 00200,Liberty Plaza 300 Srimath Anagarika Dharmapala Mawatha Colombo 00300,2026-04-25,06:02:24,152.28,0,N/Surge,158.00,No Discount,no surge,308.39,0,N/Surge,300.00,No Discount,no surge,496.33,0,N/Surge,524.59,No Discount,no surge,696.52,0,N/Surge,693.05,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,578.86,0,N/Surge,,No Discount,no surge
3,One Galle Face Mall 1A Centre Road Colombo 00200,Roar Global 367 R. A. De Mel Mawatha Colombo 00300,2026-04-25,06:03:36,190.32,0,N/Surge,192.32,No Discount,no surge,309.89,0,N/Surge,300.00,No Discount,no surge,566.49,0,N/Surge,593.70,No Discount,no surge,765.98,0,N/Surge,693.91,No Discount,no surge,,0,N/Surge,195.16,No Discount,no surge,,0,N/Surge,339.64,No Discount,no surge,657.42,0,N/Surge,,No Discount,no surge
4,One Galle Face Mall 1A Centre Road Colombo 00200,Horton Regency Apartments 33 Horton Pl Colombo 00700,2026-04-25,06:04:52,230.2,0,N/Surge,232.88,No Discount,no surge,360.7,0,N/Surge,364.66,435.59,no surge,638.06,0,N/Surge,670.80,No Discount,no surge,840.82,0,N/Surge,831.39,No Discount,no surge,,0,N/Surge,244.06,No Discount,no surge,,0,N/Surge,516.54,No Discount,no surge,738.42,0,N/Surge,,No Discount,no surge
5,One Galle Face Mall 1A Centre Road Colombo 00200,Cinnamon Nest Apartments 5 Dudley Senanayake Mawatha Colombo 00800,2026-04-25,06:06:04,279.22,0,N/Surge,276.44,No Discount,no surge,441.99,0,N/Surge,436.72,No Discount,no surge,710.54,0,N/Surge,747.39,No Discount,no surge,964.76,0,N/Surge,966.06,No Discount,no surge,,0,N/Surge,292.97,No Discount,no surge,,0,N/Surge,516.27,No Discount,no surge,825.12,0,N/Surge,,No Discount,no surge
6,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Fuel Center Marine Dr Colombo,2026-04-25,06:07:15,332.94,0,N/Surge,329.84,No Discount,no surge,512.24,0,N/Surge,507.99,No Discount,no surge,784.31,0,N/Surge,829.49,No Discount,no surge,1088.32,0,N/Surge,"1,117.36",No Discount,no surge,,0,N/Surge,351.76,No Discount,no surge,,0,N/Surge,618.15,No Discount,no surge,926.28,0,N/Surge,,No Discount,no surge
7,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Seafood 55 Collingwood Pl Colombo 00600,2026-04-25,06:08:26,388.59,0,N/Surge,367.24,No Discount,no surge,577.18,0,N/Surge,564.43,No Discount,no surge,852.9,0,N/Surge,889.39,No Discount,no surge,1205.85,0,N/Surge,"1,224.70",No Discount,no surge,,0,N/Surge,393.25,No Discount,no surge,,0,N/Surge,688.99,No Discount,no surge,1020.48,0,N/Surge,,No Discount,no surge
8,One Galle Face Mall 1A Centre Road Colombo 00200,Jagota Agro Products 467 Sri Jayawardenepura Mawatha Sri Jayawardenepura Kotte 10107,2026-04-25,06:09:38,444.71,0,N/Surge,412.12,No Discount,no surge,653.71,0,N/Surge,645.07,835.59,no surge,924.96,0,N/Surge,968.29,No Discount,no surge,1365.8,0,N/Surge,"1,361.03",No Discount,no surge,,0,N/Surge,443.01,No Discount,no surge,,0,N/Surge,"1,010.28",No Discount,no surge,1120.07,0,N/Surge,,No Discount,no surge
9,One Galle Face Mall 1A Centre Road Colombo 00200,Infinity Garden - Diyatha Uyana Mies Rohe Fountain Sri Jayawardenepura Kotte,2026-04-25,06:10:48,501.6,0,N/Surge,483.85,No Discount,no surge,717.97,0,N/Surge,720.99,934.29,no surge,996.29,0,N/Surge,"1,049.63",No Discount,no surge,1516.22,0,N/Surge,"1,508.08",No Discount,no surge,,0,N/Surge,519.14,No Discount,no surge,,0,N/Surge,"1,126.27",No Discount,no surge,1227.83,0,N/Surge,,No Discount,no surge
10,One Galle Face Mall 1A Centre Road Colombo 00200,Janaka Record Bar Main St Battaramulla,2026-04-25,06:12:03,558.32,0,N/Surge,553.39,No Discount,no surge,792.56,0,N/Surge,787.49,942.99,no surge,1077.8,0,N/Surge,"1,120.03",No Discount,no surge,1668.22,0,N/Surge,"1,619.30",No Discount,no surge,,0,N/Surge,588.16,No Discount,no surge,,0,N/Surge,"1,135.26",No Discount,no surge,1336.16,0,N/Surge,,No Discount,no surge
