Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,04:01:15,158.75,0,N/Surge,161.65,No Discount,no surge,279.92,0,N/Surge,320.00,No Discount,no surge,460.8,0,N/Surge,418.80,No Discount,no surge,686.66,0,N/Surge,623.68,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,572.35,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,04:02:30,159.29,0,N/Surge,160.30,No Discount,no surge,280.58,0,N/Surge,320.00,No Discount,no surge,494.16,0,N/Surge,462.11,No Discount,no surge,697.82,0,N/Surge,623.68,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,578.3,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-28,04:03:44,206.23,0,N/Surge,209.00,No Discount,no surge,295.93,0,N/Surge,320.00,No Discount,no surge,565.73,0,N/Surge,530.76,No Discount,no surge,767.78,0,N/Surge,623.68,No Discount,no surge,,0,N/Surge,191.70,No Discount,no surge,,0,N/Surge,318.33,No Discount,no surge,657.12,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-28,04:04:58,259.63,0,N/Surge,256.96,No Discount,no surge,391.26,0,N/Surge,383.55,No Discount,no surge,640.93,0,N/Surge,600.38,No Discount,no surge,844.92,0,N/Surge,740.85,No Discount,no surge,,0,N/Surge,243.57,No Discount,no surge,,0,N/Surge,417.27,No Discount,no surge,741.62,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-28,04:06:09,310.47,0,N/Surge,305.96,No Discount,no surge,464.73,0,N/Surge,462.83,No Discount,no surge,711.77,0,N/Surge,667.74,No Discount,no surge,965.0,0,N/Surge,859.80,No Discount,no surge,,0,N/Surge,293.96,No Discount,no surge,,0,N/Surge,508.47,No Discount,no surge,826.58,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-28,04:07:21,365.82,0,N/Surge,358.49,No Discount,no surge,533.21,0,N/Surge,536.12,No Discount,no surge,778.51,0,N/Surge,731.05,No Discount,no surge,1079.15,0,N/Surge,972.16,No Discount,no surge,,0,N/Surge,341.38,No Discount,no surge,,0,N/Surge,590.81,No Discount,no surge,918.4,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-28,04:08:35,426.44,0,N/Surge,406.02,No Discount,no surge,608.21,0,N/Surge,609.84,No Discount,no surge,851.11,0,N/Surge,795.66,No Discount,no surge,1202.64,0,N/Surge,"1,087.27",No Discount,no surge,,0,N/Surge,388.81,No Discount,no surge,,0,N/Surge,671.06,No Discount,no surge,1018.18,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-28,04:09:46,488.83,0,N/Surge,458.93,No Discount,no surge,705.79,0,N/Surge,687.22,No Discount,no surge,925.02,0,N/Surge,866.22,No Discount,no surge,1363.9,0,N/Surge,"1,213.99",No Discount,no surge,,0,N/Surge,443.73,No Discount,no surge,,0,N/Surge,762.08,No Discount,no surge,1120.15,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-28,04:10:59,544.05,0,N/Surge,"1,246.22",No Discount,no surge,780.87,0,N/Surge,"1,531.72",No Discount,no surge,988.5,0,N/Surge,"1,578.74",No Discount,no surge,1498.2,0,N/Surge,"2,471.82",No Discount,no surge,,0,N/Surge,"1,207.14",No Discount,no surge,,0,N/Surge,"1,690.20",No Discount,no surge,1216.32,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-28,04:12:13,609.23,0,N/Surge,604.43,No Discount,no surge,852.14,0,N/Surge,843.50,No Discount,no surge,1071.23,0,N/Surge,997.45,No Discount,no surge,1652.71,0,N/Surge,"1,436.86",No Discount,no surge,,0,N/Surge,586.73,No Discount,no surge,,0,N/Surge,935.76,No Discount,no surge,1326.8,0,N/Surge,,No Discount,no surge
