Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Sudu Putha Hardware Piliyandala,2026-04-26,06:01:14,150.7,0,N/Surge,699.31,949.31,no surge,307.86,0,N/Surge,929.10,"1,179.10",no surge,460.45,0,N/Surge,"1,290.38","1,540.38",no surge,685.66,0,N/Surge,"2,121.55","2,371.55",no surge,,0,N/Surge,897.26,997.26,no surge,,0,N/Surge,"1,435.14",No Discount,no surge,571.81,0,N/Surge,,No Discount,no surge
2,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Deniya Car Rental 335/3 Moratuwa Road Deniya Rd Piliyandala 10300,2026-04-26,06:02:28,151.99,0,N/Surge,700.00,950.00,no surge,308.5,0,N/Surge,917.24,"1,167.24",no surge,496.32,0,N/Surge,"1,290.15","1,540.15",no surge,697.81,0,N/Surge,"2,122.01","2,372.01",no surge,,0,N/Surge,893.70,993.70,no surge,,0,N/Surge,"1,402.70",No Discount,no surge,579.13,0,N/Surge,,No Discount,no surge
3,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Ranuth Furniture Moratuwa 10400,2026-04-26,06:03:41,190.5,0,N/Surge,98.51,197.03,no surge,310.11,0,N/Surge,150.00,300.00,no surge,567.8,0,N/Surge,290.79,540.79,no surge,769.73,0,N/Surge,389.50,639.50,no surge,,0,N/Surge,139.72,199.60,no surge,,0,N/Surge,343.49,No Discount,no surge,659.41,0,N/Surge,,No Discount,no surge
4,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Enex Fabric Shop 4 Sri Premaratna Mawatha Moratuwa 10400,2026-04-26,06:04:53,230.22,0,N/Surge,118.45,236.90,no surge,360.72,0,N/Surge,187.23,374.46,no surge,638.21,0,N/Surge,362.32,612.32,no surge,841.23,0,N/Surge,517.97,767.97,no surge,,0,N/Surge,173.61,248.02,no surge,,0,N/Surge,435.61,No Discount,no surge,738.64,0,N/Surge,,No Discount,no surge
5,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Singhe Furniture Work Shop 8 2 Upper Indibedda Rd Moratuwa 10400,2026-04-26,06:06:05,280.18,0,N/Surge,141.29,282.58,no surge,443.26,0,N/Surge,228.01,456.03,no surge,711.6,0,N/Surge,434.03,684.03,no surge,966.17,0,N/Surge,643.92,893.92,no surge,,0,N/Surge,208.88,298.40,no surge,,0,N/Surge,526.49,No Discount,no surge,826.54,0,N/Surge,,No Discount,no surge
6,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Cure Care Pharmacy 159/C 2 Polgasowita 10320,2026-04-26,06:07:16,332.26,0,N/Surge,158.42,316.84,no surge,511.44,0,N/Surge,240.51,481.02,no surge,782.81,0,N/Surge,474.43,724.43,no surge,1084.86,0,N/Surge,715.15,965.15,no surge,,0,N/Surge,237.43,337.43,no surge,,0,N/Surge,582.73,No Discount,no surge,924.1,0,N/Surge,,No Discount,no surge
7,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Jithuli Traders Colombo - Horana Rd Polgasowita,2026-04-26,06:08:26,391.91,0,N/Surge,182.74,365.49,no surge,581.73,0,N/Surge,302.64,552.64,no surge,856.25,0,N/Surge,541.48,791.48,no surge,1212.59,0,N/Surge,834.38,"1,084.38",no surge,,0,N/Surge,287.32,387.32,no surge,,0,N/Surge,669.09,No Discount,no surge,1024.95,0,N/Surge,,No Discount,no surge
8,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Richi (singer) 251 Colombo - Horana Rd Polgasowita,2026-04-26,06:09:36,449.74,0,N/Surge,206.17,412.34,no surge,659.31,0,N/Surge,366.29,676.92,no surge,927.58,0,N/Surge,608.66,858.66,no surge,1368.09,0,N/Surge,954.44,"1,204.44",no surge,,0,N/Surge,336.72,436.72,no surge,,0,N/Surge,806.21,No Discount,no surge,1124.02,0,N/Surge,,No Discount,no surge
9,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,ITCS - Institute of Training & Care Services 296/2/4 High Level Rd Pannipitiya 10230,2026-04-26,06:10:47,506.53,0,N/Surge,237.73,475.46,no surge,724.49,0,N/Surge,451.24,770.36,no surge,1002.47,0,N/Surge,677.23,927.23,no surge,1526.58,0,N/Surge,"1,076.04","1,326.04",no surge,,0,N/Surge,403.49,503.49,no surge,,0,N/Surge,925.01,No Discount,no surge,1235.81,0,N/Surge,,No Discount,no surge
10,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Luxe Highway Residencies by Home Lands Skyline 320 High Level Rd Pannipitiya 10230,2026-04-26,06:11:58,562.05,0,N/Surge,294.31,544.31,no surge,796.56,0,N/Surge,519.64,921.57,no surge,1079.88,0,N/Surge,742.98,992.98,no surge,1669.32,0,N/Surge,"1,183.44","1,433.44",no surge,,0,N/Surge,475.35,575.35,no surge,,0,N/Surge,"1,111.84",No Discount,no surge,1338.39,0,N/Surge,,No Discount,no surge
11,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Samarasiri Auto Parts and Engineers No: 375/12/B High Level Road Makumbura Pannipitiya 10230,2026-04-26,06:13:09,631.88,0,N/Surge,367.79,617.79,no surge,872.82,0,N/Surge,601.71,"1,020.05",no surge,1162.88,0,N/Surge,818.56,"1,068.56",no surge,1823.99,0,N/Surge,"1,320.90","1,570.90",no surge,,0,N/Surge,553.61,653.61,no surge,,0,N/Surge,"1,226.98",No Discount,no surge,1448.69,0,N/Surge,,No Discount,no surge
12,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,New GDK Super Center 138 High Level Rd Homagama,2026-04-26,06:14:21,700.06,0,N/Surge,432.40,682.40,no surge,949.05,0,N/Surge,665.39,"1,096.47",no surge,1242.23,0,N/Surge,878.92,"1,128.92",no surge,1969.82,0,N/Surge,"1,427.92","1,677.92",no surge,,0,N/Surge,621.91,721.91,no surge,,0,N/Surge,"1,326.58",No Discount,no surge,1553.73,0,N/Surge,,No Discount,no surge
13,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Sri Kantha Juwellers And Pawn Shop Avissawella Rd Homagama,2026-04-26,06:15:36,763.9,0,N/Surge,496.97,746.97,no surge,1020.45,0,N/Surge,715.05,"1,156.06",no surge,1319.09,0,N/Surge,940.38,"1,190.38",no surge,2113.85,0,N/Surge,"1,537.12","1,787.12",no surge,,0,N/Surge,684.52,784.52,no surge,,0,N/Surge,"1,385.69",No Discount,no surge,1656.09,0,N/Surge,,No Discount,no surge
14,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Thinuli motors bike garage 194 A kendalanda Homagama,2026-04-26,06:16:48,834.35,0,N/Surge,561.17,811.17,no surge,1100.62,0,N/Surge,798.03,"1,255.64",no surge,1401.66,0,N/Surge,"1,010.13","1,260.13",no surge,2256.33,0,N/Surge,"1,662.51","1,912.51",no surge,,0,N/Surge,754.25,854.25,no surge,,0,N/Surge,"1,521.04",No Discount,no surge,1766.75,0,N/Surge,,No Discount,no surge
15,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Nethsara Book Shop 574 B Pitipana North Homagama,2026-04-26,06:17:59,902.24,0,N/Surge,638.14,888.14,no surge,1198.08,0,N/Surge,857.42,"1,436.65",no surge,1470.18,0,N/Surge,"1,077.11","1,459.82",no surge,2396.94,0,N/Surge,"1,782.02","2,235.22",no surge,,0,N/Surge,829.67,929.67,no surge,,0,N/Surge,"1,726.71",No Discount,no surge,1875.07,0,N/Surge,,No Discount,no surge
1,SINGHAGIRI PLAZA MAHARAGAMA 159 Avissawella Rd Maharagama 10280,Excellent Flowers 367 High Level Rd Pannipitiya 10280,2026-04-26,06:19:10,150.72,0,N/Surge,75.90,151.80,no surge,307.88,0,N/Surge,150.00,300.00,no surge,460.57,0,N/Surge,209.40,418.80,no surge,685.99,0,N/Surge,373.68,623.68,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,571.99,0,N/Surge,,No Discount,no surge
2,SINGHAGIRI PLAZA MAHARAGAMA 159 Avissawella Rd Maharagama 10280,Vihanga Highland Milk Bar Unnamed Road Pannipitiya 10230,2026-04-26,06:20:25,151.21,0,N/Surge,79.70,159.40,no surge,308.48,0,N/Surge,150.00,300.00,no surge,494.2,0,N/Surge,230.76,461.53,no surge,696.16,0,N/Surge,373.68,623.68,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,577.41,0,N/Surge,,No Discount,no surge
3,SINGHAGIRI PLAZA MAHARAGAMA 159 Avissawella Rd Maharagama 10280,ZENN CLOTHING STORE 346 High Level Rd Pannipitiya 10230,2026-04-26,06:21:36,188.12,0,N/Surge,95.67,191.35,no surge,309.01,0,N/Surge,150.00,300.00,no surge,563.28,0,N/Surge,278.73,528.73,no surge,764.76,0,N/Surge,373.68,623.68,no surge,,0,N/Surge,135.23,193.18,no surge,,0,N/Surge,328.31,No Discount,no surge,654.25,0,N/Surge,,No Discount,no surge
4,SINGHAGIRI PLAZA MAHARAGAMA 159 Avissawella Rd Maharagama 10280,Western Computer Systems - Showroom 128/E4 Highlevel Road,2026-04-26,06:22:49,228.86,0,N/Surge,117.13,234.27,no surge,359.0,0,N/Surge,171.44,342.88,no surge,635.03,0,N/Surge,344.06,594.06,no surge,836.12,0,N/Surge,484.95,734.95,no surge,,0,N/Surge,168.77,241.10,no surge,,0,N/Surge,412.17,No Discount,no surge,734.66,0,N/Surge,,No Discount,no surge
5,SINGHAGIRI PLAZA MAHARAGAMA 159 Avissawella Rd Maharagama 10280,Salon HAIRNOW 291/A/1 High Level Rd Pannipitiya 10230,2026-04-26,06:23:58,278.1,0,N/Surge,138.00,276.00,no surge,440.36,0,N/Surge,207.19,414.38,no surge,708.12,0,N/Surge,411.83,661.83,no surge,959.53,0,N/Surge,605.89,855.89,no surge,,0,N/Surge,203.69,290.99,no surge,,0,N/Surge,499.52,No Discount,no surge,821.79,0,N/Surge,,No Discount,no surge
6,SINGHAGIRI PLAZA MAHARAGAMA 159 Avissawella Rd Maharagama 10280,Thaaraa Advertising and Digital Printing 382 2 High Level Rd Pannipitiya 10230,2026-04-26,06:25:07,328.01,0,N/Surge,162.52,325.05,no surge,506.36,0,N/Surge,244.26,488.52,no surge,778.6,0,N/Surge,479.85,729.85,no surge,1079.4,0,N/Surge,726.25,976.25,no surge,,0,N/Surge,241.88,341.88,no surge,,0,N/Surge,591.00,No Discount,no surge,918.53,0,N/Surge,,No Discount,no surge
7,SINGHAGIRI PLAZA MAHARAGAMA 159 Avissawella Rd Maharagama 10280,Senkadagala Nilame Adum Homagama,2026-04-26,06:26:20,388.1,0,N/Surge,651.95,901.95,no surge,576.5,0,N/Surge,901.07,"1,265.18",no surge,852.8,0,N/Surge,"1,097.65","1,347.65",no surge,1206.05,0,N/Surge,"1,819.87","2,069.87",no surge,,0,N/Surge,853.15,953.15,no surge,,0,N/Surge,"1,528.62",No Discount,no surge,1020.44,0,N/Surge,,No Discount,no surge
