Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-24,20:01:14,150.85,0,N/Surge,150.00,No Discount,no surge,304.04,0,N/Surge,300.00,No Discount,no surge,336.71,0,N/Surge,286.83,No Discount,no surge,545.06,0,N/Surge,423.99,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,463.46,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-24,20:02:27,151.43,0,N/Surge,150.00,No Discount,no surge,304.75,0,N/Surge,300.00,No Discount,no surge,387.46,0,N/Surge,360.94,No Discount,no surge,587.46,0,N/Surge,566.20,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,469.85,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-24,20:03:36,189.62,0,N/Surge,150.00,No Discount,no surge,313.37,0,N/Surge,300.00,No Discount,no surge,518.34,0,N/Surge,361.00,No Discount,no surge,761.03,0,N/Surge,566.40,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,575.2,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-24,20:04:45,233.06,0,N/Surge,150.00,No Discount,no surge,390.91,0,N/Surge,300.00,No Discount,no surge,630.47,0,N/Surge,362.82,No Discount,no surge,946.49,0,N/Surge,569.28,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,716.93,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-24,20:05:54,281.67,0,N/Surge,808.84,No Discount,no surge,465.29,0,N/Surge,"1,187.13",No Discount,no surge,735.21,0,N/Surge,"1,533.20",No Discount,no surge,1118.16,0,N/Surge,"2,424.50",No Discount,no surge,,0,N/Surge,752.12,852.12,no surge,,0,N/Surge,"1,441.98",No Discount,no surge,830.61,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-24,20:07:03,328.74,0,N/Surge,325.44,No Discount,no surge,547.82,0,N/Surge,511.49,No Discount,no surge,833.25,0,N/Surge,762.95,No Discount,no surge,1261.96,0,N/Surge,"1,207.84",No Discount,no surge,,0,N/Surge,241.88,341.88,no surge,,0,N/Surge,613.66,No Discount,no surge,937.31,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-24,20:08:15,387.3,0,N/Surge,368.12,No Discount,no surge,616.27,0,N/Surge,582.95,No Discount,no surge,940.42,0,N/Surge,859.77,No Discount,no surge,1418.63,0,N/Surge,"1,361.46",No Discount,no surge,,0,N/Surge,289.79,389.79,no surge,,0,N/Surge,700.19,No Discount,no surge,1053.77,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-24,20:09:26,447.58,0,N/Surge,415.68,No Discount,no surge,685.91,0,N/Surge,658.63,No Discount,no surge,1049.97,0,N/Surge,964.86,No Discount,no surge,1588.23,0,N/Surge,"1,528.79",No Discount,no surge,,0,N/Surge,345.15,445.15,no surge,,0,N/Surge,800.78,No Discount,no surge,1173.0,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-24,20:10:37,498.45,0,N/Surge,"1,117.31",No Discount,no surge,741.38,0,N/Surge,"1,495.46",No Discount,no surge,1144.26,0,N/Surge,"1,943.27",No Discount,no surge,1734.69,0,N/Surge,"3,078.02",No Discount,no surge,,0,N/Surge,"1,063.03","1,163.03",no surge,,0,N/Surge,"1,866.66",No Discount,no surge,1284.35,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-24,20:11:46,556.72,0,N/Surge,497.62,No Discount,no surge,804.93,0,N/Surge,735.89,No Discount,no surge,1252.58,0,N/Surge,"1,079.09",No Discount,no surge,1903.49,0,N/Surge,"1,708.52",No Discount,no surge,,0,N/Surge,430.53,530.53,no surge,,0,N/Surge,901.43,No Discount,no surge,1412.42,0,N/Surge,,No Discount,no surge
11,Nawaloka Medical Mount Lavinia,M Craft Handcraft Designers Sunanda Eliya Rd Moratuwa,2026-04-24,20:12:52,626.68,0,N/Surge,618.80,No Discount,no surge,875.23,0,N/Surge,849.91,No Discount,no surge,1357.84,0,N/Surge,"1,243.01",No Discount,no surge,2063.55,0,N/Surge,"1,959.15",No Discount,no surge,,0,N/Surge,553.61,653.61,no surge,,0,N/Surge,"1,050.14",No Discount,no surge,1535.82,0,N/Surge,,No Discount,no surge
12,Nawaloka Medical Mount Lavinia,SD Sticker Galle Road Moratuwa,2026-04-24,20:13:58,695.71,0,N/Surge,618.80,No Discount,no surge,963.64,0,N/Surge,849.57,No Discount,no surge,1462.39,0,N/Surge,"1,242.44",No Discount,no surge,2224.52,0,N/Surge,"1,958.46",No Discount,no surge,,0,N/Surge,553.61,653.61,no surge,,0,N/Surge,"1,049.81",No Discount,no surge,1658.87,0,N/Surge,,No Discount,no surge
13,Nawaloka Medical Mount Lavinia,Zuhriya(Lawyer) 29 Govipola Rd Panadura,2026-04-24,20:15:09,766.2,0,N/Surge,759.27,No Discount,no surge,1011.08,0,N/Surge,"1,033.56",No Discount,no surge,1574.33,0,N/Surge,"1,462.47",No Discount,no surge,2413.17,0,N/Surge,"2,311.32",No Discount,no surge,,0,N/Surge,698.04,798.04,no surge,,0,N/Surge,"1,248.29",No Discount,no surge,1791.98,0,N/Surge,,No Discount,no surge
14,Nawaloka Medical Mount Lavinia,Barista Kottawa 292 1 High Level Rd Pannipitiya 10230,2026-04-24,20:16:17,831.84,0,N/Surge,"1,369.32",No Discount,no surge,1105.45,0,N/Surge,"1,806.89",No Discount,no surge,1694.98,0,N/Surge,"2,311.04",No Discount,no surge,2588.73,0,N/Surge,"3,663.70",No Discount,no surge,,0,N/Surge,"1,322.01","1,422.01",no surge,,0,N/Surge,"2,232.90",No Discount,no surge,1922.28,0,N/Surge,,No Discount,no surge
15,Nawaloka Medical Mount Lavinia,The Litro Gas - Kodithuwakku Pannipitiya,2026-04-24,20:17:31,903.18,0,N/Surge,903.17,No Discount,no surge,1177.38,0,N/Surge,"1,160.09",No Discount,no surge,1823.26,0,N/Surge,"1,670.82",No Discount,no surge,2770.12,0,N/Surge,"2,650.01",No Discount,no surge,,0,N/Surge,861.68,961.68,no surge,,0,N/Surge,"1,443.05",No Discount,no surge,2059.16,0,N/Surge,,No Discount,no surge
1,Cargills Food City - Kothalawala No. 314/3 316/A 316 New Kandy Rd Colombo,Timber Gallery - Kaduwela No 178/A New Kandy Rd Kaduwela 10640,2026-04-24,20:18:39,150.78,0,N/Surge,150.00,No Discount,no surge,303.96,0,N/Surge,300.00,No Discount,no surge,335.69,0,N/Surge,286.83,No Discount,no surge,543.24,0,N/Surge,423.99,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,462.66,0,N/Surge,,No Discount,no surge
2,Cargills Food City - Kothalawala No. 314/3 316/A 316 New Kandy Rd Colombo,Ceylon Panacea International Pvt Ltd 1/7 No. 322 School Lane Kaduwela,2026-04-24,20:19:48,152.9,0,N/Surge,952.06,No Discount,no surge,305.02,0,N/Surge,"1,589.19",No Discount,no surge,394.14,0,N/Surge,"1,740.20",No Discount,no surge,594.3,0,N/Surge,"2,751.74",No Discount,no surge,,0,N/Surge,904.37,"1,004.37",no surge,,0,N/Surge,"1,963.12",No Discount,no surge,473.36,0,N/Surge,,No Discount,no surge
3,Cargills Food City - Kothalawala No. 314/3 316/A 316 New Kandy Rd Colombo,Sanjaya Vegetarian Hotel Bandarawatta Junction Kaduwela,2026-04-24,20:20:55,188.8,0,N/Surge,952.75,No Discount,no surge,313.14,0,N/Surge,"1,588.06",No Discount,no surge,515.41,0,N/Surge,"1,739.82",No Discount,no surge,756.62,0,N/Surge,"2,751.35",No Discount,no surge,,0,N/Surge,905.08,"1,005.08",no surge,,0,N/Surge,"1,963.90",No Discount,no surge,572.58,0,N/Surge,,No Discount,no surge
5,Cargills Food City - Kothalawala No. 314/3 316/A 316 New Kandy Rd Colombo,Cargills Food City - Bomiriya Kaduwela,2026-04-24,20:22:43,279.56,0,N/Surge,278.64,No Discount,no surge,461.62,0,N/Surge,434.26,No Discount,no surge,730.32,0,N/Surge,664.78,No Discount,no surge,1110.06,0,N/Surge,"1,050.37",No Discount,no surge,,0,N/Surge,206.46,294.95,no surge,,0,N/Surge,525.43,No Discount,no surge,825.0,0,N/Surge,,No Discount,no surge
6,Cargills Food City - Kothalawala No. 314/3 316/A 316 New Kandy Rd Colombo,Lanka tile wear house Oil Refinery Junction - Free Trade Zone Rd,2026-04-24,20:23:53,328.74,0,N/Surge,325.44,No Discount,no surge,547.82,0,N/Surge,499.83,No Discount,no surge,833.25,0,N/Surge,758.14,No Discount,no surge,1261.96,0,N/Surge,"1,198.80",No Discount,no surge,,0,N/Surge,242.37,342.37,no surge,,0,N/Surge,609.27,No Discount,no surge,937.31,0,N/Surge,,No Discount,no surge
7,Cargills Food City - Kothalawala No. 314/3 316/A 316 New Kandy Rd Colombo,OVIKLO International (Pvt) Ltd - Biyagama HUB & Open Yard 533C Walgama 11650,2026-04-24,20:25:02,387.75,0,N/Surge,325.44,No Discount,no surge,616.78,0,N/Surge,503.87,No Discount,no surge,940.49,0,N/Surge,758.01,No Discount,no surge,1417.49,0,N/Surge,"1,198.90",No Discount,no surge,,0,N/Surge,241.38,341.38,no surge,,0,N/Surge,602.39,No Discount,no surge,1053.43,0,N/Surge,,No Discount,no surge
