Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,00:01:15,158.73,0,N/Surge,160.00,No Discount,no surge,279.9,0,N/Surge,320.00,No Discount,no surge,390.34,0,N/Surge,359.84,No Discount,no surge,649.24,0,N/Surge,526.09,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,547.13,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,00:02:29,159.26,0,N/Surge,160.00,No Discount,no surge,280.54,0,N/Surge,320.00,No Discount,no surge,394.2,0,N/Surge,359.84,No Discount,no surge,660.24,0,N/Surge,595.42,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,552.99,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-28,00:03:44,206.29,0,N/Surge,752.87,No Discount,no surge,296.01,0,N/Surge,"1,026.77",No Discount,no surge,465.17,0,N/Surge,"1,198.90",No Discount,no surge,831.03,0,N/Surge,"2,031.10",No Discount,no surge,,0,N/Surge,724.76,No Discount,no surge,,0,N/Surge,"1,114.56",No Discount,no surge,558.54,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-28,00:04:56,259.66,0,N/Surge,256.47,No Discount,no surge,391.3,0,N/Surge,378.13,No Discount,no surge,558.97,0,N/Surge,521.27,No Discount,no surge,996.38,0,N/Surge,882.82,No Discount,no surge,,0,N/Surge,243.57,No Discount,no surge,,0,N/Surge,416.52,No Discount,no surge,675.13,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-28,00:06:09,310.52,0,N/Surge,305.96,No Discount,no surge,464.8,0,N/Surge,457.55,No Discount,no surge,645.95,0,N/Surge,602.44,No Discount,no surge,1152.88,0,N/Surge,"1,020.69",No Discount,no surge,,0,N/Surge,293.46,No Discount,no surge,,0,N/Surge,502.87,No Discount,no surge,764.15,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-28,00:07:23,365.9,0,N/Surge,358.54,No Discount,no surge,533.31,0,N/Surge,524.13,No Discount,no surge,727.77,0,N/Surge,681.62,No Discount,no surge,1301.1,0,N/Surge,"1,153.08",No Discount,no surge,,0,N/Surge,340.89,No Discount,no surge,,0,N/Surge,569.96,No Discount,no surge,874.88,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-28,00:08:34,426.54,0,N/Surge,406.02,No Discount,no surge,608.34,0,N/Surge,611.26,No Discount,no surge,816.84,0,N/Surge,762.50,No Discount,no surge,1461.72,0,N/Surge,"1,290.32",No Discount,no surge,,0,N/Surge,388.81,No Discount,no surge,,0,N/Surge,671.23,No Discount,no surge,995.29,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-28,00:09:45,488.84,0,N/Surge,458.93,No Discount,no surge,705.8,0,N/Surge,682.09,No Discount,no surge,906.88,0,N/Surge,848.04,No Discount,no surge,1622.37,0,N/Surge,"1,435.60",No Discount,no surge,,0,N/Surge,441.59,No Discount,no surge,,0,N/Surge,743.35,No Discount,no surge,1116.74,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-28,00:11:01,544.19,0,N/Surge,546.08,No Discount,no surge,781.04,0,N/Surge,779.06,No Discount,no surge,985.72,0,N/Surge,945.40,No Discount,no surge,1764.81,0,N/Surge,"1,599.76",No Discount,no surge,,0,N/Surge,529.10,No Discount,no surge,,0,N/Surge,863.48,No Discount,no surge,1223.37,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-28,00:12:16,609.41,0,N/Surge,605.16,No Discount,no surge,852.36,0,N/Surge,838.17,No Discount,no surge,1075.4,0,N/Surge,"1,007.36",No Discount,no surge,1926.25,0,N/Surge,"1,697.00",No Discount,no surge,,0,N/Surge,586.73,No Discount,no surge,,0,N/Surge,933.76,No Discount,no surge,1344.55,0,N/Surge,,No Discount,no surge
