Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,DM Printers Maharagama 155 highleval rd Colombo - Batticaloa Hwy Maharagama,2026-04-25,13:01:12,150.81,0,N/Surge,150.00,No Discount,no surge,453.99,0,Surge,329.00,No Discount,no surge,406.93,0,N/Surge,392.23,No Discount,no surge,632.91,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,330.00,No Discount,no surge,503.01,0,N/Surge,,No Discount,no surge
2,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,CIB Online Store 345 1 High Level Rd Maharagama 10280,2026-04-25,13:02:18,151.4,0,N/Surge,150.00,No Discount,no surge,454.71,0,Surge,329.00,No Discount,no surge,411.22,0,N/Surge,392.23,No Discount,no surge,645.16,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,330.00,No Discount,no surge,509.54,0,N/Surge,,No Discount,no surge
3,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Api Singhe Motors (Pvt) Ltd No 640 A Wijerama Gangodawila Nugegoda,2026-04-25,13:03:25,188.89,0,N/Surge,190.96,No Discount,no surge,455.49,0,Surge,300.00,No Discount,no surge,415.83,0,N/Surge,412.77,No Discount,no surge,658.32,0,N/Surge,648.86,No Discount,no surge,,0,N/Surge,145.03,207.19,no surge,,0,N/Surge,345.85,No Discount,no surge,516.56,0,N/Surge,,No Discount,no surge
4,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Gangodawila Girl's Child Development Center,2026-04-25,13:04:34,230.27,0,N/Surge,241.93,No Discount,no surge,474.09,0,Surge,343.22,No Discount,no surge,477.93,0,N/Surge,488.51,No Discount,no surge,757.77,0,N/Surge,657.38,No Discount,no surge,,0,N/Surge,187.91,268.45,no surge,,0,N/Surge,460.75,No Discount,no surge,546.43,0,N/Surge,,No Discount,no surge
5,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Jeewa Plastic (Pvt) Ltd 224 High Level Rd Colombo,2026-04-25,13:05:45,279.27,0,N/Surge,273.80,No Discount,no surge,393.0,0,N/Surge,398.70,No Discount,no surge,540.86,0,N/Surge,536.05,No Discount,no surge,908.06,0,N/Surge,744.53,No Discount,no surge,,0,N/Surge,212.81,304.02,no surge,,0,N/Surge,533.11,No Discount,no surge,626.27,0,N/Surge,,No Discount,no surge
6,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Java Lounge 126/B High Level Rd Nugegoda 10250,2026-04-25,13:06:53,328.96,0,N/Surge,325.44,No Discount,no surge,460.5,0,N/Surge,464.16,No Discount,no surge,602.78,0,N/Surge,597.91,No Discount,no surge,1056.81,0,N/Surge,857.64,No Discount,no surge,,0,N/Surge,256.88,356.88,no surge,,0,N/Surge,628.83,No Discount,no surge,734.94,0,N/Surge,,No Discount,no surge
7,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Felicity Solar Technology (PVT) Ltd 188a High Level Rd Colombo 00600,2026-04-25,13:08:00,387.57,0,N/Surge,369.00,No Discount,no surge,492.6,0,N/Surge,524.67,No Discount,no surge,666.38,0,N/Surge,654.77,No Discount,no surge,1209.21,0,N/Surge,963.25,No Discount,no surge,,0,N/Surge,305.29,405.29,no surge,,0,N/Surge,716.54,No Discount,no surge,846.75,0,N/Surge,,No Discount,no surge
8,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nanomedix (Pvt) Ltd. 112/1 H. Sri Nissanka Mw Maya Ave Colombo 00600,2026-04-25,13:09:08,445.84,0,N/Surge,415.68,No Discount,no surge,585.0,0,N/Surge,601.05,No Discount,no surge,751.33,0,N/Surge,717.77,No Discount,no surge,1362.58,0,N/Surge,"1,077.96",No Discount,no surge,,0,N/Surge,357.30,457.30,no surge,,0,N/Surge,814.37,No Discount,no surge,958.64,0,N/Surge,,No Discount,no surge
9,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,PetsVcare Animal Hospitals 506/7 Elvitigala Mawatha Colombo 5,2026-04-25,13:10:15,504.02,0,N/Surge,485.91,No Discount,no surge,641.01,0,N/Surge,663.09,No Discount,no surge,836.38,0,N/Surge,780.67,No Discount,no surge,1539.93,0,N/Surge,"1,193.65",No Discount,no surge,,0,N/Surge,434.14,534.14,no surge,,0,N/Surge,917.70,No Discount,no surge,1070.52,0,N/Surge,,No Discount,no surge
10,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Bank of Ceylon ATM Victoria Pl Colombo 00800,2026-04-25,13:11:22,561.06,0,N/Surge,551.33,No Discount,no surge,714.48,0,N/Surge,785.87,No Discount,no surge,919.41,0,N/Surge,836.90,No Discount,no surge,1712.43,0,N/Surge,"1,292.90",No Discount,no surge,,0,N/Surge,503.16,603.16,no surge,,0,N/Surge,"1,099.42",No Discount,no surge,1184.65,0,N/Surge,,No Discount,no surge
