Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,DM Printers Maharagama 155 highleval rd Colombo - Batticaloa Hwy Maharagama,2026-04-26,06:01:09,150.72,0,N/Surge,153.85,No Discount,no surge,307.89,0,N/Surge,294.00,300.00,no surge,460.6,0,N/Surge,465.34,No Discount,no surge,686.08,0,N/Surge,693.05,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,572.04,0,N/Surge,,No Discount,no surge
2,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,CIB Online Store 345 1 High Level Rd Maharagama 10280,2026-04-26,06:02:20,151.18,0,N/Surge,153.55,No Discount,no surge,308.45,0,N/Surge,300.00,No Discount,no surge,493.4,0,N/Surge,513.72,No Discount,no surge,695.66,0,N/Surge,693.05,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,577.14,0,N/Surge,,No Discount,no surge
3,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Api Singhe Motors (Pvt) Ltd No 640 A Wijerama Gangodawila Nugegoda,2026-04-26,06:03:28,188.55,0,N/Surge,193.02,No Discount,no surge,309.07,0,N/Surge,300.00,No Discount,no surge,564.28,0,N/Surge,587.41,No Discount,no surge,766.29,0,N/Surge,693.05,No Discount,no surge,,0,N/Surge,134.53,192.19,no surge,,0,N/Surge,326.85,No Discount,no surge,655.49,0,N/Surge,,No Discount,no surge
4,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Gangodawila Girl's Child Development Center,2026-04-26,06:04:36,229.78,0,N/Surge,243.63,No Discount,no surge,360.17,0,N/Surge,366.96,No Discount,no surge,637.26,0,N/Surge,681.23,No Discount,no surge,839.86,0,N/Surge,851.97,No Discount,no surge,,0,N/Surge,177.41,253.45,no surge,,0,N/Surge,437.25,No Discount,no surge,737.49,0,N/Surge,,No Discount,no surge
5,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Jeewa Plastic (Pvt) Ltd 224 High Level Rd Colombo,2026-04-26,06:05:44,278.63,0,N/Surge,275.11,No Discount,no surge,441.22,0,N/Surge,416.63,No Discount,no surge,709.21,0,N/Surge,734.18,No Discount,no surge,961.81,0,N/Surge,947.04,No Discount,no surge,,0,N/Surge,202.66,289.51,no surge,,0,N/Surge,499.88,No Discount,no surge,823.22,0,N/Surge,,No Discount,no surge
6,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Java Lounge 126/B High Level Rd Nugegoda 10250,2026-04-26,06:06:54,328.12,0,N/Surge,321.06,No Discount,no surge,506.51,0,N/Surge,490.82,No Discount,no surge,779.45,0,N/Surge,812.70,No Discount,no surge,1081.82,0,N/Surge,"1,086.55",No Discount,no surge,,0,N/Surge,241.38,341.38,no surge,,0,N/Surge,591.64,No Discount,no surge,919.82,0,N/Surge,,No Discount,no surge
7,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Felicity Solar Technology (PVT) Ltd 188a High Level Rd Colombo 00600,2026-04-26,06:08:03,386.58,0,N/Surge,369.03,No Discount,no surge,574.39,0,N/Surge,560.95,No Discount,no surge,852.13,0,N/Surge,885.76,No Discount,no surge,1205.55,0,N/Surge,"1,215.18",No Discount,no surge,,0,N/Surge,289.79,389.79,no surge,,0,N/Surge,675.85,No Discount,no surge,1019.74,0,N/Surge,,No Discount,no surge
8,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nanomedix (Pvt) Ltd. 112/1 H. Sri Nissanka Mw Maya Ave Colombo 00600,2026-04-26,06:09:14,519.7,0,Surge,415.39,No Discount,no surge,653.7,0,N/Surge,635.71,No Discount,no surge,924.87,0,N/Surge,964.75,No Discount,no surge,1365.55,0,N/Surge,"1,357.36",No Discount,no surge,,0,N/Surge,343.73,443.73,no surge,,0,N/Surge,769.58,No Discount,no surge,1119.94,0,N/Surge,,No Discount,no surge
9,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,PetsVcare Animal Hospitals 506/7 Elvitigala Mawatha Colombo 5,2026-04-26,06:10:22,577.67,0,Surge,484.89,No Discount,no surge,719.38,0,N/Surge,710.23,No Discount,no surge,997.44,0,N/Surge,"1,041.95",No Discount,no surge,1517.89,0,N/Surge,"1,495.26",No Discount,no surge,,0,N/Surge,415.59,515.59,no surge,,0,N/Surge,859.18,No Discount,no surge,1229.27,0,N/Surge,,No Discount,no surge
10,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Bank of Ceylon ATM Victoria Pl Colombo 00800,2026-04-26,06:11:30,634.63,0,Surge,549.61,No Discount,no surge,793.97,0,N/Surge,848.35,No Discount,no surge,1078.95,0,N/Surge,"1,111.63",No Discount,no surge,1669.89,0,N/Surge,"1,607.78",No Discount,no surge,,0,N/Surge,478.91,578.91,no surge,,0,N/Surge,"1,006.54",No Discount,no surge,1337.6,0,N/Surge,,No Discount,no surge
11,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Nielsen No. 98 D. S. Senanayake Mawatha Colombo 08,2026-04-26,06:12:41,697.65,0,Surge,615.66,No Discount,no surge,862.62,0,N/Surge,925.21,No Discount,no surge,1154.1,0,N/Surge,"1,185.33",No Discount,no surge,1810.19,0,N/Surge,"1,739.32",No Discount,no surge,,0,N/Surge,548.63,648.63,no surge,,0,N/Surge,"1,099.36",No Discount,no surge,1437.51,0,N/Surge,,No Discount,no surge
12,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Sarvodaya Development Finance PLC 155 Dr Danister De Silva Mawatha Colombo 00800,2026-04-26,06:13:49,771.57,0,Surge,692.73,No Discount,no surge,945.21,0,N/Surge,"1,024.34",No Discount,no surge,1241.84,0,N/Surge,"1,277.77",No Discount,no surge,1973.55,0,N/Surge,"1,904.66",No Discount,no surge,,0,N/Surge,634.01,734.01,no surge,,0,N/Surge,"1,216.49",No Discount,no surge,1554.08,0,N/Surge,,No Discount,no surge
13,Domino's Pizza - Maharagama 134/A/1 Avissawella Rd Maharagama 10280,Driveline Dematagoda 279 Dr Danister De Silva Mawatha Colombo 00900,2026-04-26,06:14:57,760.3,0,N/Surge,755.44,No Discount,no surge,1016.49,0,N/Surge,"1,100.75",No Discount,no surge,1317.94,0,N/Surge,"1,343.45",No Discount,no surge,2115.77,0,N/Surge,"2,021.06",No Discount,no surge,,0,N/Surge,696.62,796.62,no surge,,0,N/Surge,"1,323.39",No Discount,no surge,1655.28,0,N/Surge,,No Discount,no surge
