Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Sudu Putha Hardware Piliyandala,2026-04-25,22:01:12,150.74,0,N/Surge,150.00,No Discount,no surge,429.91,0,Surge,320.00,No Discount,no surge,335.92,0,N/Surge,286.83,No Discount,no surge,542.81,0,N/Surge,431.66,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,462.26,0,N/Surge,,No Discount,no surge
2,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Deniya Car Rental 335/3 Moratuwa Road Deniya Rd Piliyandala 10300,2026-04-25,22:02:20,152.07,0,N/Surge,150.00,No Discount,no surge,430.9,0,Surge,320.00,No Discount,no surge,391.07,0,N/Surge,352.84,No Discount,no surge,589.48,0,N/Surge,554.85,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,470.52,0,N/Surge,,No Discount,no surge
3,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Ranuth Furniture Moratuwa 10400,2026-04-25,22:03:26,190.71,0,N/Surge,150.00,No Discount,no surge,448.16,0,Surge,320.00,No Discount,no surge,520.95,0,N/Surge,352.90,No Discount,no surge,763.97,0,N/Surge,554.65,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,577.74,0,N/Surge,,No Discount,no surge
4,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Enex Fabric Shop 4 Sri Premaratna Mawatha Moratuwa 10400,2026-04-25,22:04:33,230.37,0,N/Surge,236.84,No Discount,no surge,537.91,0,Surge,415.73,No Discount,no surge,623.32,0,N/Surge,569.00,No Discount,no surge,932.4,0,N/Surge,899.39,No Discount,no surge,,0,N/Surge,172.92,247.03,no surge,,0,N/Surge,430.07,No Discount,no surge,708.33,0,N/Surge,,No Discount,no surge
5,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Singhe Furniture Work Shop 8 2 Upper Indibedda Rd Moratuwa 10400,2026-04-25,22:05:40,280.36,0,N/Surge,281.72,No Discount,no surge,613.7,0,Surge,502.09,No Discount,no surge,730.94,0,N/Surge,670.07,No Discount,no surge,1108.9,0,N/Surge,"1,059.62",No Discount,no surge,,0,N/Surge,208.88,298.40,no surge,,0,N/Surge,528.90,No Discount,no surge,825.03,0,N/Surge,,No Discount,no surge
6,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Cure Care Pharmacy 159/C 2 Polgasowita 10320,2026-04-25,22:06:48,332.52,0,N/Surge,315.60,No Discount,no surge,689.18,0,Surge,551.13,No Discount,no surge,836.72,0,N/Surge,740.47,No Discount,no surge,1260.16,0,N/Surge,"1,172.58",No Discount,no surge,,0,N/Surge,237.92,337.92,no surge,,0,N/Surge,594.25,No Discount,no surge,938.93,0,N/Surge,,No Discount,no surge
7,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Jithuli Traders Colombo - Horana Rd Polgasowita,2026-04-25,22:07:55,392.27,0,N/Surge,364.60,No Discount,no surge,617.67,0,N/Surge,630.26,No Discount,no surge,945.15,0,N/Surge,835.70,No Discount,no surge,1418.5,0,N/Surge,"1,324.44",No Discount,no surge,,0,N/Surge,287.82,387.82,no surge,,0,N/Surge,682.11,No Discount,no surge,1056.4,0,N/Surge,,No Discount,no surge
8,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Richi (singer) 251 Colombo - Horana Rd Polgasowita,2026-04-25,22:09:01,450.0,0,N/Surge,410.80,No Discount,no surge,710.83,0,N/Surge,700.66,No Discount,no surge,1049.11,0,N/Surge,929.84,No Discount,no surge,1577.6,0,N/Surge,"1,474.46",No Discount,no surge,,0,N/Surge,337.22,437.22,no surge,,0,N/Surge,750.61,No Discount,no surge,1169.56,0,N/Surge,,No Discount,no surge
9,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,ITCS - Institute of Training & Care Services 296/2/4 High Level Rd Pannipitiya 10230,2026-04-25,22:10:07,506.74,0,N/Surge,474.21,No Discount,no surge,793.1,0,N/Surge,801.68,No Discount,no surge,1155.57,0,N/Surge,"1,030.84",No Discount,no surge,1745.18,0,N/Surge,"1,637.22",No Discount,no surge,,0,N/Surge,405.62,505.62,no surge,,0,N/Surge,854.98,No Discount,no surge,1295.86,0,N/Surge,,No Discount,no surge
10,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Luxe Highway Residencies by Home Lands Skyline 320 High Level Rd Pannipitiya 10230,2026-04-25,22:11:13,562.37,0,N/Surge,543.75,No Discount,no surge,859.48,0,N/Surge,863.11,No Discount,no surge,1256.05,0,N/Surge,"1,119.06",No Discount,no surge,1899.79,0,N/Surge,"1,775.77",No Discount,no surge,,0,N/Surge,478.20,578.20,no surge,,0,N/Surge,935.11,No Discount,no surge,1414.14,0,N/Surge,,No Discount,no surge
11,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Samarasiri Auto Parts and Engineers No: 375/12/B High Level Road Makumbura Pannipitiya 10230,2026-04-25,22:12:18,632.19,0,N/Surge,618.80,No Discount,no surge,931.2,0,N/Surge,965.77,No Discount,no surge,1362.43,0,N/Surge,"1,243.06",No Discount,no surge,2064.41,0,N/Surge,"1,972.06",No Discount,no surge,,0,N/Surge,562.15,662.15,no surge,,0,N/Surge,"1,044.72",No Discount,no surge,1539.61,0,N/Surge,,No Discount,no surge
