Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Sudu Putha Hardware Piliyandala,2026-04-24,16:22:32,154.78,0,N/Surge,150.00,No Discount,no surge,280.95,0,N/Surge,300.00,No Discount,no surge,387.66,0,N/Surge,417.73,No Discount,no surge,522.16,0,N/Surge,591.63,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,442.61,0,N/Surge,,No Discount,no surge
2,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Deniya Car Rental 335/3 Moratuwa Road Deniya Rd Piliyandala 10300,2026-04-24,16:23:40,156.24,0,N/Surge,158.00,No Discount,no surge,307.74,0,N/Surge,300.00,No Discount,no surge,494.4,0,N/Surge,442.53,No Discount,no surge,655.39,0,N/Surge,605.48,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,554.81,0,N/Surge,,No Discount,no surge
3,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Ranuth Furniture Moratuwa 10400,2026-04-24,16:24:50,197.95,0,N/Surge,193.02,No Discount,no surge,309.06,0,N/Surge,300.00,No Discount,no surge,500.95,0,N/Surge,532.06,No Discount,no surge,757.84,0,N/Surge,737.55,No Discount,no surge,,0,N/Surge,139.03,198.62,no surge,,0,N/Surge,344.03,No Discount,no surge,563.72,0,N/Surge,,No Discount,no surge
4,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Enex Fabric Shop 4 Sri Premaratna Mawatha Moratuwa 10400,2026-04-24,16:26:00,239.71,0,N/Surge,231.73,No Discount,no surge,333.32,0,N/Surge,356.64,No Discount,no surge,581.8,0,N/Surge,621.43,No Discount,no surge,914.48,0,N/Surge,873.15,No Discount,no surge,,0,N/Surge,173.96,248.51,no surge,,0,N/Surge,447.05,No Discount,no surge,635.1,0,N/Surge,,No Discount,no surge
5,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Singhe Furniture Work Shop 8 2 Upper Indibedda Rd Moratuwa 10400,2026-04-24,16:27:10,295.1,0,N/Surge,276.02,No Discount,no surge,402.1,0,N/Surge,440.41,No Discount,no surge,672.02,0,N/Surge,710.58,No Discount,no surge,1064.53,0,N/Surge,"1,004.75",No Discount,no surge,,0,N/Surge,208.19,297.42,no surge,,0,N/Surge,537.53,No Discount,no surge,763.84,0,N/Surge,,No Discount,no surge
6,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Cure Care Pharmacy 159/C 2 Polgasowita 10320,2026-04-24,16:28:19,354.49,0,N/Surge,308.70,No Discount,no surge,470.23,0,N/Surge,467.01,No Discount,no surge,758.44,0,N/Surge,770.18,No Discount,no surge,1223.76,0,N/Surge,"1,093.95",No Discount,no surge,,0,N/Surge,236.94,336.94,no surge,,0,N/Surge,602.55,No Discount,no surge,886.8,0,N/Surge,,No Discount,no surge
7,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Jithuli Traders Colombo - Horana Rd Polgasowita,2026-04-24,16:29:29,407.0,0,N/Surge,357.13,No Discount,no surge,539.5,0,N/Surge,537.66,No Discount,no surge,848.47,0,N/Surge,855.98,No Discount,no surge,1391.92,0,N/Surge,"1,221.77",No Discount,no surge,,0,N/Surge,286.83,386.83,no surge,,0,N/Surge,694.23,No Discount,no surge,1015.16,0,N/Surge,,No Discount,no surge
8,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Richi (singer) 251 Colombo - Horana Rd Polgasowita,2026-04-24,16:30:35,459.81,0,N/Surge,402.28,No Discount,no surge,606.7,0,N/Surge,605.45,No Discount,no surge,935.57,0,N/Surge,944.98,No Discount,no surge,1549.72,0,N/Surge,"1,356.95",No Discount,no surge,,0,N/Surge,339.19,439.19,no surge,,0,N/Surge,787.44,No Discount,no surge,1139.31,0,N/Surge,,No Discount,no surge
9,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,ITCS - Institute of Training & Care Services 296/2/4 High Level Rd Pannipitiya 10230,2026-04-24,16:31:45,527.85,0,N/Surge,464.99,No Discount,no surge,674.31,0,N/Surge,685.79,No Discount,no surge,1026.16,0,N/Surge,"1,027.11",No Discount,no surge,1718.37,0,N/Surge,"1,477.62",No Discount,no surge,,0,N/Surge,404.20,504.20,no surge,,0,N/Surge,869.86,No Discount,no surge,1268.85,0,N/Surge,,No Discount,no surge
10,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Luxe Highway Residencies by Home Lands Skyline 320 High Level Rd Pannipitiya 10230,2026-04-24,16:32:54,593.22,0,N/Surge,532.84,No Discount,no surge,741.6,0,N/Surge,756.13,No Discount,no surge,1108.8,0,N/Surge,"1,114.65",No Discount,no surge,1867.05,0,N/Surge,"1,600.41",No Discount,no surge,,0,N/Surge,477.48,577.48,no surge,,0,N/Surge,962.59,No Discount,no surge,1386.55,0,N/Surge,,No Discount,no surge
