Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Sudu Putha Hardware Piliyandala,2026-04-28,14:48:09,149.76,0,N/Surge,150.00,No Discount,no surge,280.94,0,N/Surge,300.00,No Discount,no surge,338.58,0,N/Surge,352.50,No Discount,no surge,537.91,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,433.48,0,N/Surge,,No Discount,no surge
2,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Deniya Car Rental 335/3 Moratuwa Road Deniya Rd Piliyandala 10300,2026-04-28,14:49:23,150.67,0,N/Surge,150.00,No Discount,no surge,307.68,0,N/Surge,300.00,No Discount,no surge,410.99,0,N/Surge,352.50,No Discount,no surge,644.49,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,509.18,0,N/Surge,,No Discount,no surge
3,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Ranuth Furniture Moratuwa 10400,2026-04-28,14:50:35,166.9,0,N/Surge,192.59,No Discount,no surge,308.93,0,N/Surge,300.00,No Discount,no surge,416.79,0,N/Surge,373.10,No Discount,no surge,659.47,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,140.07,200.10,no surge,,0,N/Surge,350.34,No Discount,no surge,516.7,0,N/Surge,,No Discount,no surge
4,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Enex Fabric Shop 4 Sri Premaratna Mawatha Moratuwa 10400,2026-04-28,14:51:48,211.6,0,N/Surge,897.74,"1,160.30",no surge,333.18,0,N/Surge,"1,010.69","1,110.76",no surge,477.95,0,N/Surge,"1,016.31","1,117.94",no surge,757.06,0,N/Surge,"1,653.03","1,818.33",no surge,,0,N/Surge,"1,152.97","1,252.97",no surge,,0,N/Surge,"1,593.57",No Discount,no surge,545.82,0,N/Surge,,No Discount,no surge
5,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Singhe Furniture Work Shop 8 2 Upper Indibedda Rd Moratuwa 10400,2026-04-28,14:53:03,258.63,0,N/Surge,275.59,No Discount,no surge,401.85,0,N/Surge,388.54,No Discount,no surge,541.78,0,N/Surge,481.82,No Discount,no surge,909.83,0,N/Surge,672.44,No Discount,no surge,,0,N/Surge,208.88,298.40,no surge,,0,N/Surge,533.32,No Discount,no surge,628.12,0,N/Surge,,No Discount,no surge
6,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Cure Care Pharmacy 159/C 2 Polgasowita 10320,2026-04-28,14:54:15,309.26,0,N/Surge,319.29,No Discount,no surge,470.02,0,N/Surge,428.91,No Discount,no surge,602.69,0,N/Surge,523.49,No Discount,no surge,1054.28,0,N/Surge,750.22,No Discount,no surge,,0,N/Surge,243.36,343.36,no surge,,0,N/Surge,606.06,No Discount,no surge,735.99,0,N/Surge,,No Discount,no surge
7,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Jithuli Traders Colombo - Horana Rd Polgasowita,2026-04-28,14:55:27,361.26,0,N/Surge,362.29,No Discount,no surge,539.2,0,N/Surge,487.53,No Discount,no surge,668.32,0,N/Surge,574.63,No Discount,no surge,1205.92,0,N/Surge,845.67,No Discount,no surge,,0,N/Surge,292.76,392.76,no surge,,0,N/Surge,692.64,No Discount,no surge,847.99,0,N/Surge,,No Discount,no surge
8,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Richi (singer) 251 Colombo - Horana Rd Polgasowita,2026-04-28,14:56:39,417.2,0,N/Surge,408.67,No Discount,no surge,606.35,0,N/Surge,547.37,No Discount,no surge,751.0,0,N/Surge,626.82,No Discount,no surge,1355.29,0,N/Surge,943.51,No Discount,no surge,,0,N/Surge,346.57,446.57,no surge,,0,N/Surge,782.74,No Discount,no surge,956.42,0,N/Surge,,No Discount,no surge
9,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,ITCS - Institute of Training & Care Services 296/2/4 High Level Rd Pannipitiya 10230,2026-04-28,14:57:52,473.21,0,N/Surge,467.70,No Discount,no surge,673.92,0,N/Surge,607.51,No Discount,no surge,837.39,0,N/Surge,679.30,No Discount,no surge,1538.36,0,N/Surge,"1,040.61",No Discount,no surge,,0,N/Surge,410.60,510.60,no surge,,0,N/Surge,868.54,No Discount,no surge,1071.2,0,N/Surge,,No Discount,no surge
10,Kesbewa Urban Council RW2C+8WP School Lane Piliyandala,Luxe Highway Residencies by Home Lands Skyline 320 High Level Rd Pannipitiya 10230,2026-04-28,14:59:06,527.64,0,N/Surge,540.98,No Discount,no surge,741.18,0,N/Surge,670.49,No Discount,no surge,916.0,0,N/Surge,732.06,No Discount,no surge,1699.16,0,N/Surge,"1,131.68",No Discount,no surge,,0,N/Surge,485.31,585.31,no surge,,0,N/Surge,959.56,No Discount,no surge,1178.98,0,N/Surge,,No Discount,no surge
