Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-25,20:01:12,150.84,0,N/Surge,"1,271.55",No Discount,no surge,304.03,0,N/Surge,"1,691.79",No Discount,no surge,336.65,0,N/Surge,"2,374.99",No Discount,no surge,544.9,0,N/Surge,"3,799.73",No Discount,no surge,,0,N/Surge,"1,326.28","1,426.28",no surge,,0,N/Surge,"2,013.61",No Discount,no surge,463.37,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-25,20:02:19,151.42,0,N/Surge,150.00,No Discount,no surge,304.73,0,N/Surge,300.00,No Discount,no surge,387.38,0,N/Surge,360.44,No Discount,no surge,587.21,0,N/Surge,564.21,No Discount,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,469.72,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-25,20:03:27,189.6,0,N/Surge,190.56,No Discount,no surge,313.35,0,N/Surge,300.00,No Discount,no surge,518.22,0,N/Surge,462.15,No Discount,no surge,760.7,0,N/Surge,727.45,No Discount,no surge,,0,N/Surge,134.53,192.19,no surge,,0,N/Surge,340.10,No Discount,no surge,575.02,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-25,20:04:34,233.04,0,N/Surge,233.76,No Discount,no surge,490.88,0,Surge,373.99,No Discount,no surge,630.29,0,N/Surge,564.96,No Discount,no surge,945.99,0,N/Surge,892.26,No Discount,no surge,,0,N/Surge,171.19,244.56,no surge,,0,N/Surge,434.64,No Discount,no surge,716.66,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-25,20:05:42,281.64,0,N/Surge,233.76,No Discount,no surge,565.25,0,Surge,373.99,No Discount,no surge,735.0,0,N/Surge,565.02,No Discount,no surge,1117.57,0,N/Surge,892.36,No Discount,no surge,,0,N/Surge,171.19,244.56,no surge,,0,N/Surge,434.56,No Discount,no surge,830.3,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-25,20:06:50,328.69,0,N/Surge,325.44,No Discount,no surge,647.76,0,Surge,523.45,No Discount,no surge,832.9,0,N/Surge,759.44,No Discount,no surge,1260.96,0,N/Surge,"1,201.78",No Discount,no surge,,0,N/Surge,241.88,341.88,no surge,,0,N/Surge,610.66,No Discount,no surge,936.78,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-25,20:07:58,387.24,0,N/Surge,368.12,No Discount,no surge,716.2,0,Surge,600.39,No Discount,no surge,939.98,0,N/Surge,855.95,No Discount,no surge,1417.38,0,N/Surge,"1,353.89",No Discount,no surge,,0,N/Surge,288.81,388.81,no surge,,0,N/Surge,692.90,No Discount,no surge,1053.11,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-25,20:09:07,447.52,0,N/Surge,415.68,No Discount,no surge,785.83,0,Surge,670.80,No Discount,no surge,1049.48,0,N/Surge,957.78,No Discount,no surge,1586.81,0,N/Surge,"1,517.47",No Discount,no surge,,0,N/Surge,344.44,444.44,no surge,,0,N/Surge,793.26,No Discount,no surge,1172.25,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-25,20:10:14,498.37,0,N/Surge,499.68,No Discount,no surge,841.29,0,Surge,755.88,No Discount,no surge,1143.71,0,N/Surge,"1,072.70",No Discount,no surge,1733.11,0,N/Surge,"1,699.48",No Discount,no surge,,0,N/Surge,428.39,528.39,no surge,,0,N/Surge,886.79,No Discount,no surge,1283.51,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-25,20:11:24,556.64,0,N/Surge,552.01,No Discount,no surge,804.83,0,N/Surge,811.50,No Discount,no surge,1252.0,0,N/Surge,"1,150.09",No Discount,no surge,1901.83,0,N/Surge,"1,811.82",No Discount,no surge,,0,N/Surge,488.16,588.16,no surge,,0,N/Surge,972.55,No Discount,no surge,1411.53,0,N/Surge,,No Discount,no surge
