Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Nawaloka Medical Mount Lavinia,Western Union 359 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,22:01:16,149.77,0,N/Surge,150.00,No Discount,no surge,279.94,0,N/Surge,320.00,No Discount,no surge,336.1,0,N/Surge,286.83,No Discount,no surge,543.31,0,N/Surge,423.99,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,462.52,0,N/Surge,,No Discount,no surge
2,Nawaloka Medical Mount Lavinia,Singer Mega - Ratmalana 435 Galle Rd Dehiwala-Mount Lavinia 10390,2026-04-28,22:02:29,150.3,0,N/Surge,150.00,No Discount,no surge,280.59,0,N/Surge,320.00,No Discount,no surge,386.5,0,N/Surge,357.55,No Discount,no surge,584.71,0,N/Surge,558.85,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,468.39,0,N/Surge,,No Discount,no surge
3,Nawaloka Medical Mount Lavinia,Industrial Estate - Golumadama Junction Rathmalana Moratuwa,2026-04-28,22:03:45,165.68,0,N/Surge,191.00,No Discount,no surge,296.09,0,N/Surge,320.00,No Discount,no surge,517.11,0,N/Surge,457.83,No Discount,no surge,757.53,0,N/Surge,718.51,No Discount,no surge,,0,N/Surge,191.70,No Discount,no surge,,0,N/Surge,328.58,No Discount,no surge,573.34,0,N/Surge,,No Discount,no surge
4,Nawaloka Medical Mount Lavinia,W.M.J Fernando & Co (Pvt) Ltd No:576 Galle Rd Moratuwa 10400,2026-04-28,22:04:59,213.52,0,N/Surge,234.20,No Discount,no surge,391.43,0,N/Surge,402.37,No Discount,no surge,627.61,0,N/Surge,558.94,No Discount,no surge,938.33,0,N/Surge,879.72,No Discount,no surge,,0,N/Surge,243.57,No Discount,no surge,,0,N/Surge,419.60,No Discount,no surge,712.57,0,N/Surge,,No Discount,no surge
5,Nawaloka Medical Mount Lavinia,Puwakaramba Group of Companies Rawathawatte No: 481 Galle Rd Moratuwa 10400,2026-04-28,22:06:13,259.2,0,N/Surge,278.20,No Discount,no surge,465.02,0,N/Surge,490.05,No Discount,no surge,732.14,0,N/Surge,659.13,No Discount,no surge,1109.41,0,N/Surge,"1,039.42",No Discount,no surge,,0,N/Surge,293.46,No Discount,no surge,,0,N/Surge,511.04,No Discount,no surge,825.95,0,N/Surge,,No Discount,no surge
6,Nawaloka Medical Mount Lavinia,LOLC Finance PLC Moratuwa 256 Galle Rd Moratuwa 10400,2026-04-28,22:07:28,305.25,0,N/Surge,325.44,No Discount,no surge,533.49,0,N/Surge,555.62,No Discount,no surge,829.54,0,N/Surge,746.78,No Discount,no surge,1251.38,0,N/Surge,"1,180.72",No Discount,no surge,,0,N/Surge,341.88,No Discount,no surge,,0,N/Surge,599.50,No Discount,no surge,931.67,0,N/Surge,,No Discount,no surge
7,Nawaloka Medical Mount Lavinia,Pranak Pharmacy 127 NEW A2 Moratuwa 10400,2026-04-28,22:08:43,355.83,0,N/Surge,325.44,No Discount,no surge,608.69,0,N/Surge,555.33,No Discount,no surge,936.97,0,N/Surge,746.41,No Discount,no surge,1408.8,0,N/Surge,"1,180.13",No Discount,no surge,,0,N/Surge,341.88,No Discount,no surge,,0,N/Surge,598.58,No Discount,no surge,1048.54,0,N/Surge,,No Discount,no surge
8,Nawaloka Medical Mount Lavinia,New Upali Auto Electricals Moratuwa 10400,2026-04-28,22:09:55,413.86,0,N/Surge,415.68,No Discount,no surge,706.19,0,N/Surge,713.96,No Discount,no surge,1045.07,0,N/Surge,941.11,No Discount,no surge,1574.23,0,N/Surge,"1,489.03",No Discount,no surge,,0,N/Surge,442.30,No Discount,no surge,,0,N/Surge,761.87,No Discount,no surge,1165.54,0,N/Surge,,No Discount,no surge
9,Nawaloka Medical Mount Lavinia,Discount Divans 51 5th Lane Koralawella Moratuwa Colombo 10400,2026-04-28,22:11:13,463.73,0,N/Surge,499.68,No Discount,no surge,781.34,0,N/Surge,802.07,No Discount,no surge,1138.68,0,N/Surge,"1,053.90",No Discount,no surge,1718.78,0,N/Surge,"1,669.18",No Discount,no surge,,0,N/Surge,528.39,No Discount,no surge,,0,N/Surge,861.79,No Discount,no surge,1275.87,0,N/Surge,,No Discount,no surge
10,Nawaloka Medical Mount Lavinia,Nimal Furniture House 70/4 Moses Ln Moratuwa,2026-04-28,22:12:29,520.96,0,N/Surge,552.01,No Discount,no surge,852.84,0,N/Surge,863.15,No Discount,no surge,1246.95,0,N/Surge,"1,126.47",No Discount,no surge,1887.42,0,N/Surge,"1,773.67",No Discount,no surge,,0,N/Surge,588.16,No Discount,no surge,,0,N/Surge,950.14,No Discount,no surge,1403.85,0,N/Surge,,No Discount,no surge
11,Nawaloka Medical Mount Lavinia,M Craft Handcraft Designers Sunanda Eliya Rd Moratuwa,2026-04-28,22:13:44,588.1,0,N/Surge,552.01,No Discount,no surge,923.53,0,N/Surge,863.15,No Discount,no surge,1353.78,0,N/Surge,"1,126.84",No Discount,no surge,2051.97,0,N/Surge,"1,774.17",No Discount,no surge,,0,N/Surge,588.87,No Discount,no surge,,0,N/Surge,951.49,No Discount,no surge,1529.65,0,N/Surge,,No Discount,no surge
12,Nawaloka Medical Mount Lavinia,SD Sticker Galle Road Moratuwa,2026-04-28,22:14:58,654.0,0,N/Surge,688.35,No Discount,no surge,1010.7,0,N/Surge,"1,008.42",No Discount,no surge,1457.6,0,N/Surge,"1,309.98",No Discount,no surge,2210.86,0,N/Surge,"2,066.31",No Discount,no surge,,0,N/Surge,725.47,No Discount,no surge,,0,N/Surge,"1,105.58",No Discount,no surge,1651.59,0,N/Surge,,No Discount,no surge
13,Nawaloka Medical Mount Lavinia,Zuhriya(Lawyer) 29 Govipola Rd Panadura,2026-04-28,22:16:14,720.99,0,N/Surge,688.35,No Discount,no surge,1099.27,0,N/Surge,"1,001.87",No Discount,no surge,1566.42,0,N/Surge,"1,310.04",No Discount,no surge,2390.59,0,N/Surge,"2,067.60",No Discount,no surge,,0,N/Surge,724.05,No Discount,no surge,,0,N/Surge,"1,088.62",No Discount,no surge,1779.95,0,N/Surge,,No Discount,no surge
