Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,One Galle Face Mall 1A Centre Road Colombo 00200,The Emperor 75A Galle Rd Colombo 00300,2026-04-25,20:01:11,150.74,0,N/Surge,75.00,150.00,no surge,403.9,0,Surge,150.00,300.00,no surge,336.84,0,N/Surge,160.36,320.73,no surge,543.29,0,N/Surge,235.78,471.56,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,462.17,0,N/Surge,,No Discount,no surge
2,One Galle Face Mall 1A Centre Road Colombo 00200,Liberty Plaza 300 Srimath Anagarika Dharmapala Mawatha Colombo 00300,2026-04-25,20:02:23,152.41,0,N/Surge,79.00,158.00,no surge,404.8,0,Surge,150.00,300.00,no surge,392.07,0,N/Surge,207.54,415.08,no surge,590.35,0,N/Surge,400.47,650.47,no surge,,0,N/Surge,126.00,180.00,no surge,,0,N/Surge,300.00,No Discount,no surge,471.12,0,N/Surge,,No Discount,no surge
3,One Galle Face Mall 1A Centre Road Colombo 00200,Roar Global 367 R. A. De Mel Mawatha Colombo 00300,2026-04-25,20:03:36,190.58,0,N/Surge,96.16,192.32,no surge,314.65,0,N/Surge,150.00,300.00,no surge,520.04,0,N/Surge,269.13,519.13,no surge,761.39,0,N/Surge,565.86,815.86,no surge,,0,N/Surge,136.95,195.65,no surge,,0,N/Surge,350.74,No Discount,no surge,576.36,0,N/Surge,,No Discount,no surge
4,One Galle Face Mall 1A Centre Road Colombo 00200,Horton Regency Apartments 33 Horton Pl Colombo 00700,2026-04-25,20:04:49,230.61,0,N/Surge,116.66,233.32,no surge,387.2,0,N/Surge,191.46,382.92,no surge,625.07,0,N/Surge,385.73,635.73,no surge,937.39,0,N/Surge,752.93,"1,002.93",no surge,,0,N/Surge,171.19,244.56,no surge,,0,N/Surge,446.64,No Discount,no surge,710.99,0,N/Surge,,No Discount,no surge
5,One Galle Face Mall 1A Centre Road Colombo 00200,Cinnamon Nest Apartments 5 Dudley Senanayake Mawatha Colombo 00800,2026-04-25,20:06:05,279.71,0,N/Surge,138.00,276.00,no surge,461.81,0,N/Surge,225.95,451.90,no surge,731.46,0,N/Surge,492.15,742.15,no surge,1113.31,0,N/Surge,920.31,"1,170.31",no surge,,0,N/Surge,205.08,292.97,no surge,,0,N/Surge,532.68,No Discount,no surge,826.73,0,N/Surge,,No Discount,no surge
6,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Fuel Center Marine Dr Colombo,2026-04-25,20:07:18,333.44,0,N/Surge,165.36,330.72,no surge,553.85,0,N/Surge,272.56,522.56,no surge,840.27,0,N/Surge,617.30,867.30,no surge,1268.83,0,N/Surge,"1,121.02","1,371.02",no surge,,0,N/Surge,255.71,355.71,no surge,,0,N/Surge,639.81,No Discount,no surge,943.88,0,N/Surge,,No Discount,no surge
7,One Galle Face Mall 1A Centre Road Colombo 00200,Marine Seafood 55 Collingwood Pl Colombo 00600,2026-04-25,20:08:33,389.2,0,N/Surge,182.96,365.92,no surge,618.44,0,N/Surge,339.39,589.39,no surge,941.66,0,N/Surge,700.31,950.31,no surge,1416.71,0,N/Surge,"1,248.46","1,498.46",no surge,,0,N/Surge,287.82,387.82,no surge,,0,N/Surge,684.69,No Discount,no surge,1053.83,0,N/Surge,,No Discount,no surge
9,One Galle Face Mall 1A Centre Road Colombo 00200,Infinity Garden - Diyatha Uyana Mies Rohe Fountain Sri Jayawardenepura Kotte,2026-04-25,20:10:20,502.49,0,N/Surge,242.27,484.54,no surge,745.8,0,N/Surge,494.66,744.66,no surge,1152.21,0,N/Surge,935.96,"1,185.96",no surge,1747.83,0,N/Surge,"1,624.45","1,874.45",no surge,,0,N/Surge,418.43,518.43,no surge,,0,N/Surge,888.93,No Discount,no surge,1293.94,0,N/Surge,,No Discount,no surge
10,One Galle Face Mall 1A Centre Road Colombo 00200,Janaka Record Bar Main St Battaramulla,2026-04-25,20:11:32,559.34,0,N/Surge,303.39,553.39,no surge,807.69,0,N/Surge,557.12,807.12,no surge,1257.67,0,N/Surge,"1,035.62","1,285.62",no surge,1912.57,0,N/Surge,"1,783.01","2,033.01",no surge,,0,N/Surge,486.73,586.73,no surge,,0,N/Surge,965.10,No Discount,no surge,1418.74,0,N/Surge,,No Discount,no surge
11,One Galle Face Mall 1A Centre Road Colombo 00200,MAS TS car park Thalangama Bus Depot Rd Battaramulla,2026-04-25,20:12:46,627.75,0,N/Surge,371.56,621.56,no surge,976.59,0,Surge,641.42,891.42,no surge,1361.68,0,N/Surge,"1,149.87","1,399.87",no surge,2073.15,0,N/Surge,"1,950.17","2,200.17",no surge,,0,N/Surge,557.17,657.17,no surge,,0,N/Surge,"1,060.16",No Discount,no surge,1541.31,0,N/Surge,,No Discount,no surge
