Distance(KM),Pickup Location,Drop Location,Date,Time,pickmeBikePrice,pickmeBikeDis,pickmeBikeSurge,uberMotoPrice,uberMotoDis,uberMotoSurge,pickmeTukPrice,pickmeTukDis,pickmeTukSurge,uberTukPrice,uberTukDis,uberTukSurge,pickmeFlexPrice,pickmeFlexDis,pickmeFlexSurge,uberZipPrice,uberZipDis,uberZipSurge,pickmeCarPrice,pickmeCarDis,pickmeCarSurge,uberPremierPrice,uberPremierDis,uberPremierSurge,pickmeFlashPrice,pickmeFlashDis,PickmeFlshSurge,uberParcel_BikePrice,uberParcel_BikeDis,uberParcel_BikeSurge,pickmeFlashLPrice,pickmeFlashLDis,PickmeFlshLSurge,uberParcel_TukPrice,uberParcel_TukDis,uberParcel_TukSurge,pickmeMiniPrice,pickmeMiniDis,pickmeMiniSurge,uberZip_PlusPrice,uberZip_PlusDis,uberZip_PlusSurge
1,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Jayantha Furnitures Pvt Ltd No.105/C Ja Ela Rd Gampaha,2026-04-28,14:48:09,149.76,0,N/Surge,159.05,No Discount,no surge,280.94,0,N/Surge,300.00,No Discount,no surge,338.58,0,N/Surge,352.50,No Discount,no surge,537.91,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,433.48,0,N/Surge,,No Discount,no surge
2,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Pathirana stores 3XVH+H9M Gampaha,2026-04-28,14:49:22,150.32,0,N/Surge,158.95,No Discount,no surge,281.61,0,N/Surge,300.00,No Discount,no surge,342.61,0,N/Surge,352.50,No Discount,no surge,549.41,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,180.00,No Discount,no surge,,0,N/Surge,300.00,No Discount,no surge,439.61,0,N/Surge,,No Discount,no surge
3,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,MCC survey department 23 Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-28,14:50:34,187.99,0,N/Surge,203.39,No Discount,no surge,282.84,0,N/Surge,300.00,No Discount,no surge,348.22,0,N/Surge,373.89,No Discount,no surge,561.46,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,200.10,No Discount,no surge,,0,N/Surge,350.09,No Discount,no surge,446.72,0,N/Surge,,No Discount,no surge
4,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Badulu Hotel Ja Ela-Ekala-Gampaha-Yakkala Hwy,2026-04-28,14:51:45,224.36,0,N/Surge,239.22,No Discount,no surge,300.9,0,N/Surge,312.53,No Discount,no surge,401.26,0,N/Surge,420.67,No Discount,no surge,584.23,0,N/Surge,583.97,No Discount,no surge,,0,N/Surge,244.06,No Discount,no surge,,0,N/Surge,419.95,No Discount,no surge,481.24,0,N/Surge,,No Discount,no surge
5,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Janaka Enterprises Makewite No.140/EMegoda thammithaMakewite Ja-Ela,2026-04-28,14:52:58,261.89,0,N/Surge,373.58,No Discount,no surge,361.54,0,N/Surge,483.54,No Discount,no surge,466.11,0,N/Surge,574.92,No Discount,no surge,616.23,0,N/Surge,845.40,No Discount,no surge,,0,N/Surge,395.23,No Discount,no surge,,0,N/Surge,692.07,No Discount,no surge,526.1,0,N/Surge,,No Discount,no surge
6,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Siyane Arcade Minuwangoda Road Udugampola 11000,2026-04-28,14:54:09,312.35,0,N/Surge,332.74,No Discount,no surge,422.1,0,N/Surge,429.19,No Discount,no surge,552.44,0,N/Surge,523.42,No Discount,no surge,718.72,0,N/Surge,750.00,No Discount,no surge,,0,N/Surge,343.85,No Discount,no surge,,0,N/Surge,605.33,No Discount,no surge,615.16,0,N/Surge,,No Discount,no surge
7,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Global Auto Mart minuwangoda road,2026-04-28,14:55:21,360.82,0,N/Surge,373.92,No Discount,no surge,480.28,0,N/Surge,478.98,No Discount,no surge,641.36,0,N/Surge,570.58,No Discount,no surge,817.91,0,N/Surge,837.33,No Discount,no surge,,0,N/Surge,390.78,No Discount,no surge,,0,N/Surge,684.23,No Discount,no surge,706.85,0,N/Surge,,No Discount,no surge
8,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,CRS ENGINEERING PRIVATE LIMITED,2026-04-28,14:56:32,415.13,0,N/Surge,423.60,No Discount,no surge,545.66,0,N/Surge,546.71,No Discount,no surge,733.77,0,N/Surge,627.87,No Discount,no surge,920.66,0,N/Surge,942.95,No Discount,no surge,,0,N/Surge,447.28,No Discount,no surge,,0,N/Surge,781.93,No Discount,no surge,801.08,0,N/Surge,,No Discount,no surge
9,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Godalla Takeaway Gampaha,2026-04-28,14:57:44,472.71,0,N/Surge,491.88,No Discount,no surge,712.23,0,Surge,602.48,No Discount,no surge,830.59,0,N/Surge,679.74,No Discount,no surge,1026.38,0,N/Surge,"1,039.86",No Discount,no surge,,0,N/Surge,522.70,No Discount,no surge,,0,N/Surge,871.96,No Discount,no surge,899.24,0,N/Surge,,No Discount,no surge
10,Gampaha Station Park 3XVV+9GG Marybiso Rd Gampaha,Busy Bees Montessori International (AMI) preschool Ekala 3WX7+JM7 Wimalajothi Nahimi Mawatha Ja-Ela,2026-04-28,14:58:57,595.26,0,N/Surge,543.70,No Discount,no surge,848.74,0,Surge,659.95,No Discount,no surge,1012.57,0,N/Surge,730.22,No Discount,no surge,1236.03,0,N/Surge,"1,126.64",No Discount,no surge,,0,N/Surge,593.85,No Discount,no surge,,0,N/Surge,963.21,No Discount,no surge,1089.05,0,N/Surge,,No Discount,no surge
